phase,route,direction,bytes,window_s,bytes_per_s,target_bytes_per_s,target_ratio,ok
baseline,api,client_to_target,0,0.0,0.0,125000000.0,0.0,1
baseline,kv,target_to_client,0,0.0,0.0,125000000.0,0.0,1
drain,api,client_to_target,1547986,289.6304829120636,5344.692949567719,125000000.0,4.2757543596541747e-05,1
drain,kv,target_to_client,1152,291.4682710170746,3.952402764047392,125000000.0,3.1619222112379135e-08,1
post,api,client_to_target,243065,24.91068387031555,9757.459942303905,125000000.0,7.805967953843124e-05,1
post,kv,target_to_client,180,22.44531512260437,8.019490883365878,125000000.0,6.415592706692702e-08,1
