model,offered_rps,replicates,exact_completion_rate_min,p90_ttft_s,p90_ttft_s_min,p90_ttft_s_max,p90_tpot_s,p90_tpot_s_min,p90_tpot_s_max,boundary
openai/gpt-oss-20b,0.125,1,1.0,0.8698829710000001,0.8698829710000001,0.8698829710000001,0.0363912555,0.0363912555,0.0363912555,False
openai/gpt-oss-20b,0.25,1,1.0,1.8207345284000007,1.8207345284000007,1.8207345284000007,0.105565065,0.105565065,0.105565065,False
openai/gpt-oss-20b,0.5,1,1.0,2.1462263123,2.1462263123,2.1462263123,0.1458339495,0.1458339495,0.1458339495,False
openai/gpt-oss-20b,1.0,1,1.0,2.5784945317000005,2.5784945317000005,2.5784945317000005,0.155758583,0.155758583,0.155758583,False
openai/gpt-oss-20b,2.0,1,1.0,3.6169403240000007,3.6169403240000007,3.6169403240000007,0.1563866275,0.1563866275,0.1563866275,False
openai/gpt-oss-20b,4.0,1,1.0,12.835196903500002,12.835196903500002,12.835196903500002,0.1570091545,0.1570091545,0.1570091545,False
openai/gpt-oss-20b,8.0,1,1.0,18.264094481300003,18.264094481300003,18.264094481300003,0.156878434,0.156878434,0.156878434,False
Qwen/Qwen3.8-27B,0.125,1,1.0,2.9200963675000007,2.9200963675000007,2.9200963675000007,0.1623111745,0.1623111745,0.1623111745,False
Qwen/Qwen3.8-27B,0.25,1,1.0,5.449397105500001,5.449397105500001,5.449397105500001,0.2418429635,0.2418429635,0.2418429635,False
Qwen/Qwen3.8-27B,0.5,1,1.0,7.2596429810000025,7.2596429810000025,7.2596429810000025,0.25924634150000003,0.25924634150000003,0.25924634150000003,False
Qwen/Qwen3.8-27B,1.0,1,1.0,22.484655597900005,22.484655597900005,22.484655597900005,0.2647226125,0.2647226125,0.2647226125,False
Qwen/Qwen3.8-27B,2.0,1,1.0,27.491010912500002,27.491010912500002,27.491010912500002,0.264673012,0.264673012,0.264673012,False
Qwen/Qwen3.8-27B,4.0,1,1.0,37.96991088320001,37.96991088320001,37.96991088320001,0.264785129,0.264785129,0.264785129,False
Qwen/Qwen3.8-27B,8.0,1,1.0,43.5122147899,43.5122147899,43.5122147899,0.2647799495,0.2647799495,0.2647799495,False
google/gemma-4-26B-A4B-it,0.125,1,1.0,0.1980316314,0.1980316314,0.1980316314,0.035270828000000004,0.035270828000000004,0.035270828000000004,False
google/gemma-4-26B-A4B-it,0.25,1,1.0,0.1942380726,0.1942380726,0.1942380726,0.035816265,0.035816265,0.035816265,False
google/gemma-4-26B-A4B-it,0.5,1,1.0,0.2033499699,0.2033499699,0.2033499699,0.035746784000000004,0.035746784000000004,0.035746784000000004,False
google/gemma-4-26B-A4B-it,1.0,1,1.0,0.33754227290000005,0.33754227290000005,0.33754227290000005,0.0361448655,0.0361448655,0.0361448655,False
google/gemma-4-26B-A4B-it,2.0,1,1.0,0.197576919,0.197576919,0.197576919,0.0360594345,0.0360594345,0.0360594345,False
google/gemma-4-26B-A4B-it,4.0,1,1.0,0.5129829996000002,0.5129829996000002,0.5129829996000002,0.035985845,0.035985845,0.035985845,False
google/gemma-4-26B-A4B-it,8.0,1,1.0,2.057441876,2.057441876,2.057441876,0.035960778,0.035960778,0.035960778,False
