episode,workload,arm,seed,session,phase,serving_role,prompt_tokens,cached_tokens,output_tokens,ttft_s,elapsed_s,after_first_token_s
episodes-coding-0-control-7101,coding,control,7101,3,control_preepoch_materialization,destination,3585,,1,12.833233535,12.834373127,0.001139592
episodes-coding-0-control-7101,coding,control,7101,1,control_preepoch_materialization,destination,5587,,1,13.619613955,13.620724423,0.001110468
episodes-coding-0-control-7101,coding,control,7101,4,control_preepoch_materialization,destination,5587,,1,13.356642633,13.358073643,0.00143101
episodes-coding-0-control-7101,coding,control,7101,6,control_preepoch_materialization,destination,9251,,1,13.405842759,13.407882694,0.002039935
episodes-coding-0-control-7101,coding,control,7101,0,control_preepoch_materialization,destination,31436,,1,13.359909966,13.365531894,0.005621928
episodes-coding-0-control-7101,coding,control,7101,5,control_preepoch_materialization,destination,19463,,1,12.519514831,12.523090843,0.003576012
episodes-coding-0-control-7101,coding,control,7101,2,control_preepoch_materialization,destination,31246,,1,12.373822137,12.379394731,0.005572594
episodes-coding-0-control-7101,coding,control,7101,7,control_preepoch_materialization,destination,19463,,1,13.695150314,13.698798411,0.003648097
episodes-coding-0-control-7101,coding,control,7101,6,control_baseline_materialization,destination,9401,9248,1,0.158687662,0.160710334,0.002022672
episodes-coding-0-control-7101,coding,control,7101,7,control_baseline_materialization,destination,19534,19456,1,0.257818418,0.26212318,0.004304762
episodes-coding-0-control-7101,coding,control,7101,0,control_baseline_materialization,destination,31549,31424,1,0.176849228,0.182517529,0.005668301
episodes-coding-0-control-7101,coding,control,7101,5,control_baseline_materialization,destination,19534,19456,1,0.14771054,0.151321107,0.003610567
episodes-coding-0-control-7101,coding,control,7101,2,control_baseline_materialization,destination,31689,31232,1,0.262403716,0.267854893,0.005451177
episodes-coding-0-control-7101,coding,control,7101,3,control_baseline_materialization,destination,3648,3584,1,0.178038696,0.178815216,0.00077652
episodes-coding-0-control-7101,coding,control,7101,1,control_baseline_materialization,destination,6987,5584,1,0.27393428,0.275318262,0.001383982
episodes-coding-0-control-7101,coding,control,7101,6,control_baseline_materialization,destination,9429,9392,1,0.250909588,0.252877237,0.001967649
episodes-coding-0-control-7101,coding,control,7101,4,control_baseline_materialization,destination,6987,5584,1,0.313497696,0.315034963,0.001537267
episodes-coding-0-control-7101,coding,control,7101,2,control_baseline_materialization,destination,31802,31680,1,0.241842945,0.247507014,0.005664069
episodes-coding-0-control-7101,coding,control,7101,7,control_baseline_materialization,destination,19836,19520,1,0.138173514,0.14183771,0.003664196
episodes-coding-0-control-7101,coding,control,7101,0,control_baseline_materialization,destination,31847,31536,1,0.301152496,0.306743704,0.005591208
episodes-coding-0-control-7101,coding,control,7101,5,control_baseline_materialization,destination,19836,19520,1,0.228579335,0.231787633,0.003208298
episodes-coding-0-control-7101,coding,control,7101,1,control_baseline_materialization,destination,7340,6976,1,0.165058613,0.166823818,0.001765205
episodes-coding-0-control-7101,coding,control,7101,3,control_baseline_materialization,destination,3780,3648,1,0.128658647,0.129753954,0.001095307
episodes-coding-0-control-7101,coding,control,7101,4,control_baseline_materialization,destination,7340,6976,1,0.18141068,0.182996969,0.001586289
episodes-coding-0-control-7101,coding,control,7101,2,control_baseline_materialization,destination,32130,31792,1,0.313239681,0.318655641,0.00541596
episodes-coding-0-control-7101,coding,control,7101,6,control_baseline_materialization,destination,10336,9424,1,0.219944022,0.222060938,0.002116916
episodes-coding-0-control-7101,coding,control,7101,7,control_baseline_materialization,destination,19895,19824,1,0.168068675,0.171605056,0.003536381
episodes-coding-0-control-7101,coding,control,7101,0,control_baseline_materialization,destination,32091,31840,1,0.280917052,0.286352598,0.005435546
episodes-coding-0-control-7101,coding,control,7101,5,control_baseline_materialization,destination,19895,19824,1,0.240961711,0.24445428,0.003492569
episodes-coding-0-control-7101,coding,control,7101,1,control_final_materialization,destination,7340,7328,1,0.199637045,0.201289488,0.001652443
episodes-coding-0-control-7101,coding,control,7101,3,control_final_materialization,destination,3780,3776,1,0.206252628,0.207293422,0.001040794
episodes-coding-0-control-7101,coding,control,7101,0,control_final_materialization,destination,32091,32080,1,0.314324285,0.358277272,0.043952987
episodes-coding-0-control-7101,coding,control,7101,2,control_final_materialization,destination,32130,32128,1,0.320167733,0.347695029,0.027527296
episodes-coding-0-control-7101,coding,control,7101,4,control_final_materialization,destination,7340,7328,1,0.344189437,0.345521207,0.00133177
episodes-coding-0-control-7101,coding,control,7101,5,control_final_materialization,destination,19895,19888,1,0.308251635,0.338896275,0.03064464
episodes-coding-0-control-7101,coding,control,7101,6,control_final_materialization,destination,10336,10320,1,0.307030582,0.338128764,0.031098182
episodes-coding-0-control-7101,coding,control,7101,7,control_final_materialization,destination,19895,19888,1,0.331974366,0.336309938,0.004335572
episodes-coding-0-control-7102,coding,control,7102,2,control_preepoch_materialization,destination,10892,,1,9.436713586,9.439022791,0.002309205
episodes-coding-0-control-7102,coding,control,7102,4,control_preepoch_materialization,destination,2736,,1,8.88322404,8.883848422,0.000624382
