phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,299.86242677824265
baseline,1,239,239,1.0,83.18673640167361
drain,0,605,605,1.0,89.66566942148759
drain,1,605,605,1.0,185.1927603305785
post,0,239,239,1.0,87.9189121338912
post,1,239,239,1.0,345.9096234309623
