dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,7.657166242599487,7.657166242599487,7.6573166847229,9.799003601074219e-05,8.106231689453125e-06
1,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,1.6278653144836426,1.6278653144836426,1.6280205249786377,2.9802322387695312e-05,1.6450881958007812e-05
2,codex:e717fd54-aecf-8710-559b-8d23833866c4,S,8.198150157928467,8.603899955749512,9.833156108856201,1.229210615158081,1.2636184692382812e-05
3,codex:41e93e85-eff7-106f-9736-224049baedb2,R,7.8111677169799805,7.973974943161011,7.974055051803589,4.76837158203125e-05,7.867813110351562e-06
4,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,S,8.541879892349243,8.785747528076172,8.785804510116577,2.193450927734375e-05,4.0531158447265625e-06
5,codex:e6744833-786a-9c87-c539-3a40cda50680,R,2.304046630859375,2.304046630859375,3.9313457012176514,1.6272673606872559,1.2874603271484375e-05
6,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,5.132931709289551,5.26667332649231,5.266846418380737,4.601478576660156e-05,8.58306884765625e-06
7,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,6.125507831573486,6.125507831573486,6.7829670906066895,0.6572895050048828,2.193450927734375e-05
8,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,2.9445831775665283,2.9445831775665283,4.180210590362549,1.2354636192321777,4.291534423828125e-05
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,1.9905438423156738,1.9905438423156738,1.9984486103057861,0.007854223251342773,1.5020370483398438e-05
