phase,gpu,samples,power_mean_w
baseline,0,120,219.43941666666666
baseline,1,120,85.31683333333332
drain,0,217,153.63447004608295
drain,1,217,243.4903686635945
post,0,119,107.42932773109244
post,1,119,293.23722689075635
