phase,gpu,samples,power_mean_w
baseline,0,40,303.77825
baseline,1,40,85.72425000000001
drain,0,513,305.20937621832354
drain,1,513,244.04251461988304
post,0,40,155.59175
post,1,40,143.02550000000002
