phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,300.26121338912145
baseline,1,239,239,1.0,83.02062761506274
drain,0,496,496,1.0,112.99014112903225
drain,1,496,496,1.0,216.1426612903226
post,0,239,239,1.0,87.95066945606693
post,1,239,239,1.0,331.43677824267786
