sessions,source_replicas,candidates,target_w,table_build_s,lp_select_s,lp_moves,greedy_select_s,greedy_moves,lp_over_greedy
28,2,112,42.9682283079286,0.003454958088696003,0.004372499883174896,12,0.00045508425682783127,12,9.60811062473012
1000,51,4000,1234.3498540420137,0.12088099960237741,0.06413350068032742,516,0.01667554210871458,503,3.845961964067811
10000,495,40000,12248.550898482217,1.116388333030045,0.7818118324503303,5205,0.19382141716778278,5249,4.033671014661655
50000,2468,200000,61170.39165446362,5.681694249622524,4.418364499695599,26103,0.9427913753315806,26295,4.686471063804181
100000,4929,400000,122288.08965003467,10.919231249950826,8.862723208963871,52234,1.8947990825399756,52648,4.677394711994162
