admission_rejected,api_request_bytes,attempt,background,background_warnings,bandwidth,capacity_violations,condition_index,context_tokens,deadline_met,deadline_s,destination,dispatch_skew_s,east_kv_transfer,east_replay,ended_wall_ns,error,eventual_shed_w,eventual_target_met,excluded_attempts,failure_class,germany_kv_transfer,germany_replay,kv_evidence_warnings,kv_response_bytes,load_warnings,median_mean_tpot_s,median_tcp_rtt_ms,median_ttft_s,migration_s,modeled_power_attainment_s,modeled_power_deadline_met,movement_tokens,p90_mean_tpot_s,p90_ttft_s,pack,plan_order,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,stack_id,started_wall_ns,status,target_met,time_to_target_s,workload
,1038338,1,"{""east"": [0.5, 0], ""germany"": [0.25, 0]}",0,natural,[],50,"[29952, 30464, 15104, 21248, 14336, 30464, 11776, 22784, 11264, 19968, 30720, 11008, 26112, 12288, 13056, 9216]",True,300,"east,germany",0.010782249,,,1788736918533752201,,,,0,,,,,15225344090,0,0.002936580785353535,,15.451968906000001,49.14205594,,,309760,0.005449283583333334,42.6046548595,,0,fixed_kv_transfer,,0,,,0,5e19c10f47fa0204,16,natural-1788736374500356356,1788736869391696430,complete,,,agentic_tool_loop
,986266,1,"{""east"": [0, 0], ""germany"": [0.8, 0]}",0,natural,[],53,"[24064, 23808, 19456, 20992, 29440, 30720, 28672, 14848, 25088, 30976, 22272, 14848, 26624, 8448]",True,300,"east,germany",0.009899299,,,1788737062835116778,,,,0,,,,,15741244179,0,0.003150450600241546,,15.126324741,52.640190876,,,320256,0.005116563515497077,44.947896459500015,,1,fixed_kv_transfer,,0,,,0,23a72a106e2a7034,14,natural-1788736374500356356,1788737010194926142,complete,,,agentic_tool_loop
,775465,1,"{""east"": [0, 0], ""germany"": [0.5, 0]}",0,natural,[],95,"[14080, 16128, 24576, 31488, 27648, 10240, 22272, 23040, 27904, 27136, 8448, 23296, 29440, 8960, 15872]",True,300,"east,germany",0.009715909,,,1788737136986644493,,,,0,,,,,7134520743,0,0.0014492682105263159,,12.651262204,28.557589472,,,310528,0.004522527636090225,17.776675010199998,,2,fixed_mixed,,0,,,0,44e6021622f13c41,15,natural-1788736374500356356,1788737108429687132,complete,,,agentic_tool_loop
,454299,1,"{""east"": [0.25, 0], ""germany"": [0, 0]}",0,natural,[],106,"[12544, 25088, 24576, 30208, 14336, 18432, 15616, 16128, 18688, 25856]",True,300,"east,germany",0.005820494,,,1788737188591006980,,,,0,,,,,4190115357,0,0.0025230039713958806,,8.271445931999999,15.335763278,,,201472,0.004565750359064327,9.261312592799998,,3,fixed_mixed,,0,,,0,009fee0bfe56408f,10,natural-1788736374500356356,1788737173255604636,complete,,,agentic_tool_loop
,878589,1,"{""east"": [0.8, 0], ""germany"": [0, 0]}",0,natural,[],73,"[8960, 28672, 10496, 18176, 29952, 26624, 9216, 30208, 13056, 20992, 12032, 13312, 26880, 25856, 11776, 17920]",True,300,"east,germany",0.010861315,,,1788737307878005296,,,,0,,,,,14948519652,0,0.00310571071969697,,13.3726269235,48.563007433,,,304128,0.005208406584795322,38.548701938,,4,fixed_kv_transfer,,0,,,0,46d879e878d8bae5,16,natural-1788736374500356356,1788737259314998024,complete,,,agentic_tool_loop
,452087,1,"{""east"": [0, 0], ""germany"": [0.25, 0]}",0,natural,[],6,"[20480, 14592, 24576, 17152, 9728, 29696, 14848, 16640, 8704, 12800, 11264, 9216, 13568]",True,300,"east,germany",0.007686759,,,1788737344143239299,,,,0,,,,,0,0,0.0011390918888888888,,12.761073191,13.167057559,,,203264,0.004549431697076023,13.020777921,,5,fixed_replay,,0,,,0,6c976fd2a76d2617,13,natural-1788736374500356356,1788737330976213550,complete,,,agentic_tool_loop
,407030,1,"{""east"": [0.8, 0], ""germany"": [0.25, 0]}",0,natural,[],12,"[18432, 12288, 19456, 22272, 16128, 15872, 11264, 19968, 9984, 14592, 14848]",True,300,"east,germany",0.006403844,,,1788737377610861865,,,,0,,,,,0,0,0.0011586688421052632,,10.357084991,10.768184663,,,175104,0.004795828444444445,10.55949103,,6,fixed_replay,,0,,,0,568228eaa5443785,11,natural-1788736374500356356,1788737366843081818,complete,,,agentic_tool_loop
,1296015,1,"{""east"": [0.25, 0], ""germany"": [0.8, 0]}",0,natural,[],71,"[12032, 26624, 9472, 12288, 30464, 12800, 14592, 28928, 27392, 21760, 29184, 20736, 29696, 27904, 11008, 30720]",True,300,"east,germany",0.009650475,,,1788737519921839532,,,,0,,,,,16986954150,0,0.003134736736714976,,14.317785712,62.559286475,,,345600,0.00539562737865497,50.4975915415,,7,fixed_kv_transfer,,0,,,0,97b136f62064c0cd,16,natural-1788736374500356356,1788737457363152890,complete,,,agentic_tool_loop
,442531,1,"{""east"": [0.8, 0], ""germany"": [0, 0]}",0,natural,[],118,"[19200, 9728, 12800, 26624, 12288, 13056, 29952, 30464, 9984, 16640]",True,300,"east,germany",0.005892649,,,1788737572821797956,,,,0,,,,,3686798197,0,0.002899391710526316,,8.2454234075,15.940536478,,,180736,0.004486417422222222,9.214006613099997,,8,fixed_mixed,,0,,,0,46b68ab8f07e84f0,10,natural-1788736374500356356,1788737556881699447,complete,,,agentic_tool_loop
,269889,1,"{""east"": [0.8, 0], ""germany"": [0, 0]}",0,natural,[],48,"[19456, 11520, 13056, 19200, 18688]",True,300,"east,germany",0.002582775,,,1788737626878715011,,,,0,,,,,4026537280,0,0.001602333888888889,,7.764544414,18.580096698,,,81920,0.004126504310526316,16.6936359202,,9,fixed_kv_transfer,,0,,,0,9be4464a60680e7c,5,natural-1788736374500356356,1788737608298652737,complete,,,agentic_tool_loop
,792494,1,"{""east"": [0.25, 0], ""germany"": [0.8, 0]}",0,natural,[],75,"[16640, 18432, 20992, 9728, 14848, 14336, 8448, 10240, 15360, 13312, 15104, 14592, 14080, 28672]",True,300,"east,germany",0.007507817,,,1788737718957889414,,,,0,,,,,10557077431,0,0.0027906922882205516,,11.771120403000001,36.589608265,,,214784,0.005239579555555556,27.2148517625,,10,fixed_kv_transfer,,0,,,0,d8b002060654b701,14,natural-1788736374500356356,1788737682368311897,complete,,,agentic_tool_loop
,407110,1,"{""east"": [0.25, 0], ""germany"": [0, 0]}",0,natural,[],94,"[21248, 16640, 18688, 15616, 24320, 15104, 24832, 20992, 19968]",True,300,"east,germany",0.0046165,,,1788737773448486440,,,,0,,,,,4001371422,0,0.0013978109999999999,,6.26528961,16.256666804,,,177408,0.004490321369590643,9.536887815400002,,11,fixed_mixed,,0,,,0,d2b76f04ec6f738b,9,natural-1788736374500356356,1788737757191855744,complete,,,agentic_tool_loop
,295868,1,"{""east"": [0.25, 0], ""germany"": [0.8, 0]}",0,natural,[],74,"[23808, 15104, 21760, 21248]",True,300,"east,germany",0.001608867,,,1788737821656897941,,,,0,,,,,4026537280,0,0.0028476488156565657,,7.1873671429999995,12.567913704,,,81920,0.0048303876595693785,11.198242787,,12,fixed_kv_transfer,,0,,,0,2053d93676da8102,4,natural-1788736374500356356,1788737809089527912,complete,,,agentic_tool_loop
,257953,1,"{""east"": [0, 0], ""germany"": [0, 0]}",0,natural,[],69,"[20480, 28416, 14336, 16384, 16896, 30720]",True,300,"east,germany",0.003256938,,,1788737889705371911,,,,0,,,,,6253715713,0,0.0030888379601449276,,9.1129442735,22.887399638,,,127232,0.00474715347368421,18.621246107,,13,fixed_kv_transfer,,0,,,0,c193127b8694cb1f,6,natural-1788736374500356356,1788737866818008080,complete,,,agentic_tool_loop
,372090,1,"{""east"": [0.5, 0], ""germany"": [0.8, 0]}",0,natural,[],103,"[17664, 22784, 14592, 30464, 13568, 29696]",True,300,"east,germany",0.003502341,,,1788737930337319027,,,,0,,,,,1988102782,0,0.002984810941520468,,8.338606672000001,12.474935431,,,128768,0.004878266657894736,10.442723839,,14,fixed_mixed,,0,,,0,896a405cda8159b6,6,natural-1788736374500356356,1788737917862913455,complete,,,agentic_tool_loop
,637711,1,"{""east"": [0.8, 0], ""germany"": [0.25, 0]}",0,natural,[],0,"[16128, 27136, 17408, 11520, 17152, 21504, 17152, 17920, 25344, 8192, 18176, 24064, 19712, 9216, 27648]",True,300,"east,germany",0.010571954,,,1788737974477996946,,,,0,,,,,0,0,0.004514271947368421,,16.440400316,18.272495097,,,278272,0.004882371911111111,18.0922100576,,15,fixed_replay,,0,,,0,3ef1a50a4c9045ae,15,natural-1788736374500356356,1788737956206586847,complete,,,agentic_tool_loop
