activity,bandwidth_mbps,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,current_model_time_s,idle_ns,initial_end_ns,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,order,pause_start_ns,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791058006215355,5791058005975188,3.96258489,1.956530873,5791054034238987,2.006054017,0.008863124,coding,3003506b1931dade,0,0,11047,11047,replay,0,5791058005975378,0,0.000239977,0.000124989,m-8eeae3b29ca5e252,0.000365936,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791058006341314,5791058006216325
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791084550763483,5791084550287598,8.3677053,0.699050307,5791076168599406,7.668654993,0.013145861,coding,1858969b477f5a36,0,0,30474,30474,replay,0,5791084550287958,0,0.000475525,0.000441035,m-988cc7b4f048dc77,0.00091761,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791084551205568,5791084550764533
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791098968610559,5791098968253073,3.314137797,0.711933895,5791095639230863,2.602203902,0.014273129,coding,1858969b477f5a36,1497858048,120,0,30474,kv_transfer,0,5791098968253283,0,0.000357276,0.000302097,m-bfb32da736673c8b,0.000660173,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791098968913456,5791098968611359
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,0.5501419779063589,5791121927062458,5791121926887450,3.322201951,2.29758432,5791118589319461,1.024617631,0.015016451,coding,fa2799ac94a53532,542982144,44,0,11047,kv_transfer,0,5791121926887780,1,0.000174678,0.000117969,m-5be8a90e46401351,0.000293267,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791121927181047,5791121927063078
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791147061214960,5791147060854514,12.856528078,0.686048459,5791134183445087,12.170479619,0.020225136,coding,234a053f10496d75,1497858048,120,0,30474,kv_transfer,0,5791147060855044,2,0.000359916,0.000302167,m-e9f76d4f1f949c8c,0.000663393,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791147061518437,5791147061216270
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791166624997997,5791166624772839,8.353585016,0.693367136,5791158249909867,7.66021788,0.02090672,coding,234a053f10496d75,0,0,30474,30474,replay,0,5791166624772959,2,0.000225038,0.000180688,m-3cb150757ac240aa,0.000406156,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791166625179115,5791166624998427
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791175804637889,5791175804539010,3.310978185,1.957632648,5791172475431156,1.353345537,0.017781302,coding,b816f26a5a80e29c,0,0,11047,11047,replay,0,5791175804539270,2,9.8619e-05,7.1359e-05,m-c42c85fa98845e0a,0.000170338,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791175804709608,5791175804638249
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791223468835049,5791223468627701,12.864117811,0.686354919,5791210573997267,12.177762892,0.029651622,coding,2b563800448c8dea,1497858048,120,0,30474,kv_transfer,0,5791223468628181,1,0.000206868,0.000182858,m-a8cf28e395f5e88d,0.000390926,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791223469019107,5791223468836249
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,0.5501419779063589,5791231987795355,5791231987625706,2.635618218,2.074045132,5791229321802962,0.561573086,0.02983737,coding,3003506b1931dade,542982144,44,0,11047,kv_transfer,0,5791231987625856,0,0.000169499,0.000242087,m-d721bf7512abeb92,0.000413296,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791231988039152,5791231987797065
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791252766331604,5791252766110906,8.345850394,0.68634132,5791244391880317,7.659509074,0.027546813,coding,1858969b477f5a36,0,0,30474,30474,replay,0,5791252766111016,0,0.000220588,0.000175738,m-148e6e9b8766abad,0.000396886,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791252766507902,5791252766332164
