phase,route,direction,bytes,window_s,bytes_per_s,target_bytes_per_s,target_ratio,ok
baseline,api,client_to_target,0,0.0,0.0,125000000.0,0.0,1
baseline,kv,target_to_client,0,0.0,0.0,125000000.0,0.0,1
drain,api,client_to_target,182064,42.92557096481323,4241.387963115057,125000000.0,3.3931103704920456e-05,1
drain,kv,target_to_client,913062528,43.10697102546692,21181319.547146495,125000000.0,0.16945055637717196,1
post,api,client_to_target,690206,59.15067911148071,11668.60652096953,125000000.0,9.334885216775624e-05,1
post,kv,target_to_client,931371296,59.24751615524292,15720005.773061952,125000000.0,0.1257600461844956,1
