phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,288.474375
baseline,1,240,240,1.0,83.26241666666667
drain,0,389,389,1.0,104.82285347043701
drain,1,389,389,1.0,305.6796658097686
post,0,240,240,1.0,88.40608333333333
post,1,240,240,1.0,345.89704166666667
