workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.25,reference,1,greedy,0.0,0.00026223102492732575
measured_pack,0.25,reference,1,isolated_fastest,0.12982959819157908,0.13176438481872155
measured_pack,0.25,reference,1,kv_only,0.12982959819157908,0.13176438481872155
measured_pack,0.25,reference,1,replay_only,0.0,0.0
measured_pack,0.25,reference,3,greedy,0.00851475303446525,0.00903762110380138
measured_pack,0.25,reference,3,isolated_fastest,0.4376252757685651,0.43947981151215554
measured_pack,0.25,reference,3,kv_only,0.4376252757685651,0.43947981151215554
measured_pack,0.25,reference,3,replay_only,-5.551115123125783e-17,0.0
measured_pack,0.25,reference,10,greedy,0.19761223934153438,0.225559246297043
measured_pack,0.25,reference,10,isolated_fastest,0.961083717924431,0.9826710580784028
measured_pack,0.25,reference,10,kv_only,0.961083717924431,0.9826710580784028
measured_pack,0.25,reference,10,replay_only,-2.220446049250313e-16,0.0
measured_pack,0.25,reference,30,greedy,-1.1102230246251565e-16,0.0
measured_pack,0.25,reference,30,isolated_fastest,0.9992349817110215,0.99924740855311
measured_pack,0.25,reference,30,kv_only,0.9992349817110215,0.99924740855311
measured_pack,0.25,reference,30,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,reference,60,greedy,0.0,0.0
measured_pack,0.25,reference,60,isolated_fastest,0.9984562625905832,0.9984813388290066
measured_pack,0.25,reference,60,kv_only,0.9984562625905832,0.9984813388290066
measured_pack,0.25,reference,60,replay_only,0.0,0.0
measured_pack,0.25,reference,120,greedy,0.0,0.0
measured_pack,0.25,reference,120,isolated_fastest,0.996898824349706,0.9969491993807995
measured_pack,0.25,reference,120,kv_only,0.996898824349706,0.9969491993807995
measured_pack,0.25,reference,120,replay_only,0.0,0.0
measured_pack,0.25,reference,300,greedy,0.0,0.0
measured_pack,0.25,reference,300,isolated_fastest,0.9922265096270746,0.9923527810361785
measured_pack,0.25,reference,300,kv_only,0.9922265096270746,0.9923527810361785
measured_pack,0.25,reference,300,replay_only,0.0,0.0
measured_pack,0.25,reference,600,greedy,0.0,0.0
measured_pack,0.25,reference,600,isolated_fastest,0.984439318422689,0.9846920837951436
measured_pack,0.25,reference,600,kv_only,0.984439318422689,0.9846920837951436
measured_pack,0.25,reference,600,replay_only,0.0,0.0
measured_pack,0.25,reference,1800,greedy,-1.1102230246251565e-16,0.0
measured_pack,0.25,reference,1800,isolated_fastest,0.9532905536051461,0.9540492948310038
measured_pack,0.25,reference,1800,kv_only,0.9532905536051461,0.9540492948310038
measured_pack,0.25,reference,1800,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,reference,3600,greedy,0.0,0.0
measured_pack,0.25,reference,3600,isolated_fastest,0.9065674063788323,0.9080851113847939
measured_pack,0.25,reference,3600,kv_only,0.9065674063788323,0.9080851113847939
measured_pack,0.25,reference,3600,replay_only,0.0,0.0
measured_pack,0.25,10,1,greedy,0.0,0.0
measured_pack,0.25,10,1,isolated_fastest,0.12858101589697477,0.128912284032364
measured_pack,0.25,10,1,kv_only,0.12858101589697477,0.128912284032364
measured_pack,0.25,10,1,replay_only,0.0,0.0
measured_pack,0.25,10,3,greedy,0.020287251415564145,0.020766905826718474
measured_pack,0.25,10,3,isolated_fastest,0.44953096740285947,0.44976664312384806
measured_pack,0.25,10,3,kv_only,0.44953096740285947,0.44976664312384806
measured_pack,0.25,10,3,replay_only,-5.551115123125783e-17,0.0
measured_pack,0.25,10,10,greedy,0.0024312714795665658,0.0026292159965914386
measured_pack,0.25,10,10,isolated_fastest,0.9821641403840462,0.982788803928724
measured_pack,0.25,10,10,kv_only,0.9821641403840462,0.982788803928724
measured_pack,0.25,10,10,replay_only,0.0,1.1102230246251565e-16
measured_pack,0.25,10,30,greedy,0.0,0.0
measured_pack,0.25,10,30,isolated_fastest,0.9993137905163637,0.9993137905163637
measured_pack,0.25,10,30,kv_only,0.9993137905163637,0.9993137905163637
measured_pack,0.25,10,30,replay_only,0.0,0.0
measured_pack,0.25,10,60,greedy,0.0,0.0
measured_pack,0.25,10,60,isolated_fastest,0.998615291600413,0.998615291600413
measured_pack,0.25,10,60,kv_only,0.998615291600413,0.998615291600413
measured_pack,0.25,10,60,replay_only,0.0,0.0
measured_pack,0.25,10,120,greedy,0.0,0.0
measured_pack,0.25,10,120,isolated_fastest,0.9972182937685115,0.9972182937685115
measured_pack,0.25,10,120,kv_only,0.9972182937685115,0.9972182937685115
measured_pack,0.25,10,120,replay_only,0.0,0.0
measured_pack,0.25,10,300,greedy,0.0,0.0
measured_pack,0.25,10,300,isolated_fastest,0.9930273002728068,0.9930273002728068
measured_pack,0.25,10,300,kv_only,0.9930273002728068,0.9930273002728068
measured_pack,0.25,10,300,replay_only,0.0,0.0
measured_pack,0.25,10,600,greedy,-1.1102230246251565e-16,0.0
measured_pack,0.25,10,600,isolated_fastest,0.9860423111132991,0.9860423111132991
measured_pack,0.25,10,600,kv_only,0.9860423111132991,0.9860423111132991
measured_pack,0.25,10,600,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,10,1800,greedy,0.0,0.0
measured_pack,0.25,10,1800,isolated_fastest,0.9581023544752684,0.9581023544752684
measured_pack,0.25,10,1800,kv_only,0.9581023544752684,0.9581023544752684
measured_pack,0.25,10,1800,replay_only,0.0,0.0
measured_pack,0.25,10,3600,greedy,-8.881784197001252e-16,0.0
measured_pack,0.25,10,3600,isolated_fastest,0.9161924195182214,0.9161924195182232
measured_pack,0.25,10,3600,kv_only,0.9161924195182214,0.9161924195182232
measured_pack,0.25,10,3600,replay_only,-8.881784197001252e-16,0.0
measured_pack,0.25,40,1,greedy,-5.551115123125783e-17,0.0
measured_pack,0.25,40,1,isolated_fastest,0.2134248548849995,0.21612613571196088
measured_pack,0.25,40,1,kv_only,0.2134248548849995,0.21612613571196088
measured_pack,0.25,40,1,replay_only,-5.551115123125783e-17,0.0
measured_pack,0.25,40,3,greedy,0.13082342275644065,0.13128185707772128
measured_pack,0.25,40,3,isolated_fastest,0.630632230538105,0.6310906956507734
measured_pack,0.25,40,3,kv_only,0.630632230538105,0.6310906956507734
measured_pack,0.25,40,3,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,40,10,greedy,0.0,0.0
measured_pack,0.25,40,10,isolated_fastest,0.9991178258413236,0.9991178258413236
measured_pack,0.25,40,10,kv_only,0.9991178258413236,0.9991178258413236
measured_pack,0.25,40,10,replay_only,0.0,0.0
measured_pack,0.25,40,30,greedy,0.0,0.0
measured_pack,0.25,40,30,isolated_fastest,0.9972551620654548,0.9972551620654548
measured_pack,0.25,40,30,kv_only,0.9972551620654548,0.9972551620654548
measured_pack,0.25,40,30,replay_only,0.0,0.0
measured_pack,0.25,40,60,greedy,0.0,0.0
measured_pack,0.25,40,60,isolated_fastest,0.9944611664016518,0.9944611664016518
measured_pack,0.25,40,60,kv_only,0.9944611664016518,0.9944611664016518
measured_pack,0.25,40,60,replay_only,0.0,0.0
measured_pack,0.25,40,120,greedy,0.0,0.0
measured_pack,0.25,40,120,isolated_fastest,0.9888731750740456,0.9888731750740456
measured_pack,0.25,40,120,kv_only,0.9888731750740456,0.9888731750740456
measured_pack,0.25,40,120,replay_only,0.0,0.0
measured_pack,0.25,40,300,greedy,-1.1102230246251565e-16,0.0
measured_pack,0.25,40,300,isolated_fastest,0.9721092010912272,0.9721092010912272
measured_pack,0.25,40,300,kv_only,0.9721092010912272,0.9721092010912272
measured_pack,0.25,40,300,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,40,600,greedy,0.0,0.0
measured_pack,0.25,40,600,isolated_fastest,0.9441692444531965,0.9441692444531965
measured_pack,0.25,40,600,kv_only,0.9441692444531965,0.9441692444531965
measured_pack,0.25,40,600,replay_only,0.0,0.0
measured_pack,0.25,40,1800,greedy,-4.332756375902136e-12,0.0
measured_pack,0.25,40,1800,isolated_fastest,0.8537047089505367,0.8537047089644058
measured_pack,0.25,40,1800,kv_only,0.8537047089505367,0.8537047089644058
measured_pack,0.25,40,1800,replay_only,-4.332756375902136e-12,0.0
measured_pack,0.25,40,3600,greedy,0.0,2.2006840794119853e-12
measured_pack,0.25,40,3600,isolated_fastest,0.7698848390364446,0.769884839051946
measured_pack,0.25,40,3600,kv_only,0.7698848390364446,0.769884839051946
measured_pack,0.25,40,3600,replay_only,0.0,2.2006840794119853e-12
measured_pack,0.25,100,1,greedy,2.5643922010265552e-05,2.657118568114014e-05
measured_pack,0.25,100,1,isolated_fastest,0.24994231664463065,0.2499433067676221
measured_pack,0.25,100,1,kv_only,0.24994231664463065,0.2499433067676221
measured_pack,0.25,100,1,replay_only,5.130370196970713e-05,5.3158422027466123e-05
measured_pack,0.25,100,3,greedy,0.10352958691205527,0.10484249629118503
measured_pack,0.25,100,3,isolated_fastest,0.7081890961249842,0.7097028729957987
measured_pack,0.25,100,3,kv_only,0.7081890961249842,0.7097028729957987
measured_pack,0.25,100,3,replay_only,-1.1102230246251565e-16,0.0
measured_pack,0.25,100,10,greedy,0.0,0.0
measured_pack,0.25,100,10,isolated_fastest,0.997794564603309,0.997794564603309
measured_pack,0.25,100,10,kv_only,0.997794564603309,0.997794564603309
measured_pack,0.25,100,10,replay_only,0.0,0.0
measured_pack,0.25,100,30,greedy,0.0,0.0
