activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,campaign,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,copy_policy,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,move_concurrency,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,serving_concurrency,session_id,split,success,switch_end_ns,switch_start_ns
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.7596281200787112,6738560009605172,6738560009505533,3041.7024346082385,390070968,1.025928016,0.743160723,0.506215382,6738558983577517,0.236945341,0.009466538,coding,0660c8d991f6e6da,0,213909504,17,142,4494,kv_transfer,1,0,6738560009507143,13,9.8029e-05,0,3.8039e-05,p-1f732f4ba90d7dfb,0.000136438,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,True,6738560009643581,6738560009605542
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.1244810863973465,6738561056365007,6738561056288578,4520.762881683409,591397982,1.046545457,0.552677858,0.434414775,6738560009743121,0.118263083,0.011716529,coding,0660c8d991f6e6da,0,440401920,35,146,9106,kv_transfer,1,1,6738561056289768,13,7.5239e-05,0,8.7439e-05,p-1f732f4ba90d7dfb,0.000163138,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,True,6738561056452906,6738561056365467
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.3879860065163605,6738562228431373,6738562228337954,4123.515937428503,603980832,1.171778339,0.574643707,0.448521503,6738561056559615,0.126122204,0.009340199,coding,0660c8d991f6e6da,0,603979776,48,144,12432,kv_transfer,1,2,6738562228339234,13,9.2139e-05,0,7.277e-05,p-1f732f4ba90d7dfb,0.000165359,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,True,6738562228504593,6738562228431823
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.9149958467543895,6738564018242902,6738564018100493,4725.291320785829,1056966814,1.789463112,0.872652988,0.730184926,6738562228637381,0.142468062,0.012014905,coding,0660c8d991f6e6da,0,931135488,74,143,19087,kv_transfer,1,3,6738564018101853,13,0.000141049,0,0.000106109,p-1f732f4ba90d7dfb,0.000247568,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,measurement,True,6738564018349421,6738564018243312
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.1785007668734035,6738565747583157,6738565747439438,5065.410123888289,1094715103,1.728926308,0.655921811,0.503463376,6738564018513130,0.152458435,0.01495087,coding,0660c8d991f6e6da,0,1094713344,87,140,22412,kv_transfer,1,4,6738565747440808,13,0.000142349,0,0.000126638,p-1f732f4ba90d7dfb,0.000269347,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,True,6738565747710155,6738565747583517
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.442005686992418,6738567898317370,6738567898140631,4681.471641798234,1258293495,2.150252897,0.667725868,0.507944357,6738565747887734,0.159781511,0.012394402,coding,0660c8d991f6e6da,0,1258291200,100,141,25741,kv_transfer,1,5,6738567898142361,13,0.000175009,0,0.000138858,p-1f732f4ba90d7dfb,0.000314317,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,True,6738567898456678,6738567898317820
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.5230841239521147,6738570197690921,6738570197509123,4553.988008113253,1308625231,2.298864606,0.668135664,0.480018319,6738567898644517,0.188117345,0.011698499,coding,0660c8d991f6e6da,0,1308622848,104,135,26759,kv_transfer,1,6,6738570197510383,13,0.000180538,0,0.000141499,p-1f732f4ba90d7dfb,0.000322407,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,True,6738570197832790,6738570197691291
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.6447017793916596,6738572691665762,6738572691462624,4440.876027413793,1384122840,2.493423066,0.711893975,0.531049896,6738570198039558,0.180844079,0.017531588,coding,0660c8d991f6e6da,0,1384120320,110,144,28304,kv_transfer,1,7,6738572691465374,13,0.000200388,0,0.000176038,p-1f732f4ba90d7dfb,0.000376826,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,True,6738572691842200,6738572691666162
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.688936387376652,6738607082760110,6738607082551082,0.002825049172517848,293,0.829720071,0.827181693,0.500143034,6738606252831011,0.327038659,0.002204481,coding,0660c8d991f6e6da,0,0,0,4494,4494,replay,1,0,6738607082553302,13,0.000206808,0,8.6199e-05,p-0943fc2f53b7d21e,0.000293807,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,True,6738607082847109,6738607082760910
none,0,False,0.0,10000,policy_hardware,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.290570257379091,6738608299139282,6738608298914664,1076.3229834128763,163578532,1.215832307,1.214864515,0.478445963,6738607083082357,0.736418552,0.000594935,coding,0660c8d991f6e6da,0,0,0,9106,9106,replay,1,1,6738608298916504,13,0.000222778,0,0.000187148,p-0943fc2f53b7d21e,0.000410736,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,True,6738608299327240,6738608299140092
