cohort,commit_100_s,commit_50_s,commit_90_s,completed_migrations,deadline_s,episode,match_id,matched_control_complete,planned_migrations,policy,power_drop_attainment_fraction,predicted_source_power_after_w,predicted_source_power_before_w,predicted_source_power_drop_w,readiness_100_s,readiness_50_s,readiness_90_s,realized_source_power_after_w,realized_source_power_before_w,realized_source_power_drop_w,scenario_id,status
idle_serial,13.708896908,5.035404129,13.708896908,8,180,13,0660c8d991f6e6da,True,8,kv_only,1.6327780208983251,67.1204195918,223.62056641482744,156.50014682302742,13.517890428,4.843203329,13.517890428,91.58,347.11,255.53000000000003,p-1f732f4ba90d7dfb,complete
idle_serial,13.191229646,5.006017654,13.191229646,8,180,13,0660c8d991f6e6da,True,8,greedy,1.6773147203295513,67.1204195918,223.62056641482744,156.50014682302742,12.987716584,4.80508199,12.987716584,92.29,354.78999999999996,262.49999999999994,p-0943fc2f53b7d21e,complete
idle_serial,13.470102958,5.12250695,13.470102958,8,180,13,0660c8d991f6e6da,True,8,queue_haul,1.7247268164242004,67.1204195918,223.62056641482744,156.50014682302742,13.248466889,4.902785372,13.248466889,92.82,362.74,269.92,p-1e9422c4f362518a,complete
idle_serial,20.533491202,6.121488303,20.533491202,8,180,13,0660c8d991f6e6da,True,8,replay_only,1.694119816384663,67.1204195918,223.62056641482744,156.50014682302742,20.354261936,5.942142543,20.354261936,91.9,357.03,265.13,p-a3eb7add76c6a183,complete
idle_serial,19.305379947,8.762523287,19.305379947,8,180,13,0660c8d991f6e6da,True,8,random,1.727793906198517,67.1204195918,223.62056641482744,156.50014682302742,19.126513924,8.583421657,19.126513924,92.06,362.46,270.4,p-7ae369247d9ed0d9,complete
idle_serial,12.205475704,4.389889997,12.205475704,8,180,8,fe749845b4197cbc,True,8,kv_only,1.73469485819073,67.1204195918,223.62056641482744,156.50014682302742,11.932901952,4.187376993,11.932901952,92.17,363.65,271.47999999999996,p-48e54a3e535ded45,complete
idle_serial,15.352458244,6.851920635,15.352458244,8,180,8,fe749845b4197cbc,True,8,random,1.7863561515768802,67.1204195918,223.62056641482744,156.50014682302742,15.095460518,6.719470654,15.095460518,92.38,371.945,279.565,p-3da4d61109756c39,complete
idle_serial,17.548535544,4.426007715,17.548535544,8,180,8,fe749845b4197cbc,True,8,replay_only,1.7165159615075394,67.1204195918,223.62056641482744,156.50014682302742,17.368225655,4.293513841,17.368225655,91.68,360.315,268.635,p-86d53a288d10c33e,complete
idle_serial,12.404362383,4.445098421,12.404362383,8,180,8,fe749845b4197cbc,True,8,greedy,1.7242475836469635,67.1204195918,223.62056641482744,156.50014682302742,12.099090256,4.21315921,12.099090256,92.0,361.845,269.845,p-633c61f66e581e55,complete
idle_serial,12.167882095,4.393130996,12.167882095,8,180,8,fe749845b4197cbc,True,8,queue_haul,1.7233210669443049,67.1204195918,223.62056641482744,156.50014682302742,11.877294152,4.159187887,11.877294152,92.17,361.87,269.7,p-d7bdce483ef589ce,complete
