catch_up_s,cohort,context_tokens,continuation_ttft_delta_s,continuation_ttft_s,drain_wait_s,episode,match_id,method,migration_ttft_s,order,policy,reaction_commit_s,reaction_readiness_s,route_switch_s,scenario_id,scheduler_wait_s,service_pause_s,session_id
0,idle_serial,4352,-0.009212219999999993,0.429796636,9.8029e-05,13,0660c8d991f6e6da,kv_transfer,0.839075049,0,kv_only,1.026698289,0.839707274,3.8039e-05,p-1f732f4ba90d7dfb,0.000632225,0.000136438,claude:eaad8d63-63bf-7139-f930-0ef47fa45253
0,idle_serial,8960,-0.008983136000000003,0.349343264,7.5239e-05,13,0660c8d991f6e6da,kv_transfer,0.859988067,1,kv_only,2.073507614,1.886785896,8.7439e-05,p-1f732f4ba90d7dfb,1.026797829,0.000163138,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e
0,idle_serial,12288,-0.014283649999999981,0.396198738,9.2139e-05,13,0660c8d991f6e6da,kv_transfer,0.985397419,2,kv_only,3.245559301,3.059011742,7.277e-05,p-1f732f4ba90d7dfb,2.073614323,0.000165359,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287
0,idle_serial,18944,-0.022939829999999994,0.422712537,0.000141049,13,0660c8d991f6e6da,kv_transfer,1.59751124,3,kv_only,5.035404129,4.843203329,0.000106109,p-1f732f4ba90d7dfb,3.245692089,0.000247568,claude:92cc24b6-ac8d-5231-bb2d-33b876557766
0,idle_serial,22272,0.03186231700000003,0.49492139,0.000142349,13,0660c8d991f6e6da,kv_transfer,1.590434031,4,kv_only,6.764764863,6.626001869,0.000126638,p-1f732f4ba90d7dfb,5.035567838,0.000269347,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa
0,idle_serial,25600,-0.013992526000000005,0.509598672,0.000175009,13,0660c8d991f6e6da,kv_transfer,2.000671937,5,kv_only,8.915511386,8.765614379,0.000138858,p-1f732f4ba90d7dfb,6.764942442,0.000314317,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0
0,idle_serial,26624,-0.03268502299999998,0.49032836,0.000180538,13,0660c8d991f6e6da,kv_transfer,2.151743674,6,kv_only,11.214887498,11.067442899,0.000141499,p-1f732f4ba90d7dfb,8.915699225,0.000322407,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb
0,idle_serial,28160,-0.02944372099999998,0.492546651,0.000200388,13,0660c8d991f6e6da,kv_transfer,2.302796162,7,kv_only,13.708896908,13.517890428,0.000176038,p-1f732f4ba90d7dfb,11.215094266,0.000376826,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5
0,idle_serial,4352,-0.016225425999999987,0.42278343,0.000206808,13,0660c8d991f6e6da,replay,0.652732679,0,greedy,0.830534383,0.653250964,8.6199e-05,p-0943fc2f53b7d21e,0.000518285,0.000293807,claude:eaad8d63-63bf-7139-f930-0ef47fa45253
0,idle_serial,8960,-0.011089091999999967,0.347237308,0.000222778,13,0660c8d991f6e6da,replay,1.040767687,1,greedy,2.047014514,1.871537318,0.000187148,p-0943fc2f53b7d21e,0.830769631,0.000410736,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e
