bandwidth_mbps,cache_hit_tokens,campaign,commit_ns,copied_blocks_after,copied_blocks_before,copy_policy,destination_ready_ns,duplicate_body_bytes,error,first_body_ns,last_body_ns,logical_body_bytes,measured_prompt_tokens,method,move_concurrency,newly_created_tokens,pause_ns,phase,processed_tail_tokens,protocol_bytes,repeat,route_switch_ns,scenario_id,serving_concurrency,session_id,split,stage_index,start_ns,success,wire_body_bytes,wire_bytes
10000,4352,policy_hardware,6738560009643581,,,initial_final,6738560009505533,0,,6738440303307796,6738559237472961,213909504,4494,kv_transfer,1,0,6738560009507143,initial,142,221,13,6738560009605542,p-1f732f4ba90d7dfb,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6738558983577517,True,213909504,213909725
10000,8960,policy_hardware,6738561056452906,,,initial_final,6738561056288578,0,,6738559187774652,6738560458732750,440401920,9106,kv_transfer,1,0,6738561056289768,initial,146,455,13,6738561056365467,p-1f732f4ba90d7dfb,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6738560009743121,True,440401920,440402375
10000,12288,policy_hardware,6738562228504593,,,initial_final,6738562228337954,0,,6738561080568147,6738561614271569,603979776,12432,kv_transfer,1,0,6738562228339234,initial,144,624,13,6738562228431823,p-1f732f4ba90d7dfb,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,-1,6738561056559615,True,603979776,603980400
10000,18944,policy_hardware,6738564018349421,,,initial_final,6738564018100493,0,,6738562265471681,6738563093742195,931135488,19087,kv_transfer,1,0,6738564018101853,initial,143,962,13,6738564018243312,p-1f732f4ba90d7dfb,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,measurement,-1,6738562228637381,True,931135488,931136450
10000,22272,policy_hardware,6738565747710155,,,initial_final,6738565747439438,0,,6738564057972787,6738565055207662,1094713344,22412,kv_transfer,1,0,6738565747440808,initial,140,1131,13,6738565747583517,p-1f732f4ba90d7dfb,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,-1,6738564018513130,True,1094713344,1094714475
10000,25600,policy_hardware,6738567898456678,,,initial_final,6738567898140631,0,,6738566066298947,6738567186105088,1258291200,25741,kv_transfer,1,0,6738567898142361,initial,141,1300,13,6738567898317820,p-1f732f4ba90d7dfb,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,-1,6738565747887734,True,1258291200,1258292500
10000,26624,policy_hardware,6738570197832790,,,initial_final,6738570197509123,0,,6738568341420940,6738569462041263,1308622848,26759,kv_transfer,1,0,6738570197510383,initial,135,1352,13,6738570197691291,p-1f732f4ba90d7dfb,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,-1,6738567898644517,True,1308622848,1308624200
10000,28160,policy_hardware,6738572691842200,,,initial_final,6738572691462624,0,,6738570677970608,6738571918413770,1384120320,28304,kv_transfer,1,0,6738572691465374,initial,144,1430,13,6738572691666162,p-1f732f4ba90d7dfb,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,-1,6738570198039558,True,1384120320,1384121750
10000,0,policy_hardware,6738607082847109,,,initial_final,6738607082551082,0,,,,0,4494,replay,1,0,6738607082553302,initial,4494,0,13,6738607082760910,p-0943fc2f53b7d21e,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6738606252831011,True,0,0
10000,0,policy_hardware,6738608299327240,,,initial_final,6738608298914664,0,,,,0,9106,replay,1,0,6738608298916504,initial,9106,0,13,6738608299140092,p-0943fc2f53b7d21e,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6738607083082357,True,0,0
10000,12288,policy_hardware,6738609531352745,,,initial_final,6738609531183587,0,,6738608324549751,6738608847026001,603979776,12432,kv_transfer,1,0,6738609531184447,initial,144,624,13,6738609531280286,p-0943fc2f53b7d21e,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,-1,6738608299591188,True,603979776,603980400
10000,18944,policy_hardware,6738611258330380,,,initial_final,6738611258090042,0,,6738609557312790,6738610351479309,931135488,19087,kv_transfer,1,0,6738611258091342,initial,143,962,13,6738611258226341,p-0943fc2f53b7d21e,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,measurement,-1,6738609531482404,True,931135488,931136450
10000,22272,policy_hardware,6738613030179265,,,initial_final,6738613029899908,0,,6738611289516459,6738612204778657,1094713344,22412,kv_transfer,1,0,6738613029901588,initial,140,1131,13,6738613030059676,p-0943fc2f53b7d21e,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,-1,6738611258479259,True,1094713344,1094714475
10000,25600,policy_hardware,6738614933077172,,,initial_final,6738614932694205,0,,6738613170257038,6738614217975125,1258291200,25741,kv_transfer,1,0,6738614932695375,initial,141,1300,13,6738614932876693,p-0943fc2f53b7d21e,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,-1,6738613030356034,True,1258291200,1258292500
10000,26624,policy_hardware,6738617101833878,,,initial_final,6738617101505101,0,,6738615248400282,6738616370654971,1308622848,26759,kv_transfer,1,0,6738617101506291,initial,135,1352,13,6738617101686589,p-0943fc2f53b7d21e,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,-1,6738614933265060,True,1308622848,1308624200
10000,28160,policy_hardware,6738619443542372,,,initial_final,6738619443211195,0,,6738617485148978,6738618627954628,1384120320,28304,kv_transfer,1,0,6738619443212375,initial,144,1430,13,6738619443393803,p-0943fc2f53b7d21e,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,-1,6738617102030836,True,1384120320,1384121750
10000,0,policy_hardware,6738687201425065,,,initial_final,6738687201084768,0,,,,0,4494,replay,1,0,6738687201086898,initial,4494,0,13,6738687201334276,p-1e9422c4f362518a,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6738686355426591,True,0,0
10000,8960,policy_hardware,6738688287040558,,,initial_final,6738688286828030,0,,6738686850351021,6738687610929554,440401920,9106,kv_transfer,1,0,6738688286829080,initial,146,455,13,6738688286917319,p-1e9422c4f362518a,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6738687201616983,True,440401920,440402375
10000,12288,policy_hardware,6738689587387956,,,initial_final,6738689587211027,0,,6738688307986339,6738688821904869,603979776,12432,kv_transfer,1,0,6738689587212157,initial,144,624,13,6738689587315366,p-1e9422c4f362518a,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,-1,6738688287144877,True,603979776,603980400
