gpus,load,wan_gbps,deadline_s,draw,policy,shed_fraction,action_fractions,resource_utilization,qh_gap
64,0.5,40,1,2,queue_haul,0.2956179295388576,"[0.125, 0.020756645103506655, 0.125, 0.024861284435350958]","[1.0, 1.0, 0.3649434363108609, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.23321063216561067, 0.23977805509656155, 0.0049420652855740686, 0.0035680418372148375, 1.0000000000000002, 0.5439647651924178, 1.0]",0.0
64,0.5,40,1,2,greedy,0.2728310386843784,"[0.125, 0.0, 0.125, 0.02283103868437838]","[1.0, 0.18264830947502703, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2365296618950054, 0.004563198516960482, 0.003115059753402024, 0.0063717045157945535, 0.9970942782350151, 1.0]",0.022786890854479214
64,0.5,40,1,2,kv_only,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.24981061726706705
64,0.5,40,1,2,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.0063717045157945535, 0.00026483978580182113, 0.003170561550786722]",0.04561792953885763
64,0.5,40,1,2,isolated_fastest,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.24981061726706705
64,0.5,40,1,3,queue_haul,0.2952118108243028,"[0.125, 0.020149623770955846, 0.125, 0.025062187053346934]","[1.0, 1.0, 0.36169448659442227, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2322393980335294, 0.24009949928535512, 0.0049309854501962316, 0.003564296070064942, 1.0000000000000002, 0.5531883798197341, 1.0]",0.0
64,0.5,40,1,3,greedy,0.27262911174692883,"[0.125, 0.0, 0.125, 0.02262911174692881]","[1.0, 0.1810328939754305, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2362065787950861, 0.004563198516960482, 0.0031076882917899892, 0.006922504713731996, 0.9969069444531519, 1.0]",0.02258269907737398
64,0.5,40,1,3,kv_only,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.24980099104577352
64,0.5,40,1,3,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.006922504713731996, 0.00026729525535936714, 0.0033603508022074886]",0.04521181082430281
64,0.5,40,1,3,isolated_fastest,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.24980099104577352
64,0.5,40,1,4,queue_haul,0.2956235350196872,"[0.125, 0.0, 0.125, 0.04562353501968718]","[1.0, 1.0, 0.3649882801574975, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2729976560314995, 0.004563198516960482, 0.0039471132372028905, 0.0063037167579780675, 0.9971834261022102, 0.9999999999999998]",0.0
64,0.5,40,1,4,greedy,0.27283310947743894,"[0.125, 0.0, 0.125, 0.022833109477438926]","[1.0, 0.1826648758195114, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2365329751639023, 0.004563198516960482, 0.003115135348920606, 0.0063037167579780675, 0.9971834261022104, 1.0]",0.02279042554224825
