model,arm,evidence,offered_rps,scheduler_token_budget,resident_requests,migration_requests,resident_mean_ttft_s,migration_mean_ttft_s,resident_mean_tpot_s,completion_window_s,peak_waiting,kv_source_to_destination_bytes,kv_destination_to_source_bytes
Qwen/Qwen3.8-27B,none,shared-qwen,0.25,1567,30,0,71.38951764866667,,0.32002915773333335,219.725389723,19.0,0,0
Qwen/Qwen3.8-27B,replay,shared-qwen,0.25,1567,30,8,211.265900797,144.745916578125,0.44329302117506564,423.010143984,29.0,0,0
Qwen/Qwen3.8-27B,kv,shared-qwen,0.25,1567,30,8,94.0684541127,108.270180871,0.32111074907716536,255.813862849,27.0,9453964160,1644234064
Qwen/Qwen3.8-27B,mixed,shared-qwen,0.25,1567,30,8,128.3020848348,122.18996693950001,0.3528269809850394,297.632734455,28.0,4726982080,822117032
openai/gpt-oss-20b,none,shared-gpt-partial,0.25,8192,30,0,94.5233400164,,0.49569898865669293,307.340033694,17.0,0,0
openai/gpt-oss-20b,replay,shared-gpt-partial,0.25,8192,30,8,154.06835233179999,91.0802642065,0.4948451429377953,388.583759858,25.0,0,0
openai/gpt-oss-20b,kv,shared-gpt-partial,0.25,8192,30,8,104.2118978536,72.587991913375,0.43474347199133856,322.104974839,22.0,3246399616,199160
openai/gpt-oss-20b,mixed,shared-gpt-mixed,0.25,8192,30,8,127.74585086953333,86.97064062325,0.4706958016089239,353.832014508,24.0,1623199808,99580
google/gemma-4-26B-A4B-it,none,shared-gemma,0.25,8192,30,0,1.0531893014666667,,0.03896582947217848,121.241910307,0.0,0,0
google/gemma-4-26B-A4B-it,replay,shared-gemma,0.25,8192,30,8,1.8325434234,4.900197006,0.04195450859868766,121.272160335,7.0,0,0
google/gemma-4-26B-A4B-it,kv,shared-gemma,0.25,8192,30,8,1.0585524178666668,7.6846214086249995,0.03966205628792651,121.297701372,8.0,4362084896,215968
google/gemma-4-26B-A4B-it,mixed,shared-gemma,0.25,8192,30,8,1.1776286193,4.951269288375,0.04058229426929134,121.29334166,7.0,2181042448,107984
