sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
1,1,1,lp,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.136982026543206,0.0,6.4187e-05,0,0.0,0.00037012482061982155,0.011530708987265825,0.0001660408452153206
1,1,1,lp_peak_first,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.136982026543206,0.0,6.4187e-05,0,0.0,0.00037012482061982155,0.010650124866515398,0.0001660417765378952
1,1,1,lp_work_first,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.136982026543206,0.0,6.4187e-05,0,0.0,0.00037012482061982155,0.009277749806642532,0.00017037522047758102
3,1,1,lp,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.136982026543206,0.0,0.000128374,0,0.0,0.00034220796078443527,0.003971625119447708,0.0002309582196176052
3,1,1,lp_peak_first,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.136982026543206,0.0,0.000128374,0,0.0,0.00034220796078443527,0.010274041909724474,0.00022916682064533234
3,1,1,lp_work_first,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.136982026543206,0.0,0.000128374,0,0.0,0.00034220796078443527,0.010059917345643044,0.00023504206910729408
10,1,1,lp,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.278271333670034,42.925755675605956,42.925755675605956,0.6649326915910355,True,7,7,0,7,7,0,0,41.756750329930604,7.376840715099614,0.0,0.000377885,0,0.0,0.0004724999889731407,0.004312584176659584,0.0004990417510271072
10,1,1,lp_peak_first,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.278271333670034,42.925755675605956,42.925755675605956,0.6649326915910355,True,7,7,0,7,7,0,0,41.756750329930604,7.376840715099614,0.0,0.000377885,0,0.0,0.0004724999889731407,0.012034082785248756,0.0004975828342139721
10,1,1,lp_work_first,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.278271333670034,42.925755675605956,42.925755675605956,0.6649326915910355,True,7,7,0,7,7,0,0,41.756750329930604,7.376840715099614,0.0,0.000377885,0,0.0,0.0004724999889731407,0.011008000001311302,0.0005012922920286655
32,1,1,lp,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817685,119.36748709404162,119.36748709404162,0.805402239171362,True,28,28,0,28,28,0,0,199.9664581489446,8.136982026543208,0.0,0.001666292,0,0.0,0.0008778329938650131,0.006853708066046238,0.0016217497177422047
