dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,committed,0.3134441375732422,0.3620321750640869,1.280026912689209,1.642059087753296,0.6717579364776611,3.9816384315490723,3.981813430786133,2.0259222984313965,1.280317783355713
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,committed,0.3591187000274658,3.329723358154297,0.0,3.329723358154297,3.6842758655548096,3.6888420581817627,3.6892576217651367,2.384185791015625e-05,0.000316619873046875
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,committed,4.3406288623809814,0.20963430404663086,0.0,0.20963430404663086,4.547089338302612,4.550263166427612,4.550621032714844,1.9788742065429688e-05,0.0002815723419189453
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,committed,4.893532037734985,0.6055049896240234,0.0,0.6055049896240234,5.494909763336182,5.499037027359009,5.4993085861206055,1.8835067749023438e-05,0.00018525123596191406
4,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,5.876073122024536,0.3775358200073242,0.3591165542602539,0.7366523742675781,6.2498438358306885,8.03857970237732,8.038776397705078,1.4247050285339355,0.35950684547424316
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,committed,8.4031822681427,0.3227081298828125,0.08568096160888672,0.4083890914916992,8.72171926498413,10.99192190170288,10.992120504379272,2.180094003677368,0.0860598087310791
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,committed,11.359582901000977,0.46839070320129395,0.6833319664001465,1.1517226696014404,11.822707176208496,15.090496301651001,15.090725421905518,2.57883358001709,0.6838371753692627
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,committed,15.439937829971313,0.49166440963745117,0.0,0.49166440963745117,15.92786979675293,15.931602239608765,15.931808710098267,1.7642974853515625e-05,0.0001392364501953125
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,16.30489706993103,0.29372191429138184,0.0,0.29372191429138184,16.594650745391846,16.598618984222412,16.598928451538086,2.9087066650390625e-05,0.00013375282287597656
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,committed,16.97023344039917,0.4819145202636719,0.0,0.4819145202636719,17.449049472808838,17.452147960662842,17.4524564743042,1.8596649169921875e-05,0.00023055076599121094
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,committed,17.788933753967285,0.4325711727142334,0.5137038230895996,0.946274995803833,18.218291997909546,18.764567852020264,18.76471185684204,0.0291595458984375,0.5139739513397217
