summary_type,variant,claim,n,mean_predicted_p,observed_rate,mean_bias,ece,median_absolute_final_work_error,median_interval80_width
claim_calibration,eb_direct,finish_within_16_work_units,917339,0.8480928167141562,0.8543515537876402,-0.006258737073484089,0.007063218740082587,,
claim_calibration,eb_direct,finish_within_32_work_units,917339,0.9453032394325431,0.9468964036195997,-0.0015931641870566137,0.002274168933050751,,
claim_calibration,eb_direct,finish_within_8_work_units,917339,0.7089909559517333,0.7233421886565381,-0.014351232704804621,0.014351232704804609,,
claim_calibration,eb_direct,remaining_le_25pct,917339,0.3704336920546637,0.4005149677491091,-0.030081275694445398,0.030081275694445398,,
claim_calibration,eb_direct,remaining_le_50pct,917339,0.5609269690266299,0.5800538296093375,-0.019126860582707506,0.0191268605827075,,
claim_calibration,eb_filter,finish_within_16_work_units,917339,0.8915872050289296,0.8543515537876402,0.03723565124128939,0.03788854925233847,,
claim_calibration,eb_filter,finish_within_32_work_units,917339,0.968954749782279,0.9468964036195997,0.022058346162679283,0.022623343436879412,,
claim_calibration,eb_filter,finish_within_8_work_units,917339,0.7580422320953949,0.7233421886565381,0.034700043438856874,0.03560823395709229,,
claim_calibration,eb_filter,remaining_le_25pct,917339,0.40043490890958006,0.4005149677491091,-8.005883952906652e-05,0.025184501281037254,,
claim_calibration,eb_filter,remaining_le_50pct,917339,0.6013114067944317,0.5800538296093375,0.021257577185094217,0.03342537956054705,,
claim_calibration,eb_gbm_mixed_filter,finish_within_16_work_units,917339,0.892596041657495,0.8543515537876402,0.038244487869854724,0.03853958691700082,,
claim_calibration,eb_gbm_mixed_filter,finish_within_32_work_units,917339,0.971626625277628,0.9468964036195997,0.024730221658028243,0.02497517683237501,,
claim_calibration,eb_gbm_mixed_filter,finish_within_8_work_units,917339,0.7572199375154672,0.7233421886565381,0.03387774885892915,0.03433353329418883,,
claim_calibration,eb_gbm_mixed_filter,remaining_le_25pct,917339,0.3940288022804979,0.4005149677491091,-0.006486165468611193,0.02468940492673315,,
claim_calibration,eb_gbm_mixed_filter,remaining_le_50pct,917339,0.6002446965611947,0.5800538296093375,0.020190866951857397,0.03377302146024924,,
claim_calibration,gbm_direct,finish_within_16_work_units,918612,0.8521816501510528,0.853551880445716,-0.0013702302946629946,0.022413681412690345,,
claim_calibration,gbm_direct,finish_within_32_work_units,918612,0.9762453520808263,0.9461470131023761,0.030098338978450073,0.030149551434216507,,
claim_calibration,gbm_direct,finish_within_8_work_units,918612,0.7000781514001464,0.7225890800468533,-0.022510928646706983,0.0307485369504705,,
claim_calibration,gbm_direct,remaining_le_25pct,918612,0.3008477258082605,0.4006947438091381,-0.09984701800087757,0.10491444581588537,,
claim_calibration,gbm_direct,remaining_le_50pct,918612,0.5479152271284512,0.5804703182627704,-0.032555091134319154,0.040545406958627975,,
final_work,eb_direct,,917339,,,,,2.0,18.0
final_work,eb_filter,,917339,,,,,2.0,16.0
final_work,gbm_direct,,918612,,,,,2.3868894553447735,18.886018994229246
final_work,eb_gbm_mixed_filter,,917339,,,,,2.0,15.0
