model,params,kv_dtype,link,tokens,kv_GB,ctx_MB,t_kv_s,t_ctx_s,prefill_tok_s,t_replay_s,t_saved_s,winner,breakeven_tok_s
MoE-0.6T,1401274761216,bf16,Same-rack,1000,0.196608,0.004,0.004676070588235294,5.009411764705883e-05,1000,1.0000500941176471,-0.9953740235294118,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1000,0.196608,0.004,0.004676070588235294,5.009411764705883e-05,3000,0.3333834274509804,-0.3287073568627451,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1000,0.196608,0.004,0.004676070588235294,5.009411764705883e-05,10000,0.10005009411764706,-0.09537402352941177,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1000,0.196608,0.004,0.004676070588235294,5.009411764705883e-05,30000,0.03338342745098039,-0.028707356862745097,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1000,0.196608,0.004,0.004676070588235294,5.009411764705883e-05,100000,0.01005009411764706,-0.005374023529411766,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1169,0.229834752,0.004676,0.005457876517647058,5.011002352941177e-05,1000,1.1690501100235295,-1.1635922335058826,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1169,0.229834752,0.004676,0.005457876517647058,5.011002352941177e-05,3000,0.38971677669019605,-0.384258900172549,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1169,0.229834752,0.004676,0.005457876517647058,5.011002352941177e-05,10000,0.11695011002352941,-0.11149223350588235,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1169,0.229834752,0.004676,0.005457876517647058,5.011002352941177e-05,30000,0.03901677669019608,-0.03355890017254902,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1169,0.229834752,0.004676,0.005457876517647058,5.011002352941177e-05,100000,0.011740110023529413,-0.006282233505882354,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1366,0.268566528,0.005464,0.006369212423529411,5.0128564705882355e-05,1000,1.366050128564706,-1.3596809161411765,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1366,0.268566528,0.005464,0.006369212423529411,5.0128564705882355e-05,3000,0.4553834618980392,-0.4490142494745098,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1366,0.268566528,0.005464,0.006369212423529411,5.0128564705882355e-05,10000,0.13665012856470587,-0.13028091614117646,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1366,0.268566528,0.005464,0.006369212423529411,5.0128564705882355e-05,30000,0.04558346189803922,-0.039214249474509806,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1366,0.268566528,0.005464,0.006369212423529411,5.0128564705882355e-05,100000,0.013710128564705883,-0.007340916141176472,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1597,0.313982976,0.006388,0.0074378347294117644,5.015030588235294e-05,1000,1.5970501503058823,-1.5896123155764705,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1597,0.313982976,0.006388,0.0074378347294117644,5.015030588235294e-05,3000,0.5323834836392157,-0.524945648909804,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1597,0.313982976,0.006388,0.0074378347294117644,5.015030588235294e-05,10000,0.15975015030588235,-0.1523123155764706,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1597,0.313982976,0.006388,0.0074378347294117644,5.015030588235294e-05,30000,0.05328348363921569,-0.04584564890980392,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1597,0.313982976,0.006388,0.0074378347294117644,5.015030588235294e-05,100000,0.016020150305882355,-0.00858231557647059,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1867,0.367067136,0.007468,0.008686873788235294,5.0175717647058824e-05,1000,1.867050175717647,-1.8583633019294117,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1867,0.367067136,0.007468,0.008686873788235294,5.0175717647058824e-05,3000,0.6223835090509804,-0.6136966352627451,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1867,0.367067136,0.007468,0.008686873788235294,5.0175717647058824e-05,10000,0.18675017571764707,-0.17806330192941178,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1867,0.367067136,0.007468,0.008686873788235294,5.0175717647058824e-05,30000,0.062283509050980394,-0.0535966352627451,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,1867,0.367067136,0.007468,0.008686873788235294,5.0175717647058824e-05,100000,0.01872017571764706,-0.010033301929411764,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2183,0.429195264,0.008732,0.010148712094117647,5.0205458823529413e-05,1000,2.1830502054588234,-2.172901493364706,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2183,0.429195264,0.008732,0.010148712094117647,5.0205458823529413e-05,3000,0.7277168721254902,-0.7175681600313726,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2183,0.429195264,0.008732,0.010148712094117647,5.0205458823529413e-05,10000,0.21835020545882353,-0.2082014933647059,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2183,0.429195264,0.008732,0.010148712094117647,5.0205458823529413e-05,30000,0.07281687212549019,-0.06266816003137254,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2183,0.429195264,0.008732,0.010148712094117647,5.0205458823529413e-05,100000,0.021880205458823528,-0.011731493364705881,kv,216170.57638705213
MoE-0.6T,1401274761216,bf16,Same-rack,2551,0.501547008,0.010204,0.011851106070588235,5.024009411764706e-05,1000,2.551050240094118,-2.5391991340235296,kv,216170.57638705213
