model,tokens,bandwidth_gbps,kv_GB,t_transmit_s,t_replay_s,winner,prefill_tok_s,crossover_bw_gbps
DeepSeek-V4-Pro,1000,1,0.070272,0.562176,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,6,0.070272,0.093696,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,11,0.070272,0.05110690909090909,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,16,0.070272,0.035136,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,21,0.070272,0.026770285714285715,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,26,0.070272,0.021622153846153847,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,31,0.070272,0.018134709677419356,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,36,0.070272,0.015616,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,41,0.070272,0.013711609756097561,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,46,0.070272,0.012221217391304348,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,51,0.070272,0.011023058823529412,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,56,0.070272,0.010038857142857143,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,61,0.070272,0.009216,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,66,0.070272,0.008517818181818182,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,71,0.070272,0.007917971830985915,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,76,0.070272,0.0073970526315789474,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,81,0.070272,0.006940444444444444,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,86,0.070272,0.006536930232558139,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
DeepSeek-V4-Pro,1000,91,0.070272,0.006177758241758242,0.6128406760075112,transmit,1631.7454750469983,0.9173281441800213
