phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,294.36945606694565
baseline,1,239,239,1.0,82.62305439330548
drain,0,317,317,1.0,108.29246056782334
drain,1,317,317,1.0,344.4155205047319
post,0,239,239,1.0,88.01456066945605
post,1,239,239,1.0,326.4431380753138
