api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
166670,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,0,True,30,germany,,4026537280,,10.01831328,65536,4x16k,queue_haul_deadline_blind,50.54949956748126,0,1,49.485305963499734,0,5e21aae9384bc54e,4,complete,True,agentic_tool_loop
170368,1,"{""east"": [0.5, 0], ""germany"": [0.5, 0]}",natural,1,True,30,germany,,3221229824,,11.804822877,65536,4x16k,queue_haul_deadline_blind,61.85663245437466,0,0,49.485305963499734,0,6871e452cdb850ee,4,complete,True,agentic_tool_loop
195056,1,"{""east"": [0.85, 0], ""germany"": [0.85, 0]}",natural,2,True,30,germany,,3221229824,,11.745837786,65536,4x16k,queue_haul_deadline_blind,61.85663245437466,0,0,49.485305963499734,0,bb0ea50153ef05f1,4,complete,True,agentic_tool_loop
246906,1,"{""east"": [0.9, 0], ""germany"": [0.9, 0]}",natural,3,True,30,germany,,4026537280,,13.942098612,65536,4x16k,queue_haul_deadline_blind,61.85663245437466,0,0,49.485305963499734,0,aeac7594541b8295,4,complete,True,agentic_tool_loop
202771,1,"{""east"": [0.95, 0], ""germany"": [0.95, 0]}",natural,4,True,30,germany,,3221229824,,12.174884126,65536,4x16k,queue_haul_deadline_blind,61.85663245437466,0,0,49.485305963499734,0,fb1b8a67e0916927,4,complete,True,agentic_tool_loop
266669,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,5,True,30,germany,,6442459648,,14.632663346,131072,8x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,abd020a0f4ec1911,8,complete,True,agentic_tool_loop
364809,1,"{""east"": [0.5, 0], ""germany"": [0.5, 0]}",natural,6,True,30,germany,,7247767104,,18.516914527,131072,8x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,41588f88135943ba,8,complete,True,agentic_tool_loop
371613,1,"{""east"": [0.85, 0], ""germany"": [0.85, 0]}",natural,7,True,30,germany,,6442459648,,17.920027795,131072,8x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,3dcd905aad55042d,8,complete,True,agentic_tool_loop
377819,1,"{""east"": [0.9, 0], ""germany"": [0.9, 0]}",natural,8,True,30,germany,,6442459648,,18.153795513,131072,8x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,c8b7428ebbc001bf,8,complete,True,agentic_tool_loop
432799,1,"{""east"": [0.95, 0], ""germany"": [0.95, 0]}",natural,9,True,30,germany,,7247767104,,19.857043657,131072,8x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,2af24a3d0444b9de,8,complete,True,agentic_tool_loop
566677,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,10,True,30,germany,,13690226752,,26.986313623,262144,16x16k,queue_haul_deadline_blind,59.771948023687244,0,1,49.48530596349974,0,71a5a320c2acdbf5,16,complete,True,agentic_tool_loop
650636,1,"{""east"": [0.5, 0], ""germany"": [0.5, 0]}",natural,11,False,30,germany,,12884919296,,30.156917864,262144,16x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,144e239547f1f7f4,16,complete,True,agentic_tool_loop
680775,1,"{""east"": [0.85, 0], ""germany"": [0.85, 0]}",natural,12,True,30,germany,,12079611840,,28.157433595,262144,16x16k,queue_haul_deadline_blind,54.38687270960004,0,1,49.48530596349974,0,504b0dea122c8cfd,16,complete,True,agentic_tool_loop
696225,1,"{""east"": [0.9, 0], ""germany"": [0.9, 0]}",natural,13,True,30,germany,,12079611840,,28.705945636,262144,16x16k,queue_haul_deadline_blind,54.38687270960004,0,1,49.48530596349974,0,e502241dcafc99cc,16,complete,True,agentic_tool_loop
749644,1,"{""east"": [0.95, 0], ""germany"": [0.95, 0]}",natural,14,False,30,germany,,12884919296,,30.156537152,262144,16x16k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,7cc1816b1eff11ba,16,complete,True,agentic_tool_loop
135597,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,15,True,30,germany,,3221229824,,8.736196041,65536,8x8k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,4616f24e7d55bb71,8,complete,True,agentic_tool_loop
172629,1,"{""east"": [0.5, 0], ""germany"": [0.5, 0]}",natural,16,True,30,germany,,3221229824,,11.629498317,65536,8x8k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,3f820eb09a7e7d28,8,complete,True,agentic_tool_loop
197317,1,"{""east"": [0.85, 0], ""germany"": [0.85, 0]}",natural,17,True,30,germany,,3221229824,,11.97911473,65536,8x8k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,e5c56187a3a974ac,8,complete,True,agentic_tool_loop
201946,1,"{""east"": [0.9, 0], ""germany"": [0.9, 0]}",natural,18,True,30,germany,,3221229824,,12.423767434,65536,8x8k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,7dcf7b59c0ef603a,8,complete,True,agentic_tool_loop
208118,1,"{""east"": [0.95, 0], ""germany"": [0.95, 0]}",natural,19,True,30,germany,,3221229824,,12.241631475,65536,8x8k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,b5938c72f62f3f77,8,complete,True,agentic_tool_loop
397741,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,20,True,30,germany,,9663689472,,22.844697794,196608,8x24k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,db231df0a301bdbe,8,complete,True,agentic_tool_loop
487235,1,"{""east"": [0.5, 0], ""germany"": [0.5, 0]}",natural,21,True,30,germany,,9663689472,,24.537052639,196608,8x24k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,51433243c8d9c017,8,complete,True,agentic_tool_loop
550690,1,"{""east"": [0.85, 0], ""germany"": [0.85, 0]}",natural,22,True,30,germany,,9663689472,,24.724071062,196608,8x24k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,e759424c0304f6b7,8,complete,True,agentic_tool_loop
563056,1,"{""east"": [0.9, 0], ""germany"": [0.9, 0]}",natural,23,True,30,germany,,9663689472,,25.087387114,196608,8x24k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,3d580eb004048d9f,8,complete,True,agentic_tool_loop
570781,1,"{""east"": [0.95, 0], ""germany"": [0.95, 0]}",natural,24,True,30,germany,,9663689472,,24.550124724,196608,8x24k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,9141280f76d94282,8,complete,True,agentic_tool_loop
508333,1,"{""east"": [0, 0], ""germany"": [0, 0]}",natural,25,True,30,"east,germany",,12381602136,,29.993541263,251904,8x31k,queue_haul_deadline_blind,61.856632454374676,0,0,49.48530596349974,0,4a28a2f967a0db25,8,complete,True,agentic_tool_loop
