phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,125.29853556485355
baseline,1,239,239,1.0,83.1378242677824
drain,0,44,44,1.0,100.94250000000001
drain,1,44,44,1.0,274.2952272727273
post,0,240,240,1.0,124.258875
post,1,240,240,1.0,90.15883333333335
