test,policy,p50_time_to_resume_s
T1,min_cost_independent,0
T1,replay_all,0
T1,kv_all,0
T1,cache_reuse,0
T1,strong_site_reuse,0
T1,workspace_sticky,0
T1,mixed_min_pressure,0
T1,mixed_lookahead,0
T1,random_mode,0
T2,min_cost_independent,0
T2,replay_all,25.5573
T2,kv_all,0
T2,cache_reuse,0
T2,strong_site_reuse,0
T2,workspace_sticky,0
T2,mixed_min_pressure,0
T2,mixed_lookahead,0
T2,random_mode,0
T3,min_cost_independent,66.3659679
T3,replay_all,66.3659679
T3,kv_all,176.828584
T3,cache_reuse,66.3659679
T3,strong_site_reuse,66.3659679
T3,workspace_sticky,47.8933276
T3,mixed_min_pressure,24.156945
T3,mixed_lookahead,25.7629642
T3,random_mode,50.0798055
