api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,policy,repeat,retransmissions,scenario_id,status,workload
15944,1,"{""west"": [0, 0]}",controlled_80,8192,True,180,west,,270,,4.644946693,replay,2,0,a5f91ef2bcf391b4,complete,agentic_tool_loop
3655,1,"{""west"": [0, 0]}",controlled_80,2048,True,180,west,,75497574,,1.232537462,kv_transfer,2,0,da1f4989c9075cec,complete,agentic_tool_loop
65095,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1134,,5.8595022,replay,2,0,b9eee6d2f6683179,complete,agentic_tool_loop
65095,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1585449054,,4.082570551,kv_transfer,2,0,14384f5b5cdc6145,complete,agentic_tool_loop
15944,1,"{""west"": [0, 0]}",controlled_80,8192,True,180,west,,377487870,,1.820076648,kv_transfer,1,0,ac2404d17bbc24e5,complete,agentic_tool_loop
3655,1,"{""west"": [0, 0]}",controlled_80,2048,True,180,west,,54,,0.902303259,replay,0,0,06c07266a914a01e,complete,agentic_tool_loop
65096,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1585449054,,4.191559155,kv_transfer,1,0,b887db0940641542,complete,agentic_tool_loop
65096,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1134,,5.740249836,replay,1,0,f62d8b8aac5c8bbc,complete,agentic_tool_loop
3655,1,"{""west"": [0, 0]}",controlled_80,2048,True,180,west,,75497574,,1.23987265,kv_transfer,1,0,644650143a136282,complete,agentic_tool_loop
15944,1,"{""west"": [0, 0]}",controlled_80,8192,True,180,west,,270,,1.47976618,replay,0,0,7e42cfb0bb75d5fa,complete,agentic_tool_loop
15944,1,"{""west"": [0, 0]}",controlled_80,8192,True,180,west,,377487870,,1.850528594,kv_transfer,2,0,e6e5546e39ac4f9e,complete,agentic_tool_loop
65095,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1585449054,,4.377095893,kv_transfer,0,0,f119807a1f78bc98,complete,agentic_tool_loop
65095,1,"{""west"": [0, 0]}",controlled_80,32768,True,180,west,,1134,,5.723705456,replay,0,0,e989bd131508775d,complete,agentic_tool_loop
