scenario_id,method,bandwidth,bandwidth_mbps,workload,context_size,migration_s,migration_ttft_s,destination_request_ttft_s
0607014cea68bc28,replay,controlled_40,3700,agentic_tool_loop,2048,0.896848196,0.650677524,0.650378109
06c07266a914a01e,replay,controlled_80,7500,agentic_tool_loop,2048,0.902303259,0.656578707,0.65626303
0a2d8fdddcfd82ca,replay,controlled_80,7500,agentic_tool_loop,2048,0.890011293,0.647513328,0.647253522
14384f5b5cdc6145,kv_transfer,controlled_80,7500,agentic_tool_loop,32768,4.082570551,3.843657165,3.843036545
1a3875684667af1f,replay,natural,9442.357706538389,agentic_tool_loop,2048,0.985164911,0.740745148,0.740420021
1a695f7c4bae1696,replay,controlled_40,3700,agentic_tool_loop,2048,0.983556752,0.737016978,0.736679258
1cf79ef4ad317331,kv_transfer,natural,9442.357706538389,agentic_tool_loop,32768,5.158223862,4.91104814,4.910440119
20d93af953c13c63,kv_transfer,natural,9442.357706538389,agentic_tool_loop,2048,1.174044081,0.925884353,0.925635229
2660264d1d9750e2,replay,natural,9442.357706538389,agentic_tool_loop,8192,1.484781277,1.293852266,1.293184163
441e686d472ae5fd,kv_transfer,controlled_80,7500,agentic_tool_loop,8192,1.872106136,1.683854195,1.68337536
4e33d4bf86bafafe,kv_transfer,controlled_40,3700,agentic_tool_loop,2048,1.3526746,1.10484379,1.10452375
517e1dcfab595f26,replay,natural,9442.357706538389,agentic_tool_loop,2048,0.918815735,0.666425835,0.666077635
5198a53978d6b464,replay,natural,9442.357706538389,agentic_tool_loop,32768,5.760366779,5.494784951,5.494216659
599d552c44fb3a73,replay,natural,9442.357706538389,agentic_tool_loop,8192,1.417787943,1.165349547,1.16500674
629f0ad091299664,replay,controlled_40,3700,agentic_tool_loop,32768,5.742206865,5.490889002,5.490190649
6319fdb29808073b,kv_transfer,natural,9442.357706538389,agentic_tool_loop,2048,1.29564544,1.051836932,1.051498315
644650143a136282,kv_transfer,controlled_80,7500,agentic_tool_loop,2048,1.23987265,0.987141573,0.986844768
65d32cee8b56482b,replay,controlled_40,3700,agentic_tool_loop,8192,1.436349097,1.180658626,1.180269128
699ca7599b0722a1,kv_transfer,natural,9442.357706538389,agentic_tool_loop,32768,4.414305635,4.167288688,4.166722274
702da69bc94bc1cb,replay,controlled_40,3700,agentic_tool_loop,8192,1.477580754,1.289782277,1.289380677
731840576ce349e7,kv_transfer,controlled_40,3700,agentic_tool_loop,2048,1.328051129,1.077054267,1.076771889
77dca0a52d8c207a,kv_transfer,natural,9442.357706538389,agentic_tool_loop,32768,4.317216754,4.067404305,4.066763352
7e42cfb0bb75d5fa,replay,controlled_80,7500,agentic_tool_loop,8192,1.47976618,1.279745816,1.279334196
9043f4fd65c08e5b,kv_transfer,natural,9442.357706538389,agentic_tool_loop,8192,2.097559043,1.844404042,1.844005653
91061da620568269,replay,controlled_80,7500,agentic_tool_loop,2048,0.892466715,0.650743059,0.650423702
91c1576202185a3e,kv_transfer,controlled_40,3700,agentic_tool_loop,8192,2.061184627,1.806917267,1.805791644
9669d16d461fc92e,replay,controlled_40,3700,agentic_tool_loop,8192,1.439900752,1.180546231,1.180164388
9aa9c6cd29736824,replay,natural,9442.357706538389,agentic_tool_loop,32768,5.743069022,5.490999989,5.490359001
9b05fd58c7fcc4f5,kv_transfer,controlled_40,3700,agentic_tool_loop,32768,5.380486029,5.129718674,5.129088468
a5ca50e2d5e9b7fa,kv_transfer,natural,9442.357706538389,agentic_tool_loop,2048,1.177662118,0.931855962,0.931565347
a5f91ef2bcf391b4,replay,controlled_80,7500,agentic_tool_loop,8192,4.644946693,4.400107812,4.399512856
a6591cef0c7e017f,replay,natural,9442.357706538389,agentic_tool_loop,32768,5.789232586,5.53156154,5.530892936
a68bfc0853ee5644,replay,natural,9442.357706538389,agentic_tool_loop,2048,0.982475591,0.733246872,0.732832977
a71a2d91d9ae9595,replay,controlled_80,7500,agentic_tool_loop,8192,1.435558806,1.172457611,1.17211445
a9afd0e7b23bb228,kv_transfer,controlled_80,7500,agentic_tool_loop,2048,1.180563493,0.94341323,0.943086881
ac2404d17bbc24e5,kv_transfer,controlled_80,7500,agentic_tool_loop,8192,1.820076648,1.582085574,1.581699342
