policy,deadline_s,target_frac,target_w,full_source_drop_w,planned_source_drop_w,planned_shortfall_w,planned_hit,deadline_hit,measured_source_drop_w,measured_sink_rise_w,total_first_token_s,total_completion_s,max_completion_s,sessions,run_root
lp,10.0,0.25,80.7198951020446,322.8795804081784,118.9846422562282,0.0,True,False,117.78649269311069,104.11394572025054,37.458256483078,37.6839337348938,37.68337392807007,3,queue-haul/outputs/stage1c_grid_pipelined/lp_D10_T0p25
lp,10.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,False,228.5027291666667,173.25510416666665,51.88182759284973,52.09104251861572,52.09104251861572,5,queue-haul/outputs/stage1c_grid_pipelined/lp_D10_T0p45
lp,10.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,False,252.07487008524708,185.3942717466945,47.81916069984436,47.97869849205017,47.97809076309204,6,queue-haul/outputs/stage1c_grid_pipelined/lp_D10_T0p65
lp,30.0,0.25,80.7198951020446,322.8795804081784,118.9846422562282,0.0,True,False,139.39343267223376,101.15737782707026,37.68318748474121,38.00565195083618,38.00384736061096,3,queue-haul/outputs/stage1c_grid_pipelined/lp_D30_T0p25
lp,30.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,False,227.07115222686156,173.93885051322195,52.92716383934021,53.21226906776428,53.2078652381897,5,queue-haul/outputs/stage1c_grid_pipelined/lp_D30_T0p45
lp,30.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,False,249.4777585247042,193.07703801322197,74.74149537086487,74.90220046043396,74.89914560317993,6,queue-haul/outputs/stage1c_grid_pipelined/lp_D30_T0p65
lp,120.0,0.25,80.7198951020446,322.8795804081784,118.9846422562282,0.0,True,True,125.67361451809325,115.01491075156572,28.625816583633423,28.78674602508545,28.78674602508545,3,queue-haul/outputs/stage1c_grid_pipelined/lp_D120_T0p25
lp,120.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,True,234.86827083333333,170.62227083333335,61.81544065475464,61.97583317756653,61.973875522613525,5,queue-haul/outputs/stage1c_grid_pipelined/lp_D120_T0p45
lp,120.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,True,256.089394572025,165.93442588726515,66.57163858413696,66.7323009967804,66.7309741973877,6,queue-haul/outputs/stage1c_grid_pipelined/lp_D120_T0p65
random,10.0,0.25,80.7198951020446,322.8795804081784,91.11850079687821,0.0,True,False,193.1781666666667,108.15195833333334,47.19235897064209,47.52343511581421,47.52343511581421,4,queue-haul/outputs/stage1c_grid_pipelined/random_D10_T0p25
random,10.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,False,234.74996785838545,169.8931175626305,43.46471905708313,43.62066054344177,43.619420766830444,5,queue-haul/outputs/stage1c_grid_pipelined/random_D10_T0p45
random,10.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,False,255.50837500000006,174.62637500000005,66.70695090293884,66.86506819725037,66.86296653747559,6,queue-haul/outputs/stage1c_grid_pipelined/random_D10_T0p65
random,30.0,0.25,80.7198951020446,322.8795804081784,91.11850079687821,0.0,True,True,164.93622316457893,100.25565040013919,19.999552488327026,28.83262538909912,28.83129644393921,4,queue-haul/outputs/stage1c_grid_pipelined/random_D30_T0p25
random,30.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,False,242.33579645093943,165.44823064544192,62.26821494102478,62.474632263183594,62.474632263183594,5,queue-haul/outputs/stage1c_grid_pipelined/random_D30_T0p45
random,30.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,False,256.94727083333333,197.37179166666664,73.63707756996155,73.97832417488098,73.97623252868652,6,queue-haul/outputs/stage1c_grid_pipelined/random_D30_T0p65
random,120.0,0.25,80.7198951020446,322.8795804081784,91.11850079687821,0.0,True,True,197.55915040013915,105.48734577244258,39.50341463088989,39.72193002700806,39.71871590614319,4,queue-haul/outputs/stage1c_grid_pipelined/random_D120_T0p25
random,120.0,0.45,145.29581118368029,322.8795804081784,201.80311195809415,0.0,True,True,231.22196055149618,170.1273901356994,49.686073780059814,50.021549701690674,50.0180389881134,5,queue-haul/outputs/stage1c_grid_pipelined/random_D120_T0p45
random,120.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,True,255.3813522094641,176.72383550800276,75.31511735916138,75.48054265975952,75.48007655143738,6,queue-haul/outputs/stage1c_grid_pipelined/random_D120_T0p65
greedy,10.0,0.25,80.7198951020446,322.8795804081784,118.9846422562282,0.0,True,False,135.8694363256785,119.36901878914406,28.47608518600464,28.6450138092041,28.6450138092041,3,queue-haul/outputs/stage1c_grid_pipelined/greedy_D10_T0p25
greedy,10.0,0.45,145.29581118368029,322.8795804081784,160.12510244379843,0.0,True,False,148.3788125,150.98260416666668,34.202717542648315,34.48184585571289,34.477837324142456,4,queue-haul/outputs/stage1c_grid_pipelined/greedy_D10_T0p45
greedy,10.0,0.65,209.87172726531597,322.8795804081784,244.06966081445105,0.0,True,False,259.36470833333334,198.90868749999996,57.60140299797058,57.79620838165283,57.79564833641052,6,queue-haul/outputs/stage1c_grid_pipelined/greedy_D10_T0p65
greedy,30.0,0.25,80.7198951020446,322.8795804081784,118.9846422562282,0.0,True,False,130.6240083507306,105.27475991649268,17.6862211227417,36.82256460189819,36.820191860198975,3,queue-haul/outputs/stage1c_grid_pipelined/greedy_D30_T0p25
