source_length_tercile,current_category,n,mean_predicted_p,observed_rate,mean_bias
swe-agent x long,ARTIFACT,3388,0.5010689171181102,0.9710743801652892,-0.47000546304717905
swe-agent x long,ENVIRONMENT,15867,0.4585128093706603,0.5118169786349026,-0.05330416926424231
swe-agent x long,INVESTIGATION,1469127,0.7354039544371548,0.7334212767173974,0.001982677719757353
swe-agent x long,NONE,74382,0.5425029330896477,0.45301282568363316,0.08949010740601454
swe-agent x long,PRODUCT,1152727,0.6066305525774627,0.5696257656843294,0.037004786893133246
swe-agent x long,VALIDATION,487628,0.485959064152218,0.4479193155438162,0.03803974860840181
swe-agent x short,ARTIFACT,14,0.571872193953906,1.0,-0.428127806046094
swe-agent x short,ENVIRONMENT,1775,0.5261760274718216,0.7498591549295774,-0.22368312745775587
swe-agent x short,INVESTIGATION,264622,0.675225000802062,0.7996614038137418,-0.1244364030116798
swe-agent x short,NONE,74389,0.5425029330896478,0.6462917904528895,-0.10378885736324173
swe-agent x short,PRODUCT,215420,0.6317015017398733,0.8064432271841054,-0.17474172544423217
swe-agent x short,VALIDATION,61057,0.5874139064022484,0.7748333524411616,-0.18741944603891314
