source,position_bin,position_low,position_high,position_midpoint,n,mean_interval80_width,p25_interval80_width,p75_interval80_width
hermes,0,0.0,0.05,0.025,1496,13.060828877005347,13,13
hermes,1,0.05,0.1,0.07500000000000001,2232,13.208333333333334,13,14
hermes,2,0.1,0.15,0.125,2375,12.933052631578947,12,13
hermes,3,0.15,0.2,0.175,2208,12.627717391304348,12,13
hermes,4,0.2,0.25,0.225,2277,12.202898550724637,10,13
hermes,5,0.25,0.3,0.275,2377,11.866217921750104,10,13
hermes,6,0.3,0.35,0.32499999999999996,2456,11.47271986970684,9,12
hermes,7,0.35,0.4,0.375,2267,11.003970004411116,9,12
hermes,8,0.4,0.45,0.42500000000000004,2325,10.482150537634409,8,12
hermes,9,0.45,0.5,0.475,1810,9.924861878453038,7,11
hermes,10,0.5,0.55,0.525,2961,10.130699088145896,8,12
hermes,11,0.55,0.6,0.575,2053,9.62445202143205,7,11
hermes,12,0.6,0.65,0.625,2539,9.436392280425364,6,11
hermes,13,0.65,0.7,0.675,2222,9.215571557155716,6,11
hermes,14,0.7,0.75,0.725,2107,8.867584242999525,6,10
hermes,15,0.75,0.8,0.775,2494,9.065356856455493,6,11
hermes,16,0.8,0.85,0.825,2469,8.76751721344674,6,10
hermes,17,0.85,0.9,0.875,2124,8.69256120527307,6,10
hermes,18,0.9,0.95,0.925,2442,8.538902538902539,6,10
hermes,19,0.95,1.0,0.975,1546,8.232858990944372,5,9
swe-agent,0,0.0,0.05,0.025,34209,20.105703177526383,20,20
swe-agent,1,0.05,0.1,0.07500000000000001,42313,20.15217545435209,17,22
swe-agent,2,0.1,0.15,0.125,42206,19.945481685068472,17,23
swe-agent,3,0.15,0.2,0.175,40719,19.796507772784203,16,23
swe-agent,4,0.2,0.25,0.225,43760,19.793875685557587,16,23
swe-agent,5,0.25,0.3,0.275,42233,19.554234840053986,15,23
swe-agent,6,0.3,0.35,0.32499999999999996,42219,19.37689192069921,14,24
swe-agent,7,0.35,0.4,0.375,40719,19.247181905253075,12,25
swe-agent,8,0.4,0.45,0.42500000000000004,43680,19.27451923076923,12,25
swe-agent,9,0.45,0.5,0.475,42313,18.919433743766692,10,25
swe-agent,10,0.5,0.55,0.525,42314,18.76700382852011,9,26
swe-agent,11,0.55,0.6,0.575,40612,18.65468334482419,7,26
swe-agent,12,0.6,0.65,0.625,43787,18.542603969214607,7,26
swe-agent,13,0.65,0.7,0.675,42219,18.378526255951112,5,27
swe-agent,14,0.7,0.75,0.725,42233,18.26938649870954,4,27
swe-agent,15,0.75,0.8,0.775,40692,18.263393295979554,3,28
swe-agent,16,0.8,0.85,0.825,43787,18.36289309612442,3,28
swe-agent,17,0.85,0.9,0.875,42206,18.578614415012083,2,28
swe-agent,18,0.9,0.95,0.925,42313,18.694538321556024,2,29
swe-agent,19,0.95,1.0,0.975,34201,18.395280839741528,0,30
terminalbench,0,0.0,0.05,0.025,1716,22.187645687645688,19,26
terminalbench,1,0.05,0.1,0.07500000000000001,2212,24.523056057866185,19,27
terminalbench,2,0.1,0.15,0.125,2351,25.43428328370906,19,29
terminalbench,3,0.15,0.2,0.175,2192,27.781934306569344,19,33
terminalbench,4,0.2,0.25,0.225,2276,29.707820738137084,19,35
terminalbench,5,0.25,0.3,0.275,2445,30.85235173824131,19,35
terminalbench,6,0.3,0.35,0.32499999999999996,2367,33.34685255597803,19,37
terminalbench,7,0.35,0.4,0.375,2161,36.547894493290144,20,41
terminalbench,8,0.4,0.45,0.42500000000000004,2403,34.922180607573864,19,39
terminalbench,9,0.45,0.5,0.475,1957,38.16044966785897,22,42
terminalbench,10,0.5,0.55,0.525,2529,34.78884934756821,19,40
terminalbench,11,0.55,0.6,0.575,2126,37.71448730009407,22,44
terminalbench,12,0.6,0.65,0.625,2286,37.17979002624672,21,44
terminalbench,13,0.65,0.7,0.675,2191,39.550890004564124,22,47
terminalbench,14,0.7,0.75,0.725,2120,40.575,23,47
terminalbench,15,0.75,0.8,0.775,2245,42.15011135857461,23,49
terminalbench,16,0.8,0.85,0.825,2303,42.766391663048196,23,49
terminalbench,17,0.85,0.9,0.875,2175,46.55034482758621,25,53
terminalbench,18,0.9,0.95,0.925,2161,46.98935677926886,25,54
terminalbench,19,0.95,1.0,0.975,1608,52.750621890547265,28,59
