source_length_tercile,grid_offset,bin,n,mean_predicted_p,observed_rate,mean_bias
hermes x long,1,0,1564,0.07342632721155544,0.04283887468030691,0.030587452531248532
hermes x long,1,1,4819,0.15105757090763805,0.10583108528740402,0.04522648562023403
hermes x long,1,2,6264,0.2414320101752202,0.17672413793103448,0.06470787224418573
hermes x long,1,3,6132,0.34655574908742665,0.18118069145466406,0.16537505763276258
hermes x long,1,4,2215,0.45608977416867497,0.31512415349887135,0.14096562066980362
hermes x long,1,5,2403,0.5457016363924719,0.3653766125676238,0.1803250238248481
hermes x long,1,6,2512,0.6294595772116277,0.37738853503184716,0.25207104217978055
hermes x long,1,7,188,0.7387580222718166,0.6223404255319149,0.11641759673990171
hermes x long,1,8,11,0.7999999999999999,0.6363636363636364,0.16363636363636358
hermes x long,2,0,184,0.07397725217341114,0.05434782608695652,0.01962942608645462
hermes x long,2,1,2056,0.15489799551041372,0.08414396887159534,0.07075402663881838
hermes x long,2,2,4539,0.2579862611675321,0.12712051112579864,0.13086575004173345
hermes x long,2,3,4321,0.35194119455148803,0.22818791946308725,0.12375327508840078
hermes x long,2,4,5462,0.44426710502369204,0.28615891614793115,0.1581081888757609
hermes x long,2,5,2900,0.5465725715082749,0.3720689655172414,0.17450360599103348
hermes x long,2,6,2834,0.6377572539381939,0.5448129851799577,0.09294426875823625
hermes x long,2,7,3369,0.7354027986774682,0.558029088750371,0.1773737099270971
hermes x long,2,8,392,0.8306990075627199,0.6785714285714286,0.15212757899129126
hermes x long,2,9,51,0.9013128461455384,0.7647058823529411,0.1366069637925973
hermes x long,4,0,3,0.0,0.0,0.0
hermes x long,4,1,159,0.1689490934946392,0.08176100628930817,0.08718808720533104
hermes x long,4,2,1175,0.2619107378468573,0.16085106382978723,0.10105967401707008
hermes x long,4,3,2125,0.35424565472264385,0.216,0.13824565472264386
hermes x long,4,4,4583,0.45134356172519025,0.24896356098625355,0.2023800007389367
hermes x long,4,5,4900,0.5499158192563554,0.353265306122449,0.19665051313390636
hermes x long,4,6,3306,0.6593788840665743,0.5223835450695705,0.13699533899700378
hermes x long,4,7,4237,0.7464092713386264,0.6485721029029974,0.09783716843562906
hermes x long,4,8,4688,0.8410659955050895,0.7647184300341296,0.07634756547095989
hermes x long,4,9,932,0.9346217528943185,0.8701716738197425,0.064450079074576
hermes x long,8,1,3,0.16239316239316237,0.0,0.16239316239316237
hermes x long,8,2,45,0.28441404486189786,0.26666666666666666,0.0177473781952312
hermes x long,8,3,160,0.3639932415042778,0.5,-0.1360067584957222
hermes x long,8,4,264,0.4501562311178445,0.4318181818181818,0.01833804929966265
hermes x long,8,5,1003,0.5537828952802459,0.4307078763708873,0.12307501890935862
hermes x long,8,6,4205,0.6608991792813912,0.4875148632580262,0.17338431602336501
hermes x long,8,7,4799,0.7484377671870012,0.5851219003959158,0.16331586679108534
hermes x long,8,8,5430,0.8566064525195292,0.7771639042357275,0.0794425482838017
hermes x long,8,9,9390,0.9499395187523294,0.9265175718849841,0.023421946867345333
hermes x long,16,5,10,0.5853658536585364,0.7,-0.11463414634146352
hermes x long,16,6,187,0.6519068847775858,0.7379679144385026,-0.08606102966091678
hermes x long,16,7,168,0.7416556506273383,0.7619047619047619,-0.02024911127742357
hermes x long,16,8,2040,0.8608549957388548,0.846078431372549,0.014776564366305811
hermes x long,16,9,16512,0.9667558492337197,0.9379239341085271,0.028831915125192564
hermes x long,32,9,10062,0.9907185787561495,0.9863844166169747,0.004334162139174813
hermes x long,64,9,1992,0.9997369138891927,1.0,-0.00026308611080727573
hermes x medium,1,0,1176,0.07355526807535911,0.09863945578231292,-0.02508418770695381
hermes x medium,1,1,3371,0.14622708831884082,0.1791753188964699,-0.03294823057762908
hermes x medium,1,2,2455,0.229932711703359,0.32423625254582483,-0.09430354084246584
hermes x medium,1,3,3311,0.34603284966077236,0.4744790093627303,-0.12844615970195794
hermes x medium,1,4,1128,0.4631475304619435,0.6728723404255319,-0.2097248099635884
hermes x medium,1,5,1171,0.5413259293880924,0.829205807002562,-0.28787987761446954
hermes x medium,1,6,1107,0.6318924259925974,0.9349593495934959,-0.3030669236008985
hermes x medium,1,7,12,0.7448388501742159,0.9166666666666666,-0.1718278164924507
hermes x medium,1,8,19,0.8264603817235397,0.5789473684210527,0.2475130133024871
hermes x medium,2,0,142,0.07016928182216779,0.07746478873239436,-0.007295506910226568
hermes x medium,2,1,1351,0.15544833782251927,0.23464100666173204,-0.07919266883921278
hermes x medium,2,2,3577,0.25644120371825824,0.2865529773553257,-0.030111773637067463
hermes x medium,2,3,2126,0.3523838406976226,0.43226716839134527,-0.0798833276937227
hermes x medium,2,4,2772,0.43730845118768114,0.5876623376623377,-0.15035388647465653
hermes x medium,2,5,1238,0.5447732567225109,0.7536348949919225,-0.20886163826941162
hermes x medium,2,6,1323,0.627903361599154,0.9009826152683296,-0.2730792536691755
hermes x medium,2,7,1138,0.7171567344861706,0.9789103690685413,-0.2617536345823708
hermes x medium,2,8,75,0.8286240832865833,0.8933333333333333,-0.06470925004674999
hermes x medium,2,9,8,0.9024390243902439,1.0,-0.09756097560975607
hermes x medium,4,0,1,0.0,1.0,-1.0
hermes x medium,4,1,61,0.1510594872969274,0.3770491803278688,-0.22598969303094144
hermes x medium,4,2,723,0.26257503026464923,0.29045643153526973,-0.0278814012706205
hermes x medium,4,3,1469,0.3512011826244892,0.48672566371681414,-0.13552448109232496
hermes x medium,4,4,3382,0.4503091503905891,0.505913660555884,-0.05560451016529494
hermes x medium,4,5,2959,0.5501551259350281,0.6853666779317337,-0.13521155199670554
hermes x medium,4,6,1731,0.6573859233716708,0.8093587521663779,-0.15197282879470708
hermes x medium,4,7,1771,0.7500980586302018,0.9181253529079616,-0.16802729427775975
hermes x medium,4,8,1476,0.8285925370355197,0.9668021680216802,-0.13820963098616046
hermes x medium,4,9,177,0.9376734969559063,0.96045197740113,-0.02277848044522368
hermes x medium,8,1,1,0.15384615384615385,1.0,-0.8461538461538461
hermes x medium,8,2,11,0.2830466042752413,1.0,-0.7169533957247587
hermes x medium,8,3,27,0.36482117877481707,0.8518518518518519,-0.4870306730770348
hermes x medium,8,4,84,0.43892206847599335,0.8333333333333334,-0.39441126485734
hermes x medium,8,5,560,0.5548821291426987,0.7285714285714285,-0.1736892994287298
hermes x medium,8,6,2951,0.6626359919005514,0.7736360555743815,-0.11100006367383008
hermes x medium,8,7,3548,0.7490596094051317,0.9021984216459977,-0.153138812240866
hermes x medium,8,8,3574,0.8598508912846201,0.9823726916620034,-0.12252180037738325
hermes x medium,8,9,2861,0.9443685382005004,0.9891646277525341,-0.044796089552033735
hermes x medium,16,5,2,0.5853658536585366,1.0,-0.41463414634146345
hermes x medium,16,6,44,0.6647180467542896,1.0,-0.3352819532457104
hermes x medium,16,7,48,0.73278862490704,1.0,-0.26721137509296
hermes x medium,16,8,676,0.868066752734324,1.0,-0.131933247265676
hermes x medium,16,9,11384,0.9635224065140682,1.0,-0.036477593485931825
hermes x medium,32,9,8253,0.99218947888819,1.0,-0.00781052111181002
hermes x medium,64,9,1893,0.9996747783738521,1.0,-0.00032522162614789796
hermes x short,1,0,337,0.06424641729716059,0.4658753709198813,-0.4016289536227207
hermes x short,1,1,1071,0.14882017424073612,0.5359477124183006,-0.3871275381775645
hermes x short,1,2,1404,0.21986035374760324,0.38675213675213677,-0.16689178300453353
