stratum,bin,n,mean_predicted_p,observed_rate
pooled,0,369902,0.05681323579947185,0.08341939216332975
pooled,1,495470,0.14864690462413252,0.1909479887783317
pooled,2,425355,0.2510148240795219,0.2833209907018843
pooled,3,333234,0.35192458015413375,0.3875114784205693
pooled,4,315302,0.44638186878458536,0.47175723591984825
pooled,5,347642,0.5506360681041985,0.5786498754465801
pooled,6,431704,0.6451447631192311,0.6636005225802865
pooled,7,461823,0.7556005190290762,0.7725708767211681
pooled,8,629348,0.8551210250354795,0.8643675677049899
pooled,9,1828626,0.9697245319719737,0.9723945738494367
swe-agent,0,352340,0.05644568091617839,0.08107225974910598
swe-agent,1,447321,0.14856363933397465,0.19057678937496786
swe-agent,2,370793,0.25140364670949533,0.2844767835422999
swe-agent,3,284409,0.3526959975774198,0.3908596422757367
swe-agent,4,267715,0.4464129008209044,0.47341762695403694
swe-agent,5,307165,0.5513796202812715,0.5815831881887585
swe-agent,6,383963,0.6447334983132854,0.6632904733008128
swe-agent,7,418442,0.7565223676296107,0.7753547684027894
swe-agent,8,576983,0.8555651268928997,0.8651086773787096
swe-agent,9,1696807,0.9701533748099106,0.9730487910528421
swe-agent x long,0,219462,0.05802531167720241,0.09654974437488038
swe-agent x long,1,285427,0.14855468102783806,0.20925490580778974
swe-agent x long,2,235376,0.24947570286074686,0.2675888790700836
swe-agent x long,3,181185,0.3495377139947111,0.3441178905538538
swe-agent x long,4,162377,0.4469567861490587,0.399619404225968
swe-agent x long,5,191457,0.5496867015114316,0.48901842189107736
swe-agent x long,6,208722,0.646811838014315,0.5526585601901093
swe-agent x long,7,244810,0.7536682440579228,0.66521383930395
swe-agent x long,8,339193,0.8544917612398207,0.7806882807133402
swe-agent x long,9,1135110,0.9704983997365696,0.9601413078908652
swe-agent x short,0,49764,0.052609560914403934,0.062173458725182866
swe-agent x short,1,55444,0.14333858775484581,0.15677079575788183
swe-agent x short,2,34486,0.26158135626692525,0.47230760308531
swe-agent x short,3,33386,0.36716017287322616,0.6266998142934164
swe-agent x short,4,33127,0.444008112154179,0.780511365351526
swe-agent x short,5,28651,0.5572734638043901,0.9595476597675474
swe-agent x short,6,63780,0.6379224835609247,0.9586233929131389
swe-agent x short,7,56955,0.7668694863370141,0.9989465367395312
swe-agent x short,8,80770,0.8600814653582916,0.9999752383310635
swe-agent x short,9,180914,0.9704755882414703,1.0
swe-agent x medium,0,83114,0.05457152914525966,0.051519599586110645
swe-agent x medium,1,106450,0.15130910389229313,0.15810239549084076
swe-agent x medium,2,100931,0.2524221962100923,0.2596823572539656
swe-agent x medium,3,69838,0.35397513865472763,0.3993814255849251
swe-agent x medium,4,72211,0.4462930986620833,0.49848361053025164
swe-agent x medium,5,87057,0.5531630109115381,0.6607624889440252
swe-agent x medium,6,111461,0.6447389827593353,0.7014650864427916
swe-agent x medium,7,116677,0.7574599804025511,0.8973062385902962
swe-agent x medium,8,157020,0.855560627202054,0.9780983314227487
swe-agent x medium,9,380783,0.9689717722680365,0.9987210563496794
hermes,0,3461,0.0722333971683813,0.11326206298757585
hermes,1,13281,0.15100222516463055,0.18959415706648597
hermes,2,22328,0.24923895167955415,0.26267466857757077
hermes,3,22664,0.3492062824801828,0.35907165548888104
hermes,4,23232,0.44774533466024624,0.453168044077135
hermes,5,19289,0.5477087914141079,0.541655866037638
hermes,6,22769,0.6505652761768729,0.6540910887610347
hermes,7,21274,0.7443112444719571,0.7365798627432547
hermes,8,19265,0.8512374448382356,0.8499351154944199
hermes,9,73672,0.9715545300675716,0.9725404495602128
hermes x medium,0,1319,0.07313497594796826,0.09704321455648218
hermes x medium,1,4784,0.1488943758361177,0.1975334448160535
hermes x medium,2,6766,0.24752146799591263,0.30180313331362696
hermes x medium,3,6933,0.3491486397882923,0.4655993076590221
hermes x medium,4,7366,0.447252842984844,0.5659788216128157
hermes x medium,5,5930,0.547746323238604,0.7322091062394603
hermes x medium,6,7156,0.6502015794412436,0.832168809390721
hermes x medium,7,6517,0.7436433082777991,0.9206690194874942
hermes x medium,8,5820,0.8523663828974737,0.9780068728522336
hermes x medium,9,24576,0.9734981001558835,0.9984537760416666
hermes x short,0,391,0.06415387254632991,0.4782608695652174
hermes x short,1,1460,0.15026236992146005,0.6006849315068493
hermes x short,2,3539,0.25046723946744065,0.5476123198643684
hermes x short,3,2993,0.34645338339166987,0.7597728032074841
hermes x short,4,3342,0.443860145893452,0.850688210652304
hermes x short,5,2143,0.5433281727942246,0.9234717685487634
hermes x short,6,2569,0.6579904741610539,0.985208252238225
hermes x short,7,1996,0.7478999805720831,0.9964929859719439
hermes x short,8,884,0.8523171945295458,0.9932126696832579
hermes x short,9,10157,0.9738653800641135,1.0
hermes x long,0,1751,0.07335841813751018,0.04397487150199886
hermes x long,1,7037,0.15258871654485504,0.09890578371465113
hermes x long,2,12023,0.24984392415918785,0.15678283290360143
hermes x long,3,12738,0.3498844944251462,0.20693986497095304
hermes x long,4,12524,0.4490717475107554,0.2807409773235388
hermes x long,5,11216,0.5485259367407322,0.3679564907275321
hermes x long,6,13044,0.6493024181748144,0.4911836859858939
hermes x long,7,12761,0.7440910284169655,0.6019120758561242
hermes x long,8,12561,0.8506383748412415,0.780511105803678
hermes x long,9,38939,0.9697250921799843,0.9490228305811654
terminalbench,0,14101,0.06221250599902702,0.1347422168640522
terminalbench,1,34868,0.14881798701448168,0.1962257657450958
terminalbench,2,32234,0.24777225317785948,0.2843271080225849
terminalbench,3,26161,0.3458930615031631,0.37575016245556364
terminalbench,4,24355,0.4447401615048087,0.4712379388215972
terminalbench,5,21188,0.5425216182068386,0.5698036624504437
terminalbench,6,24972,0.6465259423128915,0.677038282876822
terminalbench,7,22107,0.7490156298428898,0.7545121454742841
terminalbench,8,33100,0.8496399963503294,0.8598489425981873
terminalbench,9,58147,0.954891726348028,0.9531188195435706
terminalbench x long,0,13513,0.0619322578480384,0.12698882557537186
terminalbench x long,1,29407,0.14794086689274405,0.16540279525283097
terminalbench x long,2,26929,0.24679122480191307,0.2369935756990605
terminalbench x long,3,20957,0.34634457916785094,0.30467147015317075
terminalbench x long,4,19625,0.44515346929473304,0.3941910828025478
terminalbench x long,5,15908,0.5439893469201678,0.4795071662056827
terminalbench x long,6,19721,0.6482668399176953,0.6119872217433193
terminalbench x long,7,15997,0.7501619316749549,0.6795024067012565
terminalbench x long,8,25127,0.8507010108553469,0.8202730130934851
terminalbench x long,9,40327,0.9523448242178293,0.9329481488828825
terminalbench x medium,0,560,0.06865005521440873,0.2910714285714286
terminalbench x medium,1,4389,0.15080798454036232,0.2984734563681932
terminalbench x medium,2,4726,0.25200393248457637,0.4798984341938214
terminalbench x medium,3,4234,0.3463082254812134,0.6150212564950401
terminalbench x medium,4,4120,0.44331887869265274,0.7648058252427185
terminalbench x medium,5,4046,0.5414536432107362,0.8126544735541276
terminalbench x medium,6,4326,0.6409731413715429,0.912621359223301
terminalbench x medium,7,4594,0.7491960636895246,0.9412276882890727
terminalbench x medium,8,6031,0.8455166317694062,0.9807660421157354
terminalbench x medium,9,12976,0.9583490364147951,0.9983045622688039
terminalbench x short,0,28,0.06871128113081522,0.75
terminalbench x short,1,1072,0.1647315805579531,0.6231343283582089
terminalbench x short,2,579,0.25885894874311977,0.8894645941278065
terminalbench x short,3,970,0.3343257831710622,0.8670103092783505
terminalbench x short,4,610,0.44104265299491435,0.9672131147540983
terminalbench x short,5,1234,0.5271021680142605,0.9376012965964343
terminalbench x short,6,925,0.6353791047002902,0.9621621621621622
terminalbench x short,7,1516,0.7363729494346767,0.9802110817941952
terminalbench x short,8,1942,0.8487171849804493,0.9963954685890835
terminalbench x short,9,4844,0.9668336889361105,1.0
