stratum,n,median_interval80_width
pooled,917339,18
swe-agent,828735,19
swe-agent x long,552078,18.0
swe-agent x short,88581,19
swe-agent x medium,188076,20.0
hermes,44780,10.0
hermes x medium,13750,10.0
hermes x short,4922,13.0
hermes x long,26108,9.0
terminalbench,43824,28.0
terminalbench x long,33811,32
terminalbench x medium,7845,21
terminalbench x short,2168,19.0
