fallback_depth,retained_fields,min_support,cells,supported_cells,supported_cell_rate,prefixes,supported_prefixes,supported_prefix_rate,p10_support,median_support,p90_support,max_support
0,source;recent_error_bucket;investigation_ratio_bucket;touched_source;total;current_category;fine_turn_bucket;age_bucket;stuck,25,104559,8865,0.08478466703009784,3669264,2945028,0.8026209070810931,1,2,20,63804
1,source;investigation_ratio_bucket;touched_source;total;current_category;fine_turn_bucket;age_bucket;stuck,25,50744,6429,0.12669478164906195,3669264,3173245,0.8648178490291241,1,2,34,63804
2,source;touched_source;total;current_category;fine_turn_bucket;age_bucket;stuck,25,26606,4905,0.18435691197474255,3669264,3305703,0.9009171866619573,1,3,65,63804
3,source;total;current_category;fine_turn_bucket;age_bucket;stuck,25,18093,3867,0.2137290664898027,3669264,3423256,0.9329544017546844,1,3,96,63804
4,source;total;current_category;fine_turn_bucket;age_bucket,25,12835,3337,0.25999220880405144,3669264,3489150,0.950912771607603,1,5,161,63804
5,source;total;current_category;fine_turn_bucket,25,4610,1541,0.33427331887201733,3669264,3547544,0.9668271348150473,1,8,302,63804
6,source;total;current_category,25,1992,581,0.2916666666666667,3669264,3654485,0.9959722167715378,1,3,402,63804
7,source;total,25,846,227,0.26832151300236406,3669264,3662304,0.9981031618329997,1,4,962,63804
8,source,25,3,3,1.0,3669264,3669264,1.0,5184,6115,63804,63804
