monotonic_ns,wall_ns,python_gc_objects_collected_total,python_gc_objects_uncollectable_total,python_gc_collections_total,python_info,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_cpu_seconds_total,process_open_fds,process_max_fds,vllm:estimated_flops_per_gpu_total,vllm:estimated_flops_per_gpu_created,vllm:estimated_read_bytes_per_gpu_total,vllm:estimated_read_bytes_per_gpu_created,vllm:estimated_write_bytes_per_gpu_total,vllm:estimated_write_bytes_per_gpu_created,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_waiting_by_reason,vllm:engine_sleep_state,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_queries_created,vllm:prefix_cache_hits_total,vllm:prefix_cache_hits_created,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_queries_created,vllm:external_prefix_cache_hits_total,vllm:external_prefix_cache_hits_created,vllm:mm_cache_queries_total,vllm:mm_cache_queries_created,vllm:mm_cache_hits_total,vllm:mm_cache_hits_created,vllm:num_preemptions_total,vllm:num_preemptions_created,vllm:prompt_tokens_total,vllm:prompt_tokens_created,vllm:prompt_tokens_by_source_total,vllm:prompt_tokens_by_source_created,vllm:prompt_tokens_cached_total,vllm:prompt_tokens_cached_created,vllm:generation_tokens_total,vllm:generation_tokens_created,vllm:request_success_total,vllm:request_success_created,vllm:request_prompt_tokens_bucket,vllm:request_prompt_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_created,vllm:request_generation_tokens_bucket,vllm:request_generation_tokens_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_created,vllm:iteration_tokens_total_bucket,vllm:iteration_tokens_total_count,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_created,vllm:request_max_num_generation_tokens_bucket,vllm:request_max_num_generation_tokens_count,vllm:request_max_num_generation_tokens_sum,vllm:request_max_num_generation_tokens_created,vllm:request_params_n_bucket,vllm:request_params_n_count,vllm:request_params_n_sum,vllm:request_params_n_created,vllm:request_params_max_tokens_bucket,vllm:request_params_max_tokens_count,vllm:request_params_max_tokens_sum,vllm:request_params_max_tokens_created,vllm:time_to_first_token_seconds_bucket,vllm:time_to_first_token_seconds_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_created,vllm:inter_token_latency_seconds_bucket,vllm:inter_token_latency_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_created,vllm:request_time_per_output_token_seconds_bucket,vllm:request_time_per_output_token_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_created,vllm:e2e_request_latency_seconds_bucket,vllm:e2e_request_latency_seconds_count,vllm:e2e_request_latency_seconds_sum,vllm:e2e_request_latency_seconds_created,vllm:request_queue_time_seconds_bucket,vllm:request_queue_time_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_created,vllm:request_inference_time_seconds_bucket,vllm:request_inference_time_seconds_count,vllm:request_inference_time_seconds_sum,vllm:request_inference_time_seconds_created,vllm:request_prefill_time_seconds_bucket,vllm:request_prefill_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_created,vllm:request_decode_time_seconds_bucket,vllm:request_decode_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_created,vllm:request_prefill_kv_computed_tokens_bucket,vllm:request_prefill_kv_computed_tokens_count,vllm:request_prefill_kv_computed_tokens_sum,vllm:request_prefill_kv_computed_tokens_created,vllm:cache_config_info,http_request_duration_highr_seconds_bucket,http_request_duration_highr_seconds_count,http_request_duration_highr_seconds_sum,http_request_duration_highr_seconds_created,vllm:gpu_cache_usage_perc
2649868182924,1789005117624410458,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.14,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2650464950325,1789005118221178060,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.150000000000002,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2651062622641,1789005118818850355,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.16,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2651660415036,1789005119416642611,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.16,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2652258146558,1789005120014374213,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.17,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2652856088334,1789005120612316009,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.17,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2653453844848,1789005121210072433,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.18,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2654052112641,1789005121808340757,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.19,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2654649898805,1789005122406126300,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.19,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
2655247633884,1789005123003861638,17813.0,0.0,2053.0,1.0,19144421376.0,1861267456.0,1789004390.69,27.2,56.0,1048576.0,0.0,1789004434.4565418,0.0,1789004434.4565678,0.0,1789004434.4567213,0.0,0.0,0.0,1.0,0.0,0.0,1789004434.4568942,0.0,1789004434.456908,0.0,1789004434.456921,0.0,1789004434.4569356,0.0,1789004434.456948,0.0,1789004434.4569602,0.0,1789004434.4569712,0.0,1789004434.4569826,0.0,5367013303.371019,0.0,1789004434.4570243,0.0,1789004434.457037,0.0,8945022172.285385,0.0,0.0,0.0,1789004434.457134,0.0,0.0,0.0,1789004434.457195,0.0,0.0,0.0,1789004434.4572408,0.0,0.0,0.0,1789004434.4572842,0.0,0.0,0.0,1789004434.457316,0.0,0.0,0.0,1789004434.4573567,0.0,0.0,0.0,1789004434.4573922,0.0,0.0,0.0,1789004434.4574385,0.0,0.0,0.0,1789004434.457485,0.0,0.0,0.0,1789004434.4575274,0.0,0.0,0.0,1789004434.4576108,0.0,0.0,0.0,1789004434.4576573,0.0,0.0,0.0,1789004434.4576993,0.0,0.0,0.0,1789004434.4577453,0.0,0.0,0.0,1789004434.4577925,1.0,0.0,0.0,0.0,1789004434.5685453,0.0
