workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.25,reference,1,greedy,0.0,0.0
measured_pack,0.25,reference,1,isolated_fastest,0.0,0.0
measured_pack,0.25,reference,1,kv_only,0.0,0.0
measured_pack,0.25,reference,1,replay_only,0.0,0.0
measured_pack,0.25,reference,3,greedy,0.0,0.0
measured_pack,0.25,reference,3,isolated_fastest,0.0,0.0
measured_pack,0.25,reference,3,kv_only,0.0,0.0
measured_pack,0.25,reference,3,replay_only,0.0,0.0
measured_pack,0.25,reference,10,greedy,-0.27317084259427366,-0.2721845343376251
measured_pack,0.25,reference,10,isolated_fastest,9.135192602371944e-12,9.236833520276377e-12
measured_pack,0.25,reference,10,kv_only,0.27795420983220914,0.2789405180888577
measured_pack,0.25,reference,10,replay_only,9.135192602371944e-12,9.236833520276377e-12
measured_pack,0.25,reference,30,greedy,0.0599333038175347,0.0661833918280681
measured_pack,0.25,reference,30,isolated_fastest,-5.817590330670086e-05,-4.8937108336422064e-05
measured_pack,0.25,reference,30,kv_only,0.9997505395570034,0.9997598363740858
measured_pack,0.25,reference,30,replay_only,-5.817590330670086e-05,-4.8937108336422064e-05
measured_pack,0.25,reference,60,greedy,-2.9423775278480946e-06,3.4576532919050607e-06
measured_pack,0.25,reference,60,isolated_fastest,-2.109941697259199e-05,-1.615321552439486e-05
measured_pack,0.25,reference,60,kv_only,0.9995372803194871,0.9995501926783261
measured_pack,0.25,reference,60,replay_only,-2.109941697259199e-05,-1.615321552439486e-05
measured_pack,0.25,reference,120,greedy,-5.762551124943727e-06,1.1692571936783303e-06
measured_pack,0.25,reference,120,isolated_fastest,-2.467258767324676e-05,-8.78313893865057e-06
measured_pack,0.25,reference,120,kv_only,0.9990315315014461,0.9990472095178266
measured_pack,0.25,reference,120,replay_only,-2.467258767324676e-05,-8.78313893865057e-06
measured_pack,0.25,reference,300,greedy,-1.0000004158072784e-09,-9.999997496734636e-10
measured_pack,0.25,reference,300,isolated_fastest,-7.771561172376096e-16,-3.3306690738754696e-16
measured_pack,0.25,reference,300,kv_only,0.9974931474075568,0.9975229601663392
measured_pack,0.25,reference,300,replay_only,-7.771561172376096e-16,-2.7755575615628914e-16
measured_pack,0.25,reference,600,greedy,-1.0000008598964882e-09,-9.999999162069173e-10
measured_pack,0.25,reference,600,isolated_fastest,-7.771561172376096e-16,-3.3306690738754696e-16
measured_pack,0.25,reference,600,kv_only,0.9949295172783817,0.994980423351642
measured_pack,0.25,reference,600,replay_only,-7.771561172376096e-16,-2.7755575615628914e-16
measured_pack,0.25,reference,1800,greedy,-1.0000008598964882e-09,-9.999999162069173e-10
measured_pack,0.25,reference,1800,isolated_fastest,-7.771561172376096e-16,-3.3306690738754696e-16
