workload,load,wan_gbps,deadline_s,policy,central_shed_mw,median_shed_fraction,p05_shed_mw,median_shed_mw,p95_shed_mw,action_counts_mean,action_fractions_mean,admitted_action_fractions_mean,admitted_shed_fraction,median_pending_resident_debt_work_s,median_pending_source_buffer_work_s,median_pending_destination_buffer_work_s,service_ready_fraction,serving_ceiling,planning_steps_mean,workload_central_range_mw,timing_network_range_fraction
measured_pack,0.25,reference,1,greedy,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,1,isolated_fastest,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,1,kv_only,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,1,queue_haul,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,1,replay_only,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,3,greedy,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,2.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,3,isolated_fastest,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,2.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,3,kv_only,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,2.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,3,queue_haul,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,2.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,3,replay_only,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,1.0,2.0,"[0.0, 0.0]","[0.0, 0.0]"
measured_pack,0.25,reference,10,greedy,6.578441406259431,0.55117824725162,6.540878984337207,6.578441406259431,6.6212950864421565,"[65734.45676391014, 0.0, 228224.33548630186, 0.0]","[0.1232533389657212, 0.0, 0.42792490828589885, 0.0]","[0.13550285725394778, 0.0, 0.49515006744062395, 0.0]",0.6304209236811458,34970.29494162221,0.0,184908.32295325713,0.0,1.0,4.0,"[6.578441406259431, 6.578441406259431]","[0.55117824725162, 0.55117824725162]"
measured_pack,0.25,reference,10,isolated_fastest,3.329855273154214,0.2789937129047581,3.3032092303579423,3.338519345923862,3.363395322041798,"[48256.27103834728, 0.0, 100604.64110395186, 0.0]","[0.09048141301103127, 0.0, 0.18863558842579403, 0.0]","[0.1313343249532692, 0.0, 0.6323764071916235, 0.0]",0.7637253541681395,732.8346312426754,71096.8241686564,45912.352779975896,0.0,1.0,4.0,"[3.329855273154214, 3.329855273154214]","[0.27800740464821116, 0.2799800211613035]"
measured_pack,0.25,reference,10,kv_only,0.000634892690389164,5.319482513724231e-05,0.0006312674993083341,0.000634892690389164,0.0006390285466846079,"[0.0, 2.550950701988548, 0.0, 25.81927943121503]","[0.0, 4.783080397032498e-06, 0.0, 4.841163304985868e-05]","[0.0, 1.2437176397364814e-05, 0.0, 4.841174474020986e-05]",6.0853252865934444e-05,0.0,1.548444952015326,0.00031449664914686196,0.0,1.0,4.0,"[0.000634892690389164, 0.000634892690389164]","[5.3193931614433225e-05, 5.319482513724231e-05]"
measured_pack,0.25,reference,10,queue_haul,3.3298552732644557,0.27899371291399494,3.3032092304664884,3.3385193460352083,3.363395322153974,"[48256.27104004374, 0.0, 100604.64110718836, 0.0]","[0.09048141301421214, 0.0, 0.18863558843186254, 0.0]","[0.13133432495560274, 1.8356473968168179e-19, 0.6323764071854944, 0.0]",0.7637253541642663,732.8346314517532,71096.82416639308,45912.35278882982,0.0,1.0,4.0,"[3.3298552732644557, 3.3298552732644557]","[0.27800740465734636, 0.2799800211706418]"
measured_pack,0.25,reference,10,replay_only,3.329855273154214,0.2789937129047581,3.3032092303579423,3.338519345923862,3.363395322041798,"[48256.27103834728, 0.0, 100604.64110395186, 0.0]","[0.09048141301103127, 0.0, 0.18863558842579403, 0.0]","[0.1313343249532692, 0.0, 0.6323764071916235, 0.0]",0.7637253541681395,732.8346312426754,71096.8241686564,45912.352779975896,0.0,1.0,4.0,"[3.329855273154214, 3.329855273154214]","[0.27800740464821116, 0.2799800211613035]"
measured_pack,0.25,reference,30,greedy,11.177700907166326,0.9337641043900721,11.093403393873496,11.179566337610552,11.29143573474727,"[136974.01681029669, 0.0, 362022.67043404427, 9.631930637389814]","[0.25682884980780435, 0.0, 0.6787992950567837, 1.8060050545611357e-05]","[0.32118264489267034, 0.0, 0.678799295056784, 1.8060050545611357e-05]",1.0,1964.1556517731678,9175.149450023404,266647.32782243297,0.0,1.0,5.0,"[11.177700907166326, 11.177700907166326]","[0.9336521156161395, 0.9400558044687437]"
measured_pack,0.25,reference,30,isolated_fastest,11.93523407805651,0.9999999990000001,11.867084759624657,11.93523407805651,12.012983300478759,"[138628.23081512272, 0.0, 394699.7686515492, 0.0]","[0.25993053208367595, 0.0, 0.7400694669163239, 0.0]","[0.25993053208367617, 0.0, 0.7400694669163238, 0.0]",0.9999999989999999,0.0,0.0,151907.75057408985,0.0,1.0,5.0,"[11.93523407805651, 11.93523407805651]","[0.9999999989999986, 0.9999999990000004]"
