phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,296.69720833333326
baseline,1,240,240,1.0,82.56066666666666
drain,0,61,61,1.0,231.23426229508198
drain,1,61,61,1.0,338.39967213114755
post,0,240,240,1.0,137.671
post,1,240,240,1.0,287.9775
