source_id,instance_id,model_name,trajectory_available,trajectory_length,final_success_available,final_success,patch_available,eval_log_available,category,subcategory,raw_path_or_dataset_index,parse_status,parse_error
hermes:glm-5.1:000e9800-df0b-4be5-9632-8e666a17c456,000e9800-df0b-4be5-9632-8e666a17c456,glm-5.1,True,23,False,,False,False,Browser Automation,Browser Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2782,ok,
hermes:glm-5.1:0021c30b-2737-444a-abe3-31d160ea34b7,0021c30b-2737-444a-abe3-31d160ea34b7,glm-5.1,True,31,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:909,ok,
hermes:glm-5.1:0029ce7c-ca03-4d9d-a6d3-02645cae92ea,0029ce7c-ca03-4d9d-a6d3-02645cae92ea,glm-5.1,True,18,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:654,ok,
hermes:glm-5.1:0041fa73-d9ab-4d42-9ae9-66e1213056e2,0041fa73-d9ab-4d42-9ae9-66e1213056e2,glm-5.1,True,13,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2006,ok,
hermes:glm-5.1:00442204-004d-4f93-9012-44c6756c88f2,00442204-004d-4f93-9012-44c6756c88f2,glm-5.1,True,25,False,,False,False,Browser Automation,Browser Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2721,ok,
hermes:glm-5.1:0082ecec-b6bf-4cc7-b748-5d8cc52aac53,0082ecec-b6bf-4cc7-b748-5d8cc52aac53,glm-5.1,True,27,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:327,ok,
hermes:glm-5.1:00c29f00-ad8a-4643-a6f2-32f943dddc26,00c29f00-ad8a-4643-a6f2-32f943dddc26,glm-5.1,True,14,False,,False,False,Repository Tasks,Documentation,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2460,ok,
hermes:glm-5.1:00d5e7d7-4ebd-42a7-84f4-7b27924b6624,00d5e7d7-4ebd-42a7-84f4-7b27924b6624,glm-5.1,True,17,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:427,ok,
hermes:glm-5.1:00e05d6e-ebbc-4d48-ac02-414bc39e658e,00e05d6e-ebbc-4d48-ac02-414bc39e658e,glm-5.1,True,16,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2115,ok,
hermes:glm-5.1:00fa5553-4e5d-44a3-8711-5afcabccfeaf,00fa5553-4e5d-44a3-8711-5afcabccfeaf,glm-5.1,True,18,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:1532,ok,
hermes:glm-5.1:01135742-54bf-4a1c-8e3d-c90e21582020,01135742-54bf-4a1c-8e3d-c90e21582020,glm-5.1,True,10,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:215,ok,
hermes:glm-5.1:013b62f6-7b6e-4ffa-aa46-b246e9db1ce8,013b62f6-7b6e-4ffa-aa46-b246e9db1ce8,glm-5.1,True,14,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2231,ok,
hermes:glm-5.1:013d99ca-7f15-41ff-8b7e-b9ed06b29e50,013d99ca-7f15-41ff-8b7e-b9ed06b29e50,glm-5.1,True,12,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:952,ok,
hermes:glm-5.1:014d600b-63e7-4865-b331-1521071025d5,014d600b-63e7-4865-b331-1521071025d5,glm-5.1,True,25,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:1229,ok,
hermes:glm-5.1:01608afe-c5e2-443c-a677-2f101a36b62f,01608afe-c5e2-443c-a677-2f101a36b62f,glm-5.1,True,13,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:92,ok,
hermes:glm-5.1:0196c9f4-88f4-4b45-9960-a7bcac1aa022,0196c9f4-88f4-4b45-9960-a7bcac1aa022,glm-5.1,True,14,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:141,ok,
hermes:glm-5.1:01ad28b3-c5ee-456f-8d82-8a346b177cfa,01ad28b3-c5ee-456f-8d82-8a346b177cfa,glm-5.1,True,24,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2196,ok,
hermes:glm-5.1:01cc03fd-1df9-450c-a47e-440e3cc7b7e2,01cc03fd-1df9-450c-a47e-440e3cc7b7e2,glm-5.1,True,25,False,,False,False,Browser Automation,Browser Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:2583,ok,
hermes:glm-5.1:01ea5a20-e6eb-4388-a877-25342d2670cd,01ea5a20-e6eb-4388-a877-25342d2670cd,glm-5.1,True,12,False,,False,False,Terminal & Coding,Terminal Tasks,lambda/hermes-agent-reasoning-traces:glm-5.1:train:186,ok,
