achieved_shed_w,configured_goodput_mbps,credited_sessions,deadline_miss_sessions,destination_load,episode_elapsed_s,kv_w,load_fraction,measured_goodput_mbps,measured_load_fraction,planned_sessions,policy,repeat,replay_w,requested_shed_w,right_censored,scenario_id,unmet_w
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7033557884934878,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":6,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",6.547401941,67.48227546817185,0.8999999999999999,5692.0811120743765,0.7033557884934878,7,lp,1,51.18906646843788,147.15586570875013,False,cap-269cba2c750a12c0,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":1.4035773087388226,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":13,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",6.578405076,67.48227546817185,0.8999999999999999,5564.219652076338,1.4035773087388226,7,lp,2,51.18906646843788,147.15586570875013,False,cap-b1e3055fe36d4e54,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.704025880975604,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":8,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.001842703,0.0,0.8999999999999999,2709.7563994137868,0.704025880975604,7,greedy,0,118.67134193660972,147.15586570875013,False,cap-0d09d8690db55f15,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7059181256745615,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":7,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.079306266,0.0,0.8999999999999999,1495.0396791435057,0.7059181256745615,7,greedy,1,118.67134193660972,147.15586570875013,False,cap-97d8b93d2155326c,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":1.40855446047127,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":13,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.001333273,0.0,0.8999999999999999,0.0,1.40855446047127,7,greedy,2,118.67134193660972,147.15586570875013,False,cap-b2767468958e5049,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7047380451662683,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":8,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.013041773,0.0,0.8999999999999999,148999.0324620097,0.7047380451662683,7,replay_only,0,118.67134193660972,147.15586570875013,False,cap-c6813ee703859bed,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7046733574471797,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":7,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.021029318,0.0,0.8999999999999999,3293.0336959009455,0.7046733574471797,7,replay_only,1,118.67134193660972,147.15586570875013,False,cap-3834604e2ab861a3,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":1.4089628579434006,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":14,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",9.721861753,0.0,0.8999999999999999,0.0,1.4089628579434006,7,replay_only,2,118.67134193660972,147.15586570875013,False,cap-cb2f9e9461e2f7a8,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7020570100987499,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":8,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",6.33845462,118.67134193660972,0.8999999999999999,6889.0513580647175,0.7020570100987499,7,kv_only,0,0.0,147.15586570875013,False,cap-e794bdc7d713994f,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":0.7016991041905006,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":6,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",6.256034096,118.67134193660972,0.8999999999999999,6598.658353194272,0.7016991041905006,7,kv_only,1,0.0,147.15586570875013,False,cap-0d7c2579dc1da70c,28.484523772140406
118.67134193660972,10000,7,0,"{""achieved_rho"":1.403872062578905,""blocked_arrivals"":0,""max_inflight"":64,""offered_rps"":0.27055013190692656,""queue_at_start"":0.0,""request_count"":13,""target_rho"":0.8999999999999999,""work_per_request_s"":0.37943522435729343}",6.13148365,118.67134193660972,0.8999999999999999,6657.321019467567,1.403872062578905,7,kv_only,2,0.0,147.15586570875013,False,cap-11adc03ca5119b7c,28.484523772140406
