migration_s,deadline_s,sessions,source_instances,source_nodes,solver,seed,initial_source_power_w,minimum_awake_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,requested_power_fraction_achieved,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_budget,last_completed_migration_s,plan_s,execute_s
1,6.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9602019167505205,0.1516297496855259
1,6.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9544810419902205,0.18211599998176098
1,6.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9525402919389307,0.14944449998438358
1,6.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9594580829143524,0.1475370000116527
1,6.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.966782792005688,0.15034395875409245
1,6.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9569223751313984,0.15226754127070308
1,6.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9564766250550747,0.16916812490671873
1,6.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9477746663615108,0.1467510419897735
1,6.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9522864171303809,0.1517190421000123
1,6.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,0.9952651248313487,0.15469008265063167
1,6.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,7.926140625029802,0.15243012504652143
1,6.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,12.155016749631613,0.17128916690126061
