migration_s,deadline_s,sessions,source_instances,source_nodes,solver,seed,initial_source_power_w,minimum_awake_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,requested_power_fraction_achieved,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_budget,last_completed_migration_s,plan_s,execute_s
3,8.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,66534,0,0,7.833393837564565,2.440701167099178,0.6953866248950362
3,8.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,66543,0,0,7.833393837564565,2.3759372918866575,0.7325181658379734
3,8.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,66534,0,0,7.833393837564565,2.457834000233561,0.6905801668763161
3,8.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,66563,0,0,7.833393837564565,2.4437745409086347,0.7531880410388112
3,8.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,66538,0,0,7.833393837564565,2.4408038342371583,0.7706051669083536
3,8.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,66528,0,0,7.833393837564565,2.494130374863744,0.7254270827397704
3,8.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,66556,0,0,7.833393837564565,2.4952845834195614,0.7705307919532061
3,8.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,66554,0,0,7.833393837564565,2.5344577091746032,0.7481444999575615
3,8.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,66549,0,0,7.833393837564565,2.465629832819104,0.7078458331525326
3,8.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,66544,0,0,7.833393837564565,2.4341750843450427,0.7155949580483139
3,8.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,8.035226334352046,0.2003507912158966
3,8.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,0.0,0.0,0.0,False,0,0,0,0,0.0,12.046632500365376,0.14077895879745483
10,15.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,3099.6070020170882,0.016049251727855478,False,66534,66534,0,1586,14.77654844012913,2.4307986251078546,0.7523464169353247
10,15.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,3077.075960201095,0.01593258972471753,False,66543,66543,0,1575,14.77654844012913,2.4659447497688234,0.7743437909521163
10,15.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,3077.075960201095,0.01593258972471753,False,66534,66534,0,1575,14.77654844012913,2.4917552080005407,0.7549541662447155
10,15.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,3087.2505392640596,0.015985272010084747,False,66563,66563,0,1580,14.77654844012913,2.4464891250245273,0.783695959020406
10,15.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,3059.5037020483287,0.015841603482159336,False,66538,66538,0,1566,14.77654844012913,2.3136266246438026,0.7257021246477962
10,15.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,3068.760040866211,0.015889531271608075,False,66528,66528,0,1571,14.77654844012913,2.5301642077974975,0.7707376657053828
10,15.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,3081.3931198797654,0.01595494326256515,False,66556,66556,0,1577,14.77654844012913,2.5127005837857723,0.7441707081161439
10,15.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,3078.811683227541,0.01594157701109388,False,66554,66554,0,1576,14.77654844012913,2.6088261250406504,0.7450538747943938
10,15.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,3057.0452020975063,0.015828873776568275,False,66549,66549,0,1565,14.77654844012913,2.5253309160470963,0.801405250094831
10,15.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,3073.835161734489,0.015915809406968875,False,66544,66544,0,1574,14.77654844012913,2.5448710001073778,0.8060088329948485
10,15.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,4155.815348646138,4155.815348646138,0.021518123627125435,False,2128,2128,0,2128,7.833393837564565,9.22055979212746,0.29594604205340147
10,15.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,4155.815348646138,4155.815348646138,0.021518123627125435,False,2128,2128,0,2128,7.833393837564565,13.30550174973905,0.27092862501740456
30,35.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,1853,30.571498342258263,3.0331386672332883,1.0956200417131186
30,35.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,1819,30.55183993425826,3.0255074580200016,1.1068425001576543
30,35.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,1821,30.557695630258266,2.9234844162128866,1.1243249997496605
30,35.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,1913,30.569825286258265,2.992118667345494,1.129425082821399
30,35.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,1870,30.547657294258265,2.989315915852785,1.099939042236656
30,35.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,1918,30.558532158258267,2.915030667092651,1.0464915418997407
30,35.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,1809,30.578608830258265,2.940678333863616,1.033190583344549
30,35.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,1822,30.554767782258264,2.888926750048995,1.0944071249105036
30,35.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,1837,30.543056390258265,2.9269542498514056,1.1123886252753437
30,35.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,1945,30.601613350258262,2.9779961253516376,1.1029686671681702
30,35.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,17118.337554594327,10550.290838726738,0.054627658720161655,False,8512,8512,0,5320,29.330927318258265,10.163008208852261,0.48072487488389015
30,35.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,17118.337554594327,10550.290838726738,0.054627658720161655,False,8512,8512,0,5320,29.330927318258265,14.945641832891852,0.5502332081086934
60,65.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2121,60.779107004516526,3.9222564580850303,2.0232311254367232
60,65.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2069,60.77827047651653,3.6400882923044264,1.758956250268966
60,65.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2094,60.77827047651653,3.8851690418086946,1.9179463749751449
60,65.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2164,60.80545763651654,3.7698347088880837,1.9395328746177256
60,65.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2133,60.75693901251653,3.703212790656835,1.8486772920005023
60,65.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2199,60.75944859651653,3.8083092919550836,1.9674349590204656
60,65.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2054,60.80880374851653,3.5079347919672728,1.637538000009954
60,65.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2063,60.77994353251653,3.353191665839404,1.4933190839365125
60,65.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2093,60.74522762051654,3.387724459171295,1.6560270828194916
60,65.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2227,60.85272146851653,3.480643749702722,1.6345576248131692
60,65.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,35594.19548171689,20371.308881652192,0.10547926367916097,False,17024,17024,0,9576,64.15865232708109,10.615877790842205,0.7708490840159357
60,65.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,35594.19548171689,20371.308881652192,0.10547926367916097,False,17024,17024,0,9576,64.15865232708109,15.249596749898046,0.7830688753165305
120,125.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.540613832883537,1.643467958085239
120,125.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.2854482922703028,1.4236047500744462
120,125.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.3753856252878904,1.6097315838560462
120,125.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.384716958273202,1.7520929155871272
120,125.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.4669360420666635,1.7234499170444906
120,125.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.7960006250068545,1.7182160406373441
120,125.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.2491972921416163,1.4217841671779752
120,125.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.2553342916071415,1.5015408750623465
120,125.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.227244958281517,1.5519412076100707
120,125.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.1934224171563983,1.5434027910232544
120,125.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,84475.73165338504,72682.7368325151,0.3763391742680277,False,36176,36176,0,31920,117.50090756346846,11.616472375113517,1.8457374582067132
120,125.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,84475.73165338504,72682.7368325151,0.3763391742680277,False,36176,36176,0,31920,117.50090756346846,16.165810415986925,1.8584772078320384
300,305.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.583673082757741,1.6651430423371494
300,305.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.2904719170182943,1.4274234171025455
300,305.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.453141334000975,1.6933647077530622
300,305.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.378156832884997,1.7834007502533495
300,305.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.4923472912050784,1.6389477080665529
300,305.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.5103777907788754,1.6316265831701458
300,305.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.344143624883145,1.6438117078505456
300,305.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.3822379587218165,1.488207292277366
300,305.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.590208750218153,1.7063602907583117
300,305.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.5217875419184566,1.6524064582772553
300,305.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,193132.44143037067,169800.00158089958,0.8791962874611842,False,54286,54286,0,50492,300.93336157714685,12.599099625367671,2.873294583056122
300,305.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,325510.680093528,260842.34598581027,1.350598469188631,False,91492,91492,0,80857,298.29758396856784,20.55468291696161,4.537126292008907
600,605.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.619726249948144,1.7623171657323837
600,605.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.329789208713919,1.4346930827014148
600,605.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.3827200001105666,1.629623374901712
600,605.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.477841790765524,1.7264158329926431
600,605.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.5085698338225484,1.6877227500081062
600,605.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.4150379579514265,1.6906704166904092
600,605.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.405182540882379,1.5593468747101724
600,605.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.3037158749066293,1.5148303331807256
600,605.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.6125949579291046,1.7852855422534049
600,605.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.8562921658158302,1.7346834167838097
600,605.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,193131.62282304768,193131.6228229375,1.0000035582825393,True,50001,50001,0,50001,347.23121452553426,12.240652041044086,2.723877042066306
600,605.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,379492.9835128613,379492.98351253144,1.9649518204675767,True,98901,98901,0,98901,372.9894260512175,18.254576542414725,5.126688832882792
1200,1205.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.919452582951635,2.009917249903083
1200,1205.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.4681820841506124,1.716287000104785
1200,1205.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.4946137499064207,1.7481507090851665
1200,1205.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.6082669170573354,1.728610916994512
1200,1205.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.619908374734223,1.8424492911435664
1200,1205.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.7408608328551054,1.9323100000619888
1200,1205.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.5250410423614085,1.7460902500897646
1200,1205.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.551719249691814,1.6487504998221993
1200,1205.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.652918125037104,1.8181817079894245
1200,1205.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.612422041129321,1.9043185831978917
1200,1205.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,193131.62282304768,193131.6228229375,1.0000035582825393,True,50001,50001,0,50001,347.23121452553426,12.356149499770254,2.7444860828109086
1200,1205.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,381962.3054263447,381962.30542601517,1.9777375603890635,True,98901,98901,0,98901,375.09530559433955,18.42196054197848,5.593754707835615
1800,1805.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.632642792072147,1.8406214169226587
1800,1805.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.3222998748533428,1.577398749999702
1800,1805.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.5275864587165415,1.672487957868725
1800,1805.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.540660667233169,1.7056164997629821
1800,1805.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.4917895826511085,1.8005428337492049
1800,1805.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.6820628331042826,1.9227182501927018
1800,1805.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.493207084015012,1.6670880001038313
1800,1805.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.408986708149314,1.673563875257969
1800,1805.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.649840165860951,1.666605083271861
1800,1805.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.2995798750780523,1.6411709594540298
1800,1805.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,193131.62282304768,193131.6228229375,1.0000035582825393,True,50001,50001,0,50001,347.23121452553426,12.400253292173147,2.6152483327314258
1800,1805.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,381965.2352999601,381965.23529963195,1.9777527307894323,True,98901,98901,0,98901,370.73109514894935,18.093833291903138,5.395146084018052
3600,3605.0,100000,2128,266,random,0,529094.124108317,142832.25289131387,193130.93560850155,193131.47103148245,0.0,0.0,False,66534,33231,33303,2143,83.4306308612102,3.3955118749290705,1.8507268750108778
3600,3605.0,100000,2128,266,random,1,529094.124108317,142832.25289131387,193130.93560850155,193135.09859563014,0.0,0.0,False,66543,33253,33290,2078,75.88918529564566,3.3802617923356593,1.578314334154129
3600,3605.0,100000,2128,266,random,2,529094.124108317,142832.25289131387,193130.93560850155,193133.52085415082,0.0,0.0,False,66534,33131,33403,2115,83.4389961412102,3.4640957498922944,1.7324272501282394
3600,3605.0,100000,2128,266,random,3,529094.124108317,142832.25289131387,193130.93560850155,193131.45266620704,0.0,0.0,False,66563,33351,33212,2182,91.03146991477477,3.6334362076595426,1.7916273339651525
3600,3605.0,100000,2128,266,random,4,529094.124108317,142832.25289131387,193130.93560850155,193131.61968080234,0.0,0.0,False,66538,33280,33258,2154,105.2135972523152,3.3717932496219873,1.9120776248164475
3600,3605.0,100000,2128,266,random,5,529094.124108317,142832.25289131387,193130.93560850155,193131.23394218308,0.0,0.0,False,66528,33262,33266,2230,90.94028836277474,3.679934957996011,1.966444042045623
3600,3605.0,100000,2128,266,random,6,529094.124108317,142832.25289131387,193130.93560850155,193132.52127222886,0.0,0.0,False,66556,33176,33380,2073,89.5849485263033,3.618809875100851,1.6724970419891179
3600,3605.0,100000,2128,266,random,7,529094.124108317,142832.25289131387,193130.93560850155,193132.41393069393,0.0,0.0,False,66554,33155,33399,2085,98.55032922433934,3.5034729591570795,1.7015675422735512
3600,3605.0,100000,2128,266,random,8,529094.124108317,142832.25289131387,193130.93560850155,193132.6931116177,0.0,0.0,False,66549,33429,33120,2114,83.39466015721021,3.7196994586847723,1.7765867090784013
3600,3605.0,100000,2128,266,random,9,529094.124108317,142832.25289131387,193130.93560850155,193133.604196115,0.0,0.0,False,66544,33442,33102,2241,82.20021967027776,3.5961412079632282,1.77375233406201
3600,3605.0,100000,2128,266,greedy,3,529094.124108317,142832.25289131387,193130.93560850155,193131.62282304768,193131.6228229375,1.0000035582825393,True,50001,50001,0,50001,347.23121452553426,12.510768459178507,2.7957211672328413
3600,3605.0,100000,2128,266,lp,3,529094.124108317,142832.25289131387,193130.93560850155,380237.3993239985,380237.399323661,1.968806282254261,True,98901,98901,0,98901,354.70769151922804,17.153956916648895,4.935359290800989
