step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,0,2.0,0.0,0,2
3,0,3.0,0.0,0,3
4,0,4.0,0.0,0,4
5,0,5.0,0.0,0,5
6,0,5.0,0.0,0,5
7,1.0,5.0,0.2,1,5
8,1.0,5.0,0.2,1,5
9,1.0,7.0,0.14285714285714285,1,7
10,2.0,7.0,0.2857142857142857,2,7
11,3.0,7.0,0.42857142857142855,3,7
12,4.0,7.0,0.5714285714285714,4,7
13,4.0,7.0,0.5714285714285714,4,7
14,5.0,7.0,0.7142857142857143,5,7
15,4.0,7.0,0.5714285714285714,4,7
16,4.0,7.0,0.5714285714285714,4,7
17,4.0,7.0,0.5714285714285714,4,7
18,4.0,7.0,0.5714285714285714,4,7
19,5.0,7.0,0.7142857142857143,5,7
20,5.0,7.0,0.7142857142857143,5,7
21,6.0,7.0,0.8571428571428571,6,7
22,6.0,7.0,0.8571428571428571,6,7
23,7.0,7.0,1.0,7,7
