api_wire_bytes,bandwidth,cached_tokens,chunk_tokens,completion_s,context_tokens,destination,destination_ready_s,destination_region,exact_token_timestamps,kv_wire_bytes,mean_tpot_s,method,model,passed,repeat,revision,source,source_region,stream_span_s,timing_root,readiness_root
193874,controlled_40,32256,256,22.116208935,32256,east,18.707357015,southeastasia,True,795871216,0.026841243937007875,kv_transfer,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.40883798,/datadrive/k19-gpt,/datadrive/k19-gpt
193952,controlled_40,0,256,34.481828501,32256,east,31.046692244,southeastasia,True,0,0.027048206196850395,replay,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.435122187,/datadrive/k19-gpt,/datadrive/k19-gpt
24911,controlled_40,4096,256,4.232065254,4096,germany,0.617761623,southcentralus,True,103809296,0.0284587537007874,kv_transfer,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.61426172,/datadrive/k19-gpt,/datadrive/k19-gpt
24989,controlled_40,0,256,4.476699613,4096,germany,0.85600363,southcentralus,True,0,0.028509069858267715,replay,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.620651872,/datadrive/k19-gpt,/datadrive/k19-gpt
24911,controlled_40,4096,256,4.257289717,4096,germany,0.634445221,southcentralus,True,103809296,0.028525998228346457,kv_transfer,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.622801775,/datadrive/k19-gpt,/datadrive/k19-gpt
24989,controlled_40,0,256,4.415737138,4096,germany,0.782791481,southcentralus,True,0,0.028605487299212598,replay,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.632896887,/datadrive/k19-gpt,/datadrive/k19-gpt
24911,controlled_40,4096,256,4.281582182,4096,germany,0.671331694,southcentralus,True,103809296,0.02842684800787402,kv_transfer,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.610209697,/datadrive/k19-gpt,/datadrive/k19-gpt
24989,controlled_40,0,256,4.410593034,4096,germany,0.781413092,southcentralus,True,0,0.02857585977952756,replay,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.629134192,/datadrive/k19-gpt,/datadrive/k19-gpt
98641,controlled_40,16384,256,5.451338885,16384,germany,1.829666132,southcentralus,True,405799952,0.028516765448818898,kv_transfer,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.621629212,/datadrive/k19-gpt,/datadrive/k19-gpt
98719,controlled_40,0,256,11.88909204,16384,germany,8.265444652,southcentralus,True,0,0.028532278952755903,replay,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.623599427,/datadrive/k19-gpt,/datadrive/k19-gpt
98641,controlled_40,16384,256,5.359375033,16384,germany,1.740136631,southcentralus,True,405799952,0.028497506236220473,kv_transfer,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.619183292,/datadrive/k19-gpt,/datadrive/k19-gpt
98719,controlled_40,0,256,11.889108865,16384,germany,8.273178917,southcentralus,True,0,0.028471550771653545,replay,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.615886948,/datadrive/k19-gpt,/datadrive/k19-gpt
98641,controlled_40,16384,256,5.272203409,16384,germany,1.651485745,southcentralus,True,405799952,0.028509268062992123,kv_transfer,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.620677044,/datadrive/k19-gpt,/datadrive/k19-gpt
98719,controlled_40,0,256,11.873349176,16384,germany,8.266942635,southcentralus,True,0,0.028396515598425195,replay,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.606357481,/datadrive/k19-gpt,/datadrive/k19-gpt
193874,controlled_40,32256,256,7.002373079,32256,germany,3.087844809,southcentralus,True,795871216,0.030822560622047242,kv_transfer,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.914465199,/datadrive/k19-gpt,/datadrive/k19-gpt
193952,controlled_40,0,256,33.657096964,32256,germany,29.745967158,southcentralus,True,0,0.03079596674015748,replay,openai/gpt-oss-20b,True,0,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.911087776,/datadrive/k19-gpt,/datadrive/k19-gpt
193874,controlled_40,32256,256,6.868007057,32256,germany,2.964172115,southcentralus,True,795871216,0.030738566858267716,kv_transfer,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.903797991,/datadrive/k19-gpt,/datadrive/k19-gpt
193952,controlled_40,0,256,33.637628441,32256,germany,29.736552919,southcentralus,True,0,0.030716754425196852,replay,openai/gpt-oss-20b,True,1,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.901027812,/datadrive/k19-gpt,/datadrive/k19-gpt
193874,controlled_40,32256,256,6.759141405,32256,germany,2.856775892,southcentralus,True,795871216,0.03072696403937008,kv_transfer,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.902324433,/datadrive/k19-gpt,/datadrive/k19-gpt
193952,controlled_40,0,256,33.644999215,32256,germany,29.739690611,southcentralus,True,0,0.030750108133858266,replay,openai/gpt-oss-20b,True,2,6cee5e81ee83917806bbde320786a8fb61efebee,westus3,westus3,3.905263733,/datadrive/k19-gpt,/datadrive/k19-gpt
20863,controlled_40,3920,784,22.610337461,4096,east,17.116159244,southeastasia,True,411041895,0.04326111556692914,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.494161677,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,7.433413211,4096,east,1.926533515,southeastasia,True,0,0.043361029881889765,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.506850795,/datadrive/k21-qwen,/datadrive/k22-qwen
20863,controlled_40,3920,784,23.421275625,4096,east,17.957073975,southeastasia,True,411041895,0.04302507905511811,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.46418504,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,7.447539905,4096,east,1.942324188,southeastasia,True,0,0.0433478042992126,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.505171146,/datadrive/k21-qwen,/datadrive/k22-qwen
20863,controlled_40,3920,784,22.746873219,4096,east,17.235779675,southeastasia,True,411041895,0.043394182472440944,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.511061174,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,7.455280222,4096,east,1.944213408,southeastasia,True,0,0.043393932551181104,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.511029434,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,31.235123745,16384,east,25.299874574,southeastasia,True,1181745510,0.04673413268503937,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.935234851,/datadrive/k21-qwen,/datadrive/k22-qwen
82380,controlled_40,0,784,18.609035455,16384,east,12.679782708,southeastasia,True,0,0.046686904937007875,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.929236927,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,31.449202848,16384,east,25.509258845,southeastasia,True,1181745510,0.04677108868503937,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.939928263,/datadrive/k21-qwen,/datadrive/k22-qwen
82380,controlled_40,0,784,18.615677524,16384,east,12.671727682,southeastasia,True,0,0.04680263875590551,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.943935122,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,30.998860312,16384,east,25.062525132,southeastasia,True,1181745510,0.04674267535433071,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.93631977,/datadrive/k21-qwen,/datadrive/k22-qwen
82380,controlled_40,0,784,18.620827996,16384,east,12.685359719,southeastasia,True,0,0.04673584218110236,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.935451957,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,51.695434481,32256,east,42.97756019,southeastasia,True,2260730571,0.06864437874803149,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.717836101,/datadrive/k21-qwen,/datadrive/k22-qwen
161741,controlled_40,0,784,50.547738845,32256,east,41.824562317,southeastasia,True,0,0.06868610777952755,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.723135688,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,51.867740371,32256,east,43.147964394,southeastasia,True,2260730571,0.06865952855905512,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.719760127,/datadrive/k21-qwen,/datadrive/k22-qwen
161741,controlled_40,0,784,50.545689361,32256,east,41.828270325,southeastasia,True,0,0.06864076737007874,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.717377456,/datadrive/k21-qwen,/datadrive/k22-qwen
161663,controlled_40,32144,784,51.426527235,32256,east,42.707858515,southeastasia,True,2260730571,0.06865062055118111,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.71862881,/datadrive/k21-qwen,/datadrive/k22-qwen
