model,destination_region,context_tokens,method,repeats,median_ttft_s,median_request_mean_tpot_s,median_wire_bytes
openai/gpt-oss-20b,southeastasia,4096,replay,3,1.431914269,0.02705237366141732,0
openai/gpt-oss-20b,southeastasia,4096,kv_transfer,3,4.278530082,0.026931802921259844,103809296
openai/gpt-oss-20b,southeastasia,16384,replay,3,9.424718275,0.025784677448818898,0
openai/gpt-oss-20b,southeastasia,16384,kv_transfer,3,10.868760594,0.025803124283464568,405799952
openai/gpt-oss-20b,southeastasia,32256,replay,3,31.109806204,0.026835425291338585,0
openai/gpt-oss-20b,southeastasia,32256,kv_transfer,3,18.64917106,0.026841243937007875,795871216
openai/gpt-oss-20b,southcentralus,4096,replay,3,0.782791481,0.02857585977952756,0
openai/gpt-oss-20b,southcentralus,4096,kv_transfer,3,0.634445221,0.0284587537007874,103809296
openai/gpt-oss-20b,southcentralus,16384,replay,3,8.266942635,0.028471550771653545,0
openai/gpt-oss-20b,southcentralus,16384,kv_transfer,3,1.740136631,0.028509268062992123,405799952
openai/gpt-oss-20b,southcentralus,32256,replay,3,29.739690611,0.030750108133858266,0
openai/gpt-oss-20b,southcentralus,32256,kv_transfer,3,2.964172115,0.030738566858267716,795871216
Qwen/Qwen3.8-27B,southeastasia,4096,replay,3,1.942324188,0.043361029881889765,0
Qwen/Qwen3.8-27B,southeastasia,4096,kv_transfer,3,17.235779675,0.04326111556692914,411041895
Qwen/Qwen3.8-27B,southeastasia,16384,replay,3,12.679782708,0.04673584218110236,0
Qwen/Qwen3.8-27B,southeastasia,16384,kv_transfer,3,25.299874574,0.04674267535433071,1181745510
Qwen/Qwen3.8-27B,southeastasia,32256,replay,3,41.824562317,0.06864467527559055,0
Qwen/Qwen3.8-27B,southeastasia,32256,kv_transfer,3,42.97756019,0.06865062055118111,2260730571
Qwen/Qwen3.8-27B,southcentralus,4096,replay,3,1.305803257,0.04438616339370079,0
Qwen/Qwen3.8-27B,southcentralus,4096,kv_transfer,3,2.996987451,0.04439115266929134,411041895
Qwen/Qwen3.8-27B,southcentralus,16384,replay,3,11.844176196,0.04953895616535433,0
Qwen/Qwen3.8-27B,southcentralus,16384,kv_transfer,3,6.740069509,0.049587061149606294,1181745520
Qwen/Qwen3.8-27B,southcentralus,32256,replay,3,41.028184198,0.07278085540944881,0
Qwen/Qwen3.8-27B,southcentralus,32256,kv_transfer,3,10.544377527,0.07275989603149606,2260730571
google/gemma-4-26B-A4B-it,southeastasia,4096,replay,3,0.869313468,0.03218420812598425,0
google/gemma-4-26B-A4B-it,southeastasia,4096,kv_transfer,3,10.952568152,0.0321500117480315,293601604
google/gemma-4-26B-A4B-it,southeastasia,16384,replay,3,2.096418992,0.03065863864566929,0
google/gemma-4-26B-A4B-it,southeastasia,16384,kv_transfer,3,17.054696186,0.0304249354488189,545260612
google/gemma-4-26B-A4B-it,southeastasia,32256,replay,3,3.696140924,0.028885906921259842,0
google/gemma-4-26B-A4B-it,southeastasia,32256,kv_transfer,3,23.44439476,0.02883392777952756,870320164
google/gemma-4-26B-A4B-it,southcentralus,4096,replay,3,0.241385878,0.03346703507874015,0
google/gemma-4-26B-A4B-it,southcentralus,4096,kv_transfer,3,1.702092408,0.03338294491338583,293601604
google/gemma-4-26B-A4B-it,southcentralus,16384,replay,3,0.999659156,0.033070625039370076,0
google/gemma-4-26B-A4B-it,southcentralus,16384,kv_transfer,3,2.190040939,0.03308437527559055,545260612
google/gemma-4-26B-A4B-it,southcentralus,32256,replay,3,2.42954007,0.032884964354330706,0
google/gemma-4-26B-A4B-it,southcentralus,32256,kv_transfer,3,3.072246667,0.032950809118110234,870320164
