actual_start_span_s,cell_id,client_error,completed,drained,engine_exited,exact_timing,failed,max_send_lateness_s,model,offered,offered_rps,p90_mean_tpot_s,p90_ttft_s,peak_running_requests,peak_waiting_requests,plan_sha256,repeat,revision,sampler_error,scheduled_span_s,schema,status
163.516123078,openai-gpt-oss-20b-rps0p125-b0,,32,True,False,31,0,0.034413609,openai/gpt-oss-20b,32,0.125,0.032178805677419355,0.28936679210000005,11.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,163.520773527,queue-haul-agentic-rps-sweep-v1,recorded
93.162877753,openai-gpt-oss-20b-rps0p25-b0,,32,True,False,32,0,0.023255204,openai/gpt-oss-20b,32,0.25,0.03299141977800587,0.2844409529,16.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,93.172083978,queue-haul-agentic-rps-sweep-v1,recorded
48.643801422,openai-gpt-oss-20b-rps0p5-b0,,32,True,False,32,0,0.010285428,openai/gpt-oss-20b,32,0.5,0.03513545709305963,0.2866771014,24.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,48.644541285,queue-haul-agentic-rps-sweep-v1,recorded
38.478615814,openai-gpt-oss-20b-rps1-b0,,32,True,False,32,0,0.010005026,openai/gpt-oss-20b,32,1.0,0.03529685462375367,0.5160017118,28.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,38.480766275,queue-haul-agentic-rps-sweep-v1,recorded
16.659237484,openai-gpt-oss-20b-rps2-b0,,32,True,False,32,0,0.005697027,openai/gpt-oss-20b,32,2.0,0.035986546654545454,0.5766496586000001,32.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,16.659754033,queue-haul-agentic-rps-sweep-v1,recorded
8.761007901,openai-gpt-oss-20b-rps4-b0,,32,True,False,32,0,0.003987289,openai/gpt-oss-20b,32,4.0,0.03624021525493647,1.0534041472000002,32.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,8.760765399,queue-haul-agentic-rps-sweep-v1,recorded
3.343353543,openai-gpt-oss-20b-rps8-b0,,32,True,False,32,0,0.005720155,openai/gpt-oss-20b,32,8.0,0.03692510084349951,4.1379448091999995,32.0,12.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,3.342518176,queue-haul-agentic-rps-sweep-v1,recorded
9.419021548,openai-gpt-oss-20b-rps4-b1,,32,True,False,32,0,0.004088026,openai/gpt-oss-20b,32,4.0,0.036687211009090906,0.7640908541,32.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,1,6cee5e81ee83917806bbde320786a8fb61efebee,,9.420168327,queue-haul-agentic-rps-sweep-v1,recorded
7.314179954,openai-gpt-oss-20b-rps4-b2,,32,True,False,32,0,0.00697928,openai/gpt-oss-20b,32,4.0,0.03654188563548387,2.1190380559,32.0,4.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,2,6cee5e81ee83917806bbde320786a8fb61efebee,,7.315855357,queue-haul-agentic-rps-sweep-v1,recorded
4.613544947,openai-gpt-oss-20b-rps8-b1,,32,True,False,32,0,0.003659768,openai/gpt-oss-20b,32,8.0,0.03690827206871945,3.0179698624,32.0,7.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,1,6cee5e81ee83917806bbde320786a8fb61efebee,,4.614579414,queue-haul-agentic-rps-sweep-v1,recorded
4.330524039,openai-gpt-oss-20b-rps8-b2,,32,True,False,32,0,0.004669844,openai/gpt-oss-20b,32,8.0,0.03658361773049853,3.1015615826,32.0,8.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,2,6cee5e81ee83917806bbde320786a8fb61efebee,,4.331424477,queue-haul-agentic-rps-sweep-v1,recorded
163.510317375,qwen-qwen3-8-27b-rps0p125-b0,,32,True,False,32,0,0.035787938,Qwen/Qwen3.8-27B,32,0.125,0.09468397445395894,3.4824494878000003,21.0,2.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,,163.520773527,queue-haul-agentic-rps-sweep-v1,recorded
93.163320196,qwen-qwen3-8-27b-rps0p25-b0,,32,True,False,31,0,0.021483159,Qwen/Qwen3.8-27B,32,0.25,0.1078271213255132,3.4762634879000003,32.0,2.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,,93.172083978,queue-haul-agentic-rps-sweep-v1,recorded
48.644951924,qwen-qwen3-8-27b-rps0p5-b0,,32,True,False,32,0,0.010569541,Qwen/Qwen3.8-27B,32,0.5,0.10858883059227763,5.773063436900002,32.0,4.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,,48.644541285,queue-haul-agentic-rps-sweep-v1,recorded
