phase,gpu,samples,power_mean_w
baseline,0,479,345.00302713987475
baseline,1,479,82.58004175365346
drain,0,257,230.8412840466926
drain,1,257,189.72696498054475
post,0,479,176.49384133611693
post,1,479,246.70647181628394
