phase,gpu,samples,power_mean_w
baseline,0,480,347.72479166666665
baseline,1,480,81.778625
drain,0,348,291.9159482758621
drain,1,348,219.98675287356326
post,0,480,142.14802083333336
post,1,480,201.33885416666666
