phase,gpu,samples,power_mean_w
baseline,0,119,346.3917647058824
baseline,1,119,85.82882352941179
drain,0,1186,347.70807757166943
drain,1,1186,220.61792580101178
post,0,119,332.2281512605042
post,1,119,177.96991596638654
