fault_axis,replans,pending_actions,retained,method,destination,removed,retained_fraction,method_fraction,destination_fraction,removed_fraction
bandwidth,1728,26584,21469,1908,1585,1622,0.8075910321998194,0.07177249473367439,0.05962232922058381,0.06101414384592236
joint,169,2920,876,19,1114,911,0.3,0.006506849315068493,0.3815068493150685,0.311986301369863
prefill,164,2850,846,19,1087,898,0.2968421052631579,0.006666666666666667,0.3814035087719298,0.31508771929824564
