context_seed,fault_axis,target_fraction,requested_shed_w,repair_outcome,changed_sessions,repair_target_s,no_replan_target_s,repair_by_cutoff,no_replan_by_cutoff
0,bandwidth,0.5,30.928316227187338,applied,4,21.66049072799498,27.29662575248566,True,False
1,joint,0.5,30.928316227187338,applied,13,35.61681349717506,93.57159699017126,False,False
1,prefill,0.5,30.928316227187338,applied,13,35.61681349717506,86.07147109376183,False,False
2,bandwidth,0.5,30.928316227187338,applied,4,31.697837097027687,,False,False
10,bandwidth,0.5,30.928316227187338,applied,3,24.167549548030227,35.08410558440818,True,False
11,bandwidth,0.5,30.928316227187338,applied,3,27.5278097269152,36.60060509526511,False,False
16,bandwidth,0.5,30.928316227187338,applied,3,24.452521426577302,37.51842968337938,True,False
18,joint,0.5,30.928316227187338,applied,9,29.40734721971767,73.05727759213701,False,False
18,prefill,0.5,30.928316227187338,applied,9,29.40734721971767,52.54295819410276,False,False
20,joint,0.5,30.928316227187338,applied,9,17.212935853787123,73.05727759213701,True,False
20,prefill,0.5,30.928316227187338,applied,9,17.212935853787123,32.028638796068506,True,False
22,bandwidth,0.5,30.928316227187338,applied,4,38.00558017899636,52.85315294898035,False,False
23,bandwidth,0.5,30.928316227187338,applied,4,29.059058877310832,33.5922488537836,False,False
27,bandwidth,0.5,30.928316227187338,applied,2,17.94576882517887,25.775324983396274,True,False
30,bandwidth,0.5,30.928316227187338,applied,3,21.833737535513826,32.412149213667035,True,False
31,joint,0.5,30.928316227187338,applied,13,33.168871258334704,107.34092184785098,False,False
31,prefill,0.5,30.928316227187338,applied,13,33.168871258334704,93.57159699017126,False,False
33,bandwidth,0.5,30.928316227187338,applied,5,35.970950816071266,,False,False
34,bandwidth,0.5,30.928316227187338,applied,5,37.15424183288053,42.5576545965087,False,False
37,bandwidth,0.5,30.928316227187338,applied,3,21.283825485718264,27.581597631032736,True,False
43,bandwidth,0.5,30.928316227187338,applied,4,27.873282302944503,51.18447058742453,False,False
46,joint,0.5,30.928316227187338,applied,14,40.27568722540762,127.10010988983032,False,False
46,prefill,0.5,30.928316227187338,applied,14,40.27568722540762,73.05727759213701,False,False
