case,snapshot,draw,wan_gbps,deadline_s,policy,shed_fraction,replay_gpu_time_bound,kv_fraction,qh_gap
original,0,0,40,10,queue_haul,0.9896084441583047,1.0,0.0,0.0
original,0,0,40,10,greedy,0.7463347581733835,1.0,0.0002309800424254379,0.24327368598492127
original,0,0,40,10,kv_only,0.0040678546083191365,1.0,0.0040678546083191365,0.9855405895499856
original,0,0,40,10,replay_only,0.9896084441583046,1.0,0.0,1.1102230246251565e-16
original,0,0,40,10,isolated_fastest,0.0040678546083191365,1.0,0.0040678546083191365,0.9855405895499856
original,0,0,40,20,queue_haul,1.0,1.0000000000000075,0.0,0.0
original,0,0,40,20,greedy,0.7462572049616119,1.0000000000000075,0.0005259671794752688,0.25374279503838815
original,0,0,40,20,kv_only,0.008364237624704571,1.0000000000000075,0.008364237624704571,0.9916357623752954
original,0,0,40,20,replay_only,0.9999999999999444,1.0000000000000075,0.0,5.562217353372034e-14
original,0,0,40,20,isolated_fastest,0.008364237624704571,1.0000000000000075,0.008364237624704571,0.9916357623752954
original,0,0,40,25,queue_haul,0.999999999999996,0.9999999999991582,0.0,0.0
original,0,0,40,25,greedy,0.746400846337666,0.9999999999991582,0.0006696085555293878,0.25359915366233
original,0,0,40,25,kv_only,0.010512429132897287,0.9999999999991582,0.010512429132897287,0.9894875708670987
original,0,0,40,25,replay_only,1.0000000000000029,0.9999999999991582,0.0,-6.8833827526759706e-15
original,0,0,40,25,isolated_fastest,0.010512429132897287,0.9999999999991582,0.010512429132897287,0.9894875708670987
original,0,0,40,30,queue_haul,0.9999999999999999,1.0000000000000016,0.0,0.0
original,0,0,40,30,greedy,0.7465439754709936,1.0000000000000016,0.0008127376888570231,0.2534560245290063
original,0,0,40,30,kv_only,0.012660620641090007,1.0000000000000016,0.012660620641090007,0.9873393793589099
original,0,0,40,30,replay_only,0.9999999999999998,1.0000000000000016,0.0,1.1102230246251565e-16
original,0,0,40,30,isolated_fastest,0.012660620641090007,1.0000000000000016,0.012660620641090007,0.9873393793589099
original,0,0,40,35,queue_haul,0.9999999999999996,1.0000000000000004,0.0,0.0
original,0,0,40,35,greedy,0.7466868476876333,1.0000000000000004,0.0009556099054967071,0.2533131523123663
original,0,0,40,35,kv_only,0.014808812149282723,1.0000000000000004,0.014808812149282723,0.9851911878507168
original,0,0,40,35,replay_only,0.9999999999999999,1.0000000000000004,0.0,-3.3306690738754696e-16
original,0,0,40,35,isolated_fastest,0.014808812149282723,1.0000000000000004,0.014808812149282723,0.9851911878507168
original,0,0,40,40,queue_haul,1.0000000000000147,1.0000000000000007,0.0,0.0
original,0,0,40,40,greedy,0.7468295727211317,1.0000000000000007,0.001098334938995071,0.25317042727888295
original,0,0,40,40,kv_only,0.01695700365747544,1.0000000000000007,0.01695700365747544,0.9830429963425392
original,0,0,40,40,replay_only,0.9999999999999986,1.0000000000000007,0.0,1.609823385706477e-14
original,0,0,40,40,isolated_fastest,0.01695700365747544,1.0000000000000007,0.01695700365747544,0.9830429963425392
original,0,0,40,45,queue_haul,0.9999999999999949,0.9999999999999994,0.0,0.0
original,0,0,40,45,greedy,0.7469722055760061,0.9999999999999994,0.0012409677938694165,0.2530277944239888
original,0,0,40,45,kv_only,0.019105195165668158,0.9999999999999994,0.019105195165668158,0.9808948048343268
original,0,0,40,45,replay_only,1.0000000000000004,0.9999999999999994,0.0,-5.551115123125783e-15
original,0,0,40,45,isolated_fastest,0.019105195165668158,0.9999999999999994,0.019105195165668158,0.9808948048343268
original,0,0,40,60,queue_haul,0.9999999999999999,1.0,0.0,0.0
original,0,0,40,60,greedy,0.7473998017597283,1.0,0.0016685639775916585,0.2526001982402716
original,0,0,40,60,kv_only,0.025549769690246308,1.0,0.025549769690246308,0.9744502303097535
original,0,0,40,60,replay_only,1.0,1.0,0.0,-1.1102230246251565e-16
original,0,0,40,60,isolated_fastest,0.025549769690246308,1.0,0.025549769690246308,0.9744502303097535
original,0,0,100,10,queue_haul,0.9949271783387682,1.0,0.002640022505083645,0.0
original,0,0,100,10,greedy,0.7463665986393758,1.0,0.0006353608572392209,0.24856057969939238
original,0,0,100,10,kv_only,0.010169636520797843,1.0,0.010169636520797843,0.9847575418179704
original,0,0,100,10,replay_only,0.994760362683287,1.0,0.0,0.00016681565548115618
