checkpoint_id,checkpoint_step,lead_time,predicted_probability,run_id,threshold_name,threshold_value
high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d::2,2,2,0.8218920817562261,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,0.5,0.5
high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::3,3,2,0.8796927918284011,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.5,0.5
high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::4,4,1,0.8853789107346919,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.5,0.5
high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::2,2,2,0.8218920817562261,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.5,0.5
high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::3,3,1,0.8900954742626597,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::4,4,2,0.8857987900304669,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::5,5,1,0.8795169645535714,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::3,3,4,0.8857987900304669,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::4,4,3,0.9059755641905314,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::5,5,2,0.9346037407887777,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.5,0.5
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::6,6,1,0.8981915772981315,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.5,0.5
high_progress_failure_04_idempotent_required__armC__d1780157::2,2,2,0.8486482073682007,high_progress_failure_04_idempotent_required__armC__d1780157,0.5,0.5
progress_drop_01_lint_then_runtime_failure__armC__3a328701::7,7,2,0.9626139023169112,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.5,0.5
progress_drop_01_lint_then_runtime_failure__armC__3a328701::8,8,1,0.8800982284117742,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.5,0.5
progress_drop_01_lint_then_runtime_failure__armC__a943cd95::4,4,1,0.9165142288824627,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,0.5,0.5
progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09::1,1,2,0.7730913803296892,progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09,0.5,0.5
progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09::2,2,1,0.8919062492251795,progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09,0.5,0.5
progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7::1,1,2,0.7730913803296892,progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7,0.5,0.5
progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7::2,2,1,0.8919062492251795,progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7,0.5,0.5
stuck_blocked_01_missing_dep_loop__armB__22d3af19::3,3,2,0.8969347691872066,stuck_blocked_01_missing_dep_loop__armB__22d3af19,0.5,0.5
stuck_blocked_01_missing_dep_loop__armB__22d3af19::4,4,1,0.8989336350847242,stuck_blocked_01_missing_dep_loop__armB__22d3af19,0.5,0.5
stuck_blocked_01_missing_dep_loop__armB__a0441ef5::2,2,4,0.8378214587314725,stuck_blocked_01_missing_dep_loop__armB__a0441ef5,0.5,0.5
stuck_blocked_01_missing_dep_loop__armC__1317d385::6,6,2,0.9765544648431095,stuck_blocked_01_missing_dep_loop__armC__1317d385,0.5,0.5
stuck_blocked_01_missing_dep_loop__armC__1317d385::7,7,1,0.912319427662949,stuck_blocked_01_missing_dep_loop__armC__1317d385,0.5,0.5
stuck_blocked_04_module_not_found_pythonpath__armC__7824b1d7::4,4,1,0.9238801983570408,stuck_blocked_04_module_not_found_pythonpath__armC__7824b1d7,0.5,0.5
validation_new_work_04_tz_offset_in_log__armC__c4758717::4,4,2,0.920938104725098,validation_new_work_04_tz_offset_in_log__armC__c4758717,0.5,0.5
validation_new_work_04_tz_offset_in_log__armC__c4758717::5,5,1,0.8832781523993806,validation_new_work_04_tz_offset_in_log__armC__c4758717,0.5,0.5
validation_new_work_05_quoted_field_in_tsv__armC__09b20117::4,4,1,0.9193564233987154,validation_new_work_05_quoted_field_in_tsv__armC__09b20117,0.5,0.5
validation_new_work_05_quoted_field_in_tsv__armC__3393383d::2,2,2,0.8439432725109676,validation_new_work_05_quoted_field_in_tsv__armC__3393383d,0.5,0.5
validation_new_work_05_quoted_field_in_tsv__armC__3393383d::3,3,1,0.9024595483368216,validation_new_work_05_quoted_field_in_tsv__armC__3393383d,0.5,0.5
high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d::2,2,2,0.8218920817562261,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,prevalence,0.14553990610328638
high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::3,3,2,0.8796927918284011,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,prevalence,0.14553990610328638
high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::4,4,1,0.8853789107346919,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,prevalence,0.14553990610328638
high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::2,2,2,0.8218920817562261,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,prevalence,0.14553990610328638
high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::3,3,1,0.8900954742626597,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::4,4,2,0.8857987900304669,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::5,5,1,0.8795169645535714,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::3,3,4,0.8857987900304669,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::4,4,3,0.9059755641905314,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::5,5,2,0.9346037407887777,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,prevalence,0.14553990610328638
high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::6,6,1,0.8981915772981315,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,prevalence,0.14553990610328638
high_progress_failure_04_idempotent_required__armC__d1780157::2,2,2,0.8486482073682007,high_progress_failure_04_idempotent_required__armC__d1780157,prevalence,0.14553990610328638
progress_drop_01_lint_then_runtime_failure__armC__3a328701::7,7,2,0.9626139023169112,progress_drop_01_lint_then_runtime_failure__armC__3a328701,prevalence,0.14553990610328638
progress_drop_01_lint_then_runtime_failure__armC__3a328701::8,8,1,0.8800982284117742,progress_drop_01_lint_then_runtime_failure__armC__3a328701,prevalence,0.14553990610328638
progress_drop_01_lint_then_runtime_failure__armC__a943cd95::4,4,1,0.9165142288824627,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,prevalence,0.14553990610328638
