arm,checkpoint_event_types,checkpoint_has_add_split_reopen,checkpoint_id,checkpoint_step,coding_progress,current_progress,drop_magnitude,features_max_step,features_max_step_status,future_min_progress_within_h5,horizon,label,label_matches,lead_time,model_name,next_drop_step,run_id,shipped_label,task_family,task_id
A,INIT,False,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,,False,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,,False,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364::3,3,0.0,0.0,0.0,3,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,INIT,False,high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
B,INIT,False,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-sonnet-4-6,,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
B,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d::1,1,0.0,0.0,0.0,1,assumed,0.6666666666666666,5,0,True,,claude-sonnet-4-6,,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
B,UPDATE_STATUS,False,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d::2,2,1.0,1.0,0.33333333333333337,2,assumed,0.6666666666666666,5,1,True,2.0,claude-sonnet-4-6,4.0,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,1.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,INIT,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::2,2,0.0,0.0,0.0,2,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
