bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
52,260.0,265.0,0,source,3.0,333.2825,20
52,260.0,265.0,1,sink,3.0,90.50749999999998,20
53,265.0,270.0,0,source,3.0,378.793,20
53,265.0,270.0,1,sink,3.0,224.5855,20
54,270.0,275.0,0,source,3.0,329.819,20
54,270.0,275.0,1,sink,3.0,379.122,20
55,275.0,280.0,0,source,3.0,377.1474999999999,20
55,275.0,280.0,1,sink,3.0,297.66749999999996,20
56,280.0,285.0,0,source,3.0,266.82450000000006,20
56,280.0,285.0,1,sink,3.0,330.8375,20
57,285.0,290.0,0,source,2.25,335.7985,20
57,285.0,290.0,1,sink,3.75,341.97999999999996,20
58,290.0,295.0,0,source,2.25,310.45799999999997,20
58,290.0,295.0,1,sink,3.75,381.63649999999996,20
59,295.0,300.0,0,source,2.25,285.735,20
59,295.0,300.0,1,sink,3.75,333.4745000000001,20
60,300.0,305.0,0,source,2.25,312.31499999999994,20
60,300.0,305.0,1,sink,3.75,377.329,20
61,305.0,310.0,0,source,2.25,311.0357894736842,19
61,305.0,310.0,1,sink,3.75,322.16999999999996,19
62,310.0,315.0,0,source,1.5,274.291,20
62,310.0,315.0,1,sink,4.5,379.4765,20
63,315.0,320.0,0,source,1.5,284.3045,20
63,315.0,320.0,1,sink,4.5,122.83550000000002,20
64,320.0,325.0,0,source,1.5,303.2765,20
64,320.0,325.0,1,sink,4.5,91.32600000000001,20
65,325.0,330.0,0,source,1.5,323.72700000000003,20
65,325.0,330.0,1,sink,4.5,89.872,20
66,330.0,335.0,0,source,1.5,256.57,20
66,330.0,335.0,1,sink,4.5,89.199,20
67,335.0,340.0,0,source,1.5,264.658,20
67,335.0,340.0,1,sink,4.5,265.77099999999996,20
68,340.0,345.0,0,source,1.5,274.6555,20
68,340.0,345.0,1,sink,4.5,375.63,20
69,345.0,350.0,0,source,0.75,337.726,20
69,345.0,350.0,1,sink,5.25,268.94999999999993,20
70,350.0,355.0,0,source,0.75,316.4055,20
70,350.0,355.0,1,sink,5.25,90.58500000000001,20
71,355.0,360.0,0,source,0.75,297.20550000000003,20
71,355.0,360.0,1,sink,5.25,89.19199999999998,20
72,360.0,365.0,0,source,0.75,306.31499999999994,20
72,360.0,365.0,1,sink,5.25,88.47550000000001,20
73,365.0,370.0,0,source,0.75,303.9355,20
73,365.0,370.0,1,sink,5.25,88.054,20
74,370.0,375.0,0,source,0.75,333.6775,20
74,370.0,375.0,1,sink,5.25,301.726,20
75,375.0,380.0,0,source,0.75,290.2105,20
75,375.0,380.0,1,sink,5.25,362.332,20
76,380.0,385.0,0,source,0.75,289.51149999999996,20
76,380.0,385.0,1,sink,5.25,372.1075,20
77,385.0,390.0,0,source,0.75,285.35200000000003,20
77,385.0,390.0,1,sink,5.25,309.4635,20
78,390.0,395.0,0,source,0.0,104.08,20
78,390.0,395.0,1,sink,6.0,192.748,20
79,395.0,400.0,0,source,0.0,93.543,20
79,395.0,400.0,1,sink,6.0,296.005,20
80,400.0,405.0,0,source,0.0,92.44250000000002,20
80,400.0,405.0,1,sink,6.0,331.8125,20
81,405.0,410.0,0,source,0.0,91.747,20
81,405.0,410.0,1,sink,6.0,343.503,20
82,410.0,415.0,0,source,0.0,91.179,20
82,410.0,415.0,1,sink,6.0,389.98400000000004,20
83,415.0,420.0,0,source,0.0,90.7695,20
83,415.0,420.0,1,sink,6.0,371.6585,20
84,420.0,422.61860179901123,0,source,0.0,90.579,10
84,420.0,422.61860179901123,1,sink,6.0,360.373,10
