episode,workload,arm,seed,rate,cohort,session,turn,phase,serving_role,session_id,request_id,status,done,prompt_tokens,planned_prompt_tokens,recorded_append_tokens,planned_output_tokens,output_tokens,cached_tokens,derived_prompt_minus_cache_tokens,reset,recorded_turn,actual_new_tokens_excluding_retained_output,context_hash,retained_context_hash,exact_token_timestamps,mean_tpot_s,external_cache_bypassed,row_id,predecessor_id,owner_role,dispatched,duration_s,completed_within_observation,submitted_prompt_tokens,observed_output_tokens,observed_tokens_before_boundary,partial_exact_token_timestamps,token_gaps_exact_single_token_frames,token_gap_count,submillisecond_token_gaps,median_token_gap_s,max_token_gap_s,final_usage_observed,effective_cached_tokens,cache_usage_basis,scheduled_s,client_wakeup_s,client_dispatch_s,start_s,first_s,last_token_s,end_s,arrival_ttft_s,ttft_s,history_hash_after,planned_append_tokens,planned_context_tokens,planned_reset
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,0,,resident_prewarm,destination,7101-coding-0-resident-0,cmpl-a7cd817a9126b8ca,200,True,31436,31436,,1,1,,,,,,b0c763aadef99fbd433bacd3a01551402b7a58a166c7ed4413a1c1886eeb5e1f,,True,,True,cmpl-a7cd817a9126b8ca,,destination,True,300.0,True,31436,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.328697354,,-29.328697354,-29.326185161,-22.685467578,-22.685467578,-22.679820603,6.643229775999998,6.640717583000001,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,1,,resident_prewarm,destination,7101-coding-0-resident-1,cmpl-99b20381a62e5fb8,200,True,5587,5587,,1,1,,,,,,167fd648ac6a2a4d5a2de8fb402a245179a28936e514cda1b1716e04b12b1779,,True,,True,cmpl-99b20381a62e5fb8,,destination,True,300.0,True,5587,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.32288119,,-29.32288119,-29.322387222,-28.736397734,-28.736397734,-28.734986541,0.5864834559999998,0.5859894879999992,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,2,,resident_prewarm,destination,7101-coding-0-resident-2,cmpl-a536970af6de93be,200,True,31246,31246,,1,1,,,,,,7b01482a08a1bf5ef7ea2c65e3f4d848a6761140144a537c020f3d1c86e9cb71,,True,,True,cmpl-a536970af6de93be,,destination,True,300.0,True,31246,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.307606515,,-29.307606515,-29.305129338,-16.636976049,-16.636976049,-16.631308765,12.670630465999999,12.668153289,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,3,,resident_prewarm,destination,7101-coding-0-resident-3,cmpl-ad8bf93813aaf9dc,200,True,3585,3585,,1,1,,,,,,6502437cc894f4222efa59424b5afd5fdc2bda7ff82f0ff870c2fc00d899529f,,True,,True,cmpl-ad8bf93813aaf9dc,,destination,True,300.0,True,3585,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.303156861,,-29.303156861,-29.302826359,-28.271128028,-28.271128028,-28.270196097,1.0320288330000018,1.0316983310000012,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,4,,resident_prewarm,destination,7101-coding-0-resident-4,cmpl-bda9cde9cd79e0e8,200,True,5587,5587,,1,1,,,,,,07d26528b7cf856a97dfee18a56f3524b26588f0a1b491744babf4745d9c09cb,,True,,True,cmpl-bda9cde9cd79e0e8,,destination,True,300.0,True,5587,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.299575478,,-29.299575478,-29.299083252,-27.680038012,-27.680038012,-27.678729563,1.6195374660000006,1.6190452399999984,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,5,,resident_prewarm,destination,7101-coding-0-resident-5,cmpl-abda17208095b10a,200,True,19463,19463,,1,1,,,,,,998532e0550538acbcbb8ca9f468bcc1694edc59997d56c8d974a148eaa37b96,,True,,True,cmpl-abda17208095b10a,,destination,True,300.0,True,19463,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.28890063,,-29.28890063,-29.28734222,-20.961092382,-20.961092382,-20.957414648,8.327808248,8.326249837999999,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,6,,resident_prewarm,destination,7101-coding-0-resident-6,cmpl-9f2055100b0e5f3b,200,True,9251,9251,,1,1,,,,,,cba6a66fb783bde7864e2530c5fc51de86dc9747b788892530f4d7f90bc1e95b,,True,,True,cmpl-9f2055100b0e5f3b,,destination,True,300.0,True,9251,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.282832833,,-29.282832833,-29.282069308,-27.08357246,-27.08357246,-27.081707424,2.1992603730000013,2.1984968480000013,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,7,,resident_prewarm,destination,7101-coding-0-resident-7,cmpl-a1c191f65bcb297f,200,True,19463,19463,,1,1,,,,,,f0f6d1f1af21a67ad340bf043924e0272b3d7d4ab839b318238bf61bbee87ced,,True,,True,cmpl-a1c191f65bcb297f,,destination,True,300.0,True,19463,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.273010127,,-29.273010127,-29.271456316,-14.879660503,-14.879660503,-14.876205558,14.393349623999999,14.391795812999998,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,0,,incoming_prewarm,source,7101-coding-0-incoming-0,cmpl-b1ea7ec3c537516a,200,True,31436,31436,,1,1,,,,,,170e31d05d5b81cd097fe727b8f76a73c0728d3658fac42593306b30f80165f7,,True,,False,cmpl-b1ea7ec3c537516a,,source,True,300.0,True,31436,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.256944054,,-29.256944054,-29.254461237,-22.246458806,-22.246458806,-22.240654795,7.010485248000002,7.008002431000001,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,1,,incoming_prewarm,source,7101-coding-0-incoming-1,cmpl-848e868c6d312340,200,True,5587,5587,,1,1,,,,,,e2615c071f28fa2e1e394250c3fd9362df0be7f115428df9680311f019ba9387,,True,,False,cmpl-848e868c6d312340,,source,True,300.0,True,5587,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.251208162,,-29.251208162,-29.250710646,-28.068691481,-28.068691481,-28.067337956,1.1825166810000027,1.1820191650000034,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,2,,incoming_prewarm,source,7101-coding-0-incoming-2,cmpl-bfb9b40e3f05d1cf,200,True,31246,31246,,1,1,,,,,,641733255bf5139e471028f2b15f55b422597c99811d638ceaeac06ba41fbf66,,True,,False,cmpl-bfb9b40e3f05d1cf,,source,True,300.0,True,31246,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.236140866,,-29.236140866,-29.233689208,-15.198966216,-15.198966216,-15.193285487,14.037174649999999,14.034722992,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,3,,incoming_prewarm,source,7101-coding-0-incoming-3,cmpl-81313bf4f9cab45a,200,True,3585,3585,,1,1,,,,,,509e55addd7094d8b1b0ff3163562dcf347c0a563436ce4b3b61b1a78e253faa,,True,,False,cmpl-81313bf4f9cab45a,,source,True,300.0,True,3585,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.2317061,,-29.2317061,-29.23137628,-27.283260556,-27.283260556,-27.282332762,1.948445544000002,1.9481157240000009,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,4,,incoming_prewarm,source,7101-coding-0-incoming-4,cmpl-b6d83150a70bd0a0,200,True,5587,5587,,1,1,,,,,,7c2455b5b556106b1f888bb12edc02afe29f3297cb35ae38fe2f4e00c4ffe3bd,,True,,False,cmpl-b6d83150a70bd0a0,,source,True,300.0,True,5587,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.228210017,,-29.228210017,-29.227692013,-27.280401992,-27.280401992,-27.279268651,1.947808024999997,1.947290020999997,,,,
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,materialization,5,,incoming_prewarm,source,7101-coding-0-incoming-5,cmpl-b2b1da5e305b0528,200,True,19463,19463,,1,1,,,,,,6a71e12114678c089e2066d9982cc24499e6279d7eb7b0fb4ccfa9720c080e3b,,True,,False,cmpl-b2b1da5e305b0528,,source,True,300.0,True,19463,1,,,,,,,,True,0,vllm_0_22_omitted_zero,-29.216824493,,-29.216824493,-29.21522694,-19.647196299,-19.647196299,-19.643393731,9.569628194,9.568030641,,,,
