episode,serving_role,time_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total,external_prefix_cache_hits_total,request_prefill_kv_computed_tokens_sum,request_queue_time_seconds_sum,request_prefill_time_seconds_sum,request_decode_time_seconds_sum
episodes-coding-0-control-7101,source,-0.985858408,0.0,0.0,0.0,0.0,83304386.0,60160144.0,0.0,2680385.0,1109.9517265089962,570.2773848369743,1345.0475992440115
episodes-coding-0-control-7101,source,-0.476782559,0.0,0.0,0.0,0.0,83304386.0,60160144.0,0.0,2680385.0,1109.9517265089962,570.2773848369743,1345.0475992440115
episodes-coding-0-control-7101,source,0.03366031,0.0,0.0,0.0,0.0,83304386.0,60160144.0,0.0,2680385.0,1109.9517265089962,570.2773848369743,1345.0475992440115
episodes-coding-0-control-7101,source,0.544223425,0.0,0.0,0.0,0.0,83313777.0,60169392.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,1.05456731,0.0,0.0,0.0,0.0,83313777.0,60169392.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,1.564881894,0.0,0.0,0.0,0.0,83313777.0,60169392.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,2.074627551,0.0,0.0,0.0,0.0,83313777.0,60169392.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,2.584632643,0.0,0.0,0.0,0.0,83313777.0,60169392.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,3.094850696,1.0,0.0,0.03249875642513678,0.0,83345125.0,60200624.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,3.606464158,2.0,0.0,0.052744155198142906,0.0,83364632.0,60220080.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,4.117844733,2.0,0.0,0.05277731719449508,0.0,83364632.0,60220080.0,0.0,2680528.0,1109.9517500529946,570.3551893249751,1345.3261492180118
episodes-coding-0-control-7101,source,4.628013244,1.0,0.0,0.03254849941966509,0.0,83364632.0,60220080.0,0.0,2680579.0,1109.9517555629955,570.4333372339752,1346.257251035011
episodes-coding-0-control-7101,source,5.139361608,1.0,0.0,0.03254849941966509,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,5.649719183,1.0,0.0,0.03256508041784112,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,6.159967733,1.0,0.0,0.03258166141601726,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,6.67088162,1.0,0.0,0.03259824241419329,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,7.180537112,1.0,0.0,0.03261482341236943,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,7.69222284,1.0,0.0,0.03263140441054546,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,8.202454104,1.0,0.0,0.0326479854087216,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
episodes-coding-0-control-7101,source,8.712655742,1.0,0.0,0.032664566406897744,0.0,83396180.0,60251504.0,0.0,2680703.0,1109.9517615049954,570.5377130299748,1346.257251035011
