catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,repeat,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,service_pause_s,session_id,token_distribution
,,medium-fixed-2500mbps-30s,medium,8192,5.198530423,0.02352119199999997,0.516003947,0,5.71453437,e0daa9be315f7db5,replay,4.852398025,0.000648543,4.692303462,0,greedy,4.852401025,4.852604823,4.692952005,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.000648543,0.000203798,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.198701581,-0.066603778,0.446595511,0,5.645297092,e0daa9be315f7db5,replay,4.972744084,0.001394165,4.971126062,1,greedy,4.972744934,4.97405203,4.972520227,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.001394165,0.001307096,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.199669001,-0.04207883099999998,0.72460044,0,5.924269441,e0daa9be315f7db5,replay,5.197294956,0.002426214,4.969460789,2,greedy,5.197297636,5.197473584,4.971887003,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.002426214,0.000175948,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.20250661,-0.02312607500000008,0.489413762,0,5.691920372,e0daa9be315f7db5,replay,4.973857802,0.002915648,4.739355698,3,greedy,4.973860192,4.974313557,4.742271346,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.002915648,0.000453365,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.200197275,-0.04440709699999995,0.468316758,0,5.668514033,e0daa9be315f7db5,replay,5.131761579,0.003821819,4.990563103,4,greedy,5.131763519,5.132156265,4.994384922,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.003821819,0.000392746,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.20065275,-0.04259592200000001,0.491004885,0,5.691657635,e0daa9be315f7db5,replay,5.019938798,0.005120885,4.79781191,5,greedy,5.019940748,5.020596131,4.802932795,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.005120885,0.000655383,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.201896117,-0.04439296899999995,0.466807024,0,5.668703141,e0daa9be315f7db5,replay,4.995017145,0.006093674,4.761294552,6,greedy,4.995018745,4.995210393,4.767388226,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.006093674,0.000191648,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.202201244,-0.04421305200000003,0.46619086,0,5.668392104,e0daa9be315f7db5,replay,5.020047857,0.006757757,4.843813947,7,greedy,5.020049487,5.02072343,4.850571704,57,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.006757757,0.000673943,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,medium-fixed-2500mbps-30s,medium,8192,4.952120245,-0.012869067999999984,0.479613687,0,5.431733932,e0daa9be315f7db5,replay,4.656447216,0.000648123,4.5180377,0,isolated_fastest,4.656448576,4.656631544,4.518685823,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,0.000648123,0.000182968,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,4.953128815,-0.03451215299999999,0.478687136,0,5.431815951,e0daa9be315f7db5,replay,4.72233356,0.001295156,4.720792826,1,isolated_fastest,4.72233449,4.722781955,4.722087982,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,0.001295156,0.000447465,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,medium-fixed-2500mbps-30s,medium,8192,4.95445786,-0.064230923,0.702448348,0,5.656906208,e0daa9be315f7db5,replay,4.951087276,0.001963679,4.76614469,2,isolated_fastest,4.951088556,4.951255725,4.768108369,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,0.001963679,0.000167169,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,4.953291933,-0.03372065200000007,0.478819185,0,5.432111118,e0daa9be315f7db5,replay,4.745802448,0.002438684,4.561234587,3,isolated_fastest,4.745803738,4.746016996,4.563673271,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,0.002438684,0.000213258,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,medium-fixed-2500mbps-30s,medium,8192,4.953768338,-0.05676694499999996,0.45595691,0,5.409725248,e0daa9be315f7db5,replay,4.90602549,0.003112306,4.764912404,4,isolated_fastest,4.90602771,4.906221818,4.76802471,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,0.003112306,0.000194108,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
