model,revision,context_tokens,launchable,outcome_error_phase,outcome_error_kind,kv_capacity_tokens,available_kv_cache_gib,kv_cache_dtype_proof,qwen_unified_block_tokens,max_completed_burst_width,max_peak_running_requests,max_peak_waiting_requests,max_peak_kv_usage,first_saturated_width,first_saturated_peak_kv_usage,first_saturated_p90_ttft_s,first_saturated_p90_mean_tpot_s,first_saturated_exact_timing,first_saturated_completed,first_failed_width,largest_width_attempted,right_censored,probes
openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,4096,True,,,1952597,56.06,True,[],256,65,249,0.12278386746972214,64,0.11336407938229187,14.3165248609,0.4377982922354839,64,64,,256,True,9
openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,8192,True,,,1952597,56.06,True,[],128,33,125,0.122463777583256,64,0.122463777583256,34.378494475500005,0.5863674801290323,36,64,,128,True,8
openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,16384,True,,,1952597,56.06,True,[],64,17,63,0.1248415881684326,32,0.1248415881684326,45.0398763457,0.777305646483871,31,32,,64,True,7
openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,24576,True,,,1952597,56.06,True,[],32,12,31,0.1278073189532407,16,0.1278073189532407,41.971160865499996,0.9501070265483871,16,16,,32,True,6
openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,32256,True,,,1952597,56.06,True,[],32,10,31,0.1306424008047974,16,0.12887864020590267,65.032423398,1.1360576392258066,16,16,,32,True,6
Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,3920,True,,,285354,20.03,True,[784],32,8,31,0.17266187050359716,16,0.17266187050359716,20.046017282,0.27678769475806453,16,16,,32,True,6
Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,7840,True,,,285354,20.03,True,[784],16,5,15,0.15587529976019188,8,0.15587529976019188,20.2737371524,0.27787919547419354,8,8,,16,True,5
Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,15680,True,,,285354,20.03,True,[784],8,3,7,0.1606714628297362,4,0.1606714628297362,21.149242329200003,0.28591922378064516,4,4,,8,True,4
Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,24304,True,,,285354,20.03,True,[784],8,2,7,0.18705035971223016,4,0.18705035971223016,34.5058799208,0.3045057387548387,4,4,,8,True,4
Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,32144,True,,,285354,20.03,True,[784],8,2,7,0.20143884892086328,4,0.20143884892086328,47.1918900749,0.312132257016129,4,4,,8,True,4
google/gemma-4-26B-A4B-it,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,4096,True,,,286068,20.83,True,[],256,65,251,0.9713406593406594,64,0.8923076923076922,16.4666396188,0.5217115070548387,64,64,,256,True,9
google/gemma-4-26B-A4B-it,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,8192,True,,,286068,20.83,True,[],128,33,126,0.6610989010989011,64,0.6610989010989011,38.2466540749,0.6500386332451613,64,64,,128,True,8
google/gemma-4-26B-A4B-it,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,16384,True,,,286068,20.83,True,[],64,17,63,0.5164542124542124,32,0.5164542124542124,48.005014882100006,0.8253025709612903,32,32,,64,True,7
google/gemma-4-26B-A4B-it,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,24576,True,,,286068,20.83,True,[],32,12,31,0.4667545787545787,16,0.4666959706959707,43.369120619,0.9796644917419355,16,16,,32,True,6
google/gemma-4-26B-A4B-it,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,32256,True,,,286068,20.83,True,[],32,10,31,0.4542710622710623,16,0.4503150183150183,65.5532539285,1.1446121331774195,16,16,,32,True,6
