activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5802248123641495,5802248123381308,716.605314666802,553344815,6.177401185,6.1661791,1.119957481,5802241945980123,5.046221619,0.010855849,coding,62e4a7bb0ba830e0,0,542982144,44,0,11047,kv_transfer,0,5802248123381708,0,0.000259787,0,0.000174309,m-eae87f535b935585,0.000435086,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5802248123816794,5802248123642485
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,5.10001152,5802254466249040,5802254465988993,804.1785260873968,637508532,6.341960262,6.330336371,1.139228418,5802248124028731,5.191107953,0.011360754,coding,62e4a7bb0ba830e0,0,637501440,51,0,12970,kv_transfer,1,5802254465989343,0,0.000259697,0,0.000200398,m-eae87f535b935585,0.000461155,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5802254466450498,5802254466250100
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5802271369962119,5802271369768691,714.354415342977,552886063,6.191728376,6.178344145,1.75093397,5802265178040315,4.427410175,0.013045355,coding,638863c3d2b5ba15,0,542982144,44,0,11047,kv_transfer,0,5802271369769031,2,0.000193088,0,0.000159428,m-a1541885d22a6967,0.000353326,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5802271370122357,5802271369962929
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,5.10001152,5802277722502394,5802277722207037,802.9250381428421,637507524,6.351850982,6.33578612,1.137651285,5802271370356055,5.198134835,0.015734096,coding,638863c3d2b5ba15,0,637501440,51,0,12970,kv_transfer,1,5802277722207437,2,0.000294957,0,0.000299716,m-a1541885d22a6967,0.000595793,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5802277722803230,5802277722503514
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5802305381544263,5802305381384174,668.1635749007274,551903023,6.607998924,6.591415809,2.156484723,5802298773385250,4.434931086,0.016248229,coding,5abf20ce50799eca,0,542982144,44,0,11047,kv_transfer,0,5802305381384414,1,0.000159849,0,0.000117968,m-2bed4a7db19c6106,0.000278567,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5802305381662981,5802305381545013
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,5.10001152,5802311723960214,5802311723849615,804.1729259779819,637507380,6.341992966,6.32459674,1.129241888,5802305381856649,5.195354852,0.017125249,coding,5abf20ce50799eca,0,637501440,51,0,12970,kv_transfer,1,5802311723849755,1,0.000110459,0,9.1309e-05,m-2bed4a7db19c6106,0.000202148,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5802311724051903,5802311723960594
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,,5802355037193179,5802355037097100,816.3039826155275,1180495428,11.56917475,11.549465274,7.108677372,5802343467922350,4.440787902,0.018935314,coding,8bb546634182c942,0,542982144,44,0,11047,kv_transfer,0,5802355037097230,0,9.5949e-05,0,7.1599e-05,m-978f1c5ee12754ae,0.000168078,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5802355037265308,5802355037193709
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,,5802354345986130,5802354345867941,965.5298654636307,1180493844,9.78110682,10.852184956,1.164276409,5802343468893180,9.687908547,0.024261391,coding,8bb546634182c942,0,637501440,51,0,12970,kv_transfer,1,5802354345868071,0,0.000118059,0,0.000151498,m-978f1c5ee12754ae,0.000269967,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5802354346138038,5802354345986540
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,,5802377121118748,5802377120953980,830.533958769922,1180495428,11.37095398,11.360017193,1.768632284,5802365739203167,9.591384909,0.021391545,coding,9f5714e53a3c2941,0,542982144,44,0,11047,kv_transfer,0,5802377120954180,1,0.000164568,0,0.000121359,m-c9d48271ee2ade28,0.000286657,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5802377121240837,5802377121119478
none,0,False,0.0,1000.0,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,,5802376507256697,5802376507143168,968.6103335384615,1180493844,9.75,10.743226217,1.15247142,5802365740061386,9.590754797,0.0234512,coding,9f5714e53a3c2941,0,637501440,51,0,12970,kv_transfer,1,5802376507143448,1,0.000113249,0,0.002818546,m-c9d48271ee2ade28,0.002932155,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5802376510075603,5802376507257057
